Ligurian	Brazilian Portuguese	probability
f	f	1.0
k	k	1.0
o	u	1.0
p	p	1.0
ɲ	j̃	1.0
ˈyː	ˈu	1.0
a	a	0.1
d	ʤ	0.111
e	i	0.481
l	-	0.121
t	d	0.171
w	ˈɔ	0.091
z	ʒ	0.551
ɡ	ɡ	0.971
ʒ	j_ʃ	0.81
ˈaː	ˈa	0.41
ˈaː	ˈa_h	0.461
ˈiː	ˈe	0.151
ˈuː	ˈo_h	0.171
ˈɔː	ˈo_w	0.171
ˈɛː	ˈɛ	0.221
b	b	0.932
i	u_ʃ	0.082
w	w	0.322
w	-	0.452
ŋ	n	0.072
ʃ	ʃ	0.662
ˈa	ˈa	0.222
ˈe	ˈɛ	0.092
ˈu	ˈo	0.522
ˈø	ˈo	0.722
ˈøː	ˈɔ	0.092
ˈɔ	ˈo	0.362
ˈɔː	ˈɔ	0.372
i	ˈi	0.133
n	n	0.713
u	u	0.833
v	v	0.763
ŋ	j	0.063
ŋ	j̃	0.303
ʃ	j_ʃ	0.073
ʤ	ʎ	0.793
ʧ	-	0.253
ˈu	ˈu	0.143
ˈu	ˈõ	0.153
ˈu	ˈɐ̃	0.183
ˈɔ	ˈɔ	0.373
e	-	0.184
j	j	0.054
j	-	0.44
s	s	0.734
z	z	0.074
ˈeː	ˈe	0.544
ˈuː	ˈɔ	0.314
ˈɛː	ˈa_ʤ	0.084
ˈɛː	ˈe	0.304
w	o	0.135
z	-	0.375
ŋ	h	0.125
ʃ	-	0.265
ˈi	ˈẽ	0.065
ˈi	ˈĩ	0.485
ˈiː	ˈi	0.385
ˈɔ	ˈõ	0.265
ˈɛ	a	0.445
a	ɐ	0.86
l	l	0.86
r	h	0.236
s	ʃ	0.246
ŋ	w̃	0.356
ʒ	z	0.166
ˈaː	ˈa_w	0.066
ˈe	-	0.066
ˈe	ˈe	0.496
ˈiː	j	0.346
ˈuː	ˈo	0.166
ˈɛ	ˈe	0.076
i	i	0.517
j	e	0.147
n	-	0.287
r	ɾ	0.407
t	j_t	0.057
t	t	0.487
v	b	0.237
ʤ	ʒ	0.127
ʧ	ʃ	0.747
ˈeː	ˈɛ	0.407
ˈiː	ˈi_h	0.117
ˈɔː	ˈo	0.457
b	v	0.068
e	u	0.058
e	ˈe_h	0.058
j	ɾ	0.348
ʤ	-	0.08
ˈa	ˈɐ̃	0.778
ˈy	ˈũ	0.968
ˈø	<#_e	0.278
ˈøː	ˈo	0.908
d	d	0.859
e	ɐ	0.089
e	e	0.129
i	-	0.079
i	e	0.189
m	m	0.959
r	ɦ	0.279
t	ʧ	0.189
ˈe	ˈẽ	0.299
ˈi	ˈi	0.449
ˈuː	ˈɔ_l	0.09
ˈuː	ˈu	0.259
ˈɛ	ˈɛ	0.479
ˈɛː	ˈa	0.39
