Neapolitan	Romanian	probability
a	a	0.316
a	ˈa	0.197
a	-	0.154
a	i	0.089
a	u	0.089
a	e	0.073
a	ə	0.07
b	b	1.0
d	d	0.687
d	z	0.11
d	ʤ	0.085
d	-	0.059
d	ʧ	0.059
e	e	0.334
e	ə	0.334
e	i	0.149
e	u	0.101
f	f	0.95
f	-	0.058
i	e	0.383
i	i	0.265
i	-	0.259
i	j	0.073
j	-	0.4
j	j	0.286
j	ʒ	0.121
j	l	0.112
k	k	0.568
k	-	0.209
k	p	0.124
k	kʲ	0.074
k_ə	k	0.748
k_ə	ʧʲ	0.251
l	l	0.379
l	r	0.335
l	-	0.275
m	m	0.792
m	-	0.162
n	n	0.859
n	-	0.094
o	u	0.478
o	-	0.362
o	o	0.11
p	p	0.906
p	t	0.052
p_w	p	0.263
p_ə	p	1.0
r	r	0.84
r	-	0.108
r	z	0.054
s	s	0.69
s	-	0.16
s	ʃ	0.097
t	t	0.764
t	p	0.128
t	-	0.072
u	u	0.489
u	-	0.323
u	o	0.158
v	v	0.389
v	-	0.345
v	b	0.23
v_ə	w	1.0
w	-	0.702
w	l	0.283
w_ə	ə	1.0
w_ˈɔ	ˈo	0.728
w_ˈɔ	ˈu	0.262
ŋ	n	0.514
ŋ	l	0.202
ŋ	m	0.143
ŋ	ŋ	0.097
ə	-	0.374
ə	e	0.354
ə	ə	0.227
ə_p	p	0.513
ɡ	ɡ	0.628
ɡ	k	0.124
ɡ	b	0.119
ɡ	ʤ	0.088
ɲ	n	0.388
ɲ	ʤ	0.223
ɲ	m	0.194
ɲ	j	0.091
ɲ	ŋ	0.05
ɲ	ɡ	0.05
ɾ	r	0.755
ɾ	-	0.125
ɾ	d	0.061
ʃ	ʧ	0.448
ʃ	s	0.272
ʃ	-	0.066
ʃ	t	0.066
ʃ	ʃ	0.066
ʃ_ʃ	t	0.513
ʎ	-	0.5
ʎ	j	0.297
ʎ	w	0.196
ʎ_ə	e	0.069
ʤ	-	0.394
ʤ	ʤ	0.316
ʤ	ʦ	0.11
ʤ	ʒ	0.086
ʤ	ŋ	0.084
ʦ	-	0.428
ʦ	ʦ	0.343
ʦ	z	0.182
ʧ	-	0.533
ʧ	k	0.222
ʧ	ʧ	0.222
ˈa	ˈa	0.72
ˈa	ˈɨ	0.176
ˈa_n	ˈɨ	0.513
ˈe	ˈe	0.581
ˈe	ˈi	0.127
ˈe	e̯ˈa	0.106
ˈe	ˈə	0.084
ˈe	i	0.081
ˈi	ˈi	0.573
ˈi	ˈe	0.124
ˈi	ˈi_r	0.087
ˈi	e̯ˈa	0.085
ˈi	ˈə	0.056
ˈi_ʎ	ˈi	0.069
ˈo	ˈu	0.489
ˈo	o̯ˈa	0.417
ˈo	-	0.085
ˈu	ˈu	0.716
ˈu	ˈo	0.207
ˈɔ	o̯ˈa	0.585
ˈɔ	ˈo	0.236
ˈɔ	ˈa_u	0.152
ˈɛ	ˈe	0.522
ˈɛ	ˈa	0.208
ˈɛ	ˈi	0.105
