West Frisian	Ripuarian	probability
#>	#>	0.903
<#	<#	1.0
b	b	0.927
b	-	0.071
d	d	0.848
d	k	0.053
d	t	0.053
d	ʦ	0.053
f	f	1.0
h	h	0.985
j	-	0.566
j	ˈeː	0.179
j	j	0.156
j	ˈeɪ̯	0.09
j_#>	#>	1.0
j_ə	ə	1.0
j_ˈuə̯	ˈyː	1.0
j_ˈɪ	ˈeː	0.561
j_ˈɪ	ˈyː	0.425
k	k	0.64
k	ɕ	0.276
k	x	0.077
k_s	s	1.0
l	l	0.975
m	m	1.0
n	n	0.77
n	ŋ	0.178
n_#>	#>	1.0
p	f	0.636
p	p	0.349
r	ʀ	0.491
r	ɐ	0.442
r_#>	#>	0.116
r_j	ʀ	0.488
s	s	0.363
s	ʃ	0.338
s	z	0.293
s_k	ʃ	1.0
t	t	0.408
t	s	0.217
t	ʦ	0.191
t	d	0.136
t_#>	#>	1.0
t_ə	s	0.488
v	ʋ	0.498
v	-	0.245
v	v	0.171
v	m	0.068
z	s	0.297
z	z	0.297
z	ɣ	0.18
z	ʀ	0.11
ŋ	ŋ	0.822
ŋ	n	0.129
ɕ	z	0.238
ə	ə	0.817
ə	-	0.14
ə_#>	#>	1.0
ə_r	ɐ	1.0
ɡ	j	1.0
ɣ	ɣ	0.431
ɣ	k	0.262
ɣ	-	0.105
ɪ	ə	0.101
ɪ	ɪ	0.101
ʋ	ʋ	0.911
ʋ	v	0.083
ʦ	k	0.53
ʦ	d	0.304
ʦ	ʦ	0.104
ʦ_j	d	0.488
ˈa	ˈa	0.472
ˈa	ˈaː	0.422
ˈa	ˈeː	0.06
ˈaː	ˈoː	0.229
ˈaː	ˈa	0.2
ˈaː	ˈɛ	0.128
ˈaː	-	0.115
ˈaː	ˈeː	0.115
ˈaː	ˈaʊ̯	0.083
ˈaː	ˈaː	0.062
ˈeː	ˈiː	0.225
ˈeː	ˈeː	0.126
ˈeː	ˈɛ	0.116
ˈeː	ˈuː	0.081
ˈeː	ˈʏ	0.071
ˈi	ˈiː	0.372
ˈi	ˈe	0.127
ˈi	ˈɪ	0.122
ˈi	ˈeː	0.117
ˈi	ˈa	0.082
ˈi	ˈɛː	0.061
ˈiə̯	ˈeː	0.256
ˈiə̯	ˈoː	0.256
ˈiə̯	ˈøː	0.182
ˈiə̯	ˈiː	0.171
ˈiə̯	ˈɛː	0.108
ˈiː	ˈiː	0.488
ˈiː	ˈe	0.129
ˈiː	ˈœ	0.129
ˈiː	ˈɪ	0.096
ˈiː	ˈeː	0.09
ˈoə̯	ˈoː	0.336
ˈoə̯	ˈɔ	0.31
ˈoə̯	ˈaː	0.164
ˈoə̯	ˈo	0.164
ˈoː	ˈoː	1.0
ˈu	ˈo	0.322
ˈu	ˈu	0.322
ˈuə̯	ˈoː	0.578
ˈuə̯	ˈoː_d	0.217
ˈuə̯	ˈʏ	0.11
ˈuə̯	ˈøː	0.055
ˈuː	ˈuː	0.55
ˈuː	ˈyː	0.178
ˈuː	ˈaʊ̯	0.102
ˈuː	ˈiː	0.077
ˈuː	ˈo	0.077
ˈy	ˈu	1.0
ˈyː	ˈʊ	0.322
ˈyː	ˈʏ	0.322
ˈø	ˈɛː	0.238
ˈø	ˈoː	0.133
ˈø	ˈœ	0.133
ˈø	ˈɛ	0.088
ˈøə̯	ˈœ	0.488
ˈɔ	ˈɔ	0.405
ˈɔ	ˈo	0.16
ˈɔ	ˈɪ	0.095
ˈɔ	ˈu	0.08
ˈɔ	ˈe	0.066
ˈɔ	ˈɛː	0.066
ˈɔ	ʋ	0.063
ˈɔ	ˈʏ	0.052
ˈɔ_χ	ɕ	1.0
ˈɔu̯	ˈiː	0.207
ˈɔu̯	ˈo	0.101
ˈɔː	ˈa_l	0.519
ˈɔː	ˈa	0.441
ˈɛ	ˈɛː	0.204
ˈɛ	ˈɛ	0.16
ˈɛ	ˈiː	0.139
ˈɛ	ˈeɪ̯	0.121
ˈɛ	ˈaʊ̯	0.106
ˈɛ	ˈaː	0.106
ˈɛ	ˈɔʏ̯	0.076
ˈɛ_j	ˈeɪ̯	0.238
ˈɛi̯	ˈɛː	0.468
ˈɛi̯	ˈa	0.211
ˈɛi̯	ˈɛ	0.142
ˈɛi̯	ˈaː	0.091
ˈɛː	ˈa	0.257
ˈɛː	ˈaː	0.257
ˈɛː	ˈœ	0.156
ˈɛː	ˈɛ	0.156
ˈɛː	ˈeː	0.061
ˈɪ	ˈe	0.228
ˈɪ	ˈɪ	0.215
ˈɪ	ˈɛ	0.201
ˈɪ	ˈœ	0.146
ˈɪ	ˈeː	0.08
ˈɪə̯	ˈuː	0.25
ˈɪə̯	ˈoː	0.165
ˈɪə̯	ˈa	0.132
ˈɪə̯	ˈɛː	0.094
ˈɪə̯	-	0.076
ˈɪə̯	j	0.076
ˈɪə̯	ˈaʊ̯	0.076
ˈɪə̯	ˈyː	0.062
ˈɪə̯	ˈɛ	0.05
ˈɵ	ˈøː	0.488
χ	ɕ	0.485
χ	x	0.347
χ	k	0.132
