Czech	Proto-Slavic	probability
ʧ	ʧ	1.0
ʒ̊	ʒ_ĭ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɦ_ɛ	ɡ	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
ɛː_ʃ	ʤ	1.0
ɛ_t	ŭ_t	1.0
z̥	z_ŭ	1.0
z	z	1.0
v_ɛ	v_e	1.0
v_iː	v_ŭ	1.0
t_ɛ	t_e	1.0
t_a	t_a	1.0
t	t	1.0
r̝̊	r	1.0
r_iː	r_ŭ	1.0
p	p	1.0
n	n	1.0
m̩	m_ĭ	1.0
l_ɛ	l_ɛː	1.0
l_o	l_o	1.0
k	k	1.0
j	ẽ	1.0
f	v	1.0
d̥	d_ŭ	1.0
d	d	1.0
c	t	1.0
b̥	b_ŭ	1.0
b	b	1.0
v	v	0.981
o	o	0.925
m	m	0.921
s	s	0.912
r̝	r	0.889
l	l	0.887
ʦ	ʦ	0.79
r	r	0.736
l̩	ĭ	0.662
ɲ	-	0.657
a	a	0.596
j_ɛ	ɛː	0.527
ɛ	e	0.516
ɛː	ɛː_̌	0.5
ɛː	-	0.5
j_ɛ	ɛː_̂	0.473
uː	o_̌	0.454
aː	r	0.45
iː	ŭ	0.444
x	x_ŭ	0.421
ou̯	õː_̌	0.4
ou̯	-	0.4
x	x	0.395
ɲ	ɲ	0.343
l̩	l	0.338
ɪ	i	0.328
aː	a_ˀ	0.325
r̩	r	0.286
r̩	ĭ_̂	0.286
r̩	ĭ	0.286
uː	-	0.277
uː	o	0.269
u	uː_̂	0.251
u	õː_̂	0.251
u	õː	0.251
u	-	0.247
aː	aː	0.225
ʦ	-	0.21
ou̯	u	0.2
x	ɡ_ŭ	0.184
a	a_ˀ	0.174
iː	j	0.165
ɪ	ɨː	0.164
ɪ	ɨ	0.163
r̩	ĭː	0.143
iː	-	0.125
ɛ	ɛː	0.123
a	-	0.119
ɪ	ɨ_ˀ	0.115
ɪ	iː_̂	0.115
ɪ	i_̌	0.115
r̝	rʲ	0.111
iː	ɨ_ˀ	0.109
r	oː	0.094
iː	ɛː	0.094
r	o_ˀ	0.092
s	s_ŭ	0.088
m	m_ɛ	0.079
ɛ	ĭ_̌	0.078
r	r_ŭ	0.078
o	oː	0.075
a	l	0.074
iː	i	0.064
ɛ	i	0.057
l	oː_̂	0.056
l	o	0.056
