Aragonese	Eastern Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
r	r	1.0
ɣ	ɡ	1.0
ʃ	s	1.0
a	-	0.091
i	i	0.431
n	n	0.821
ð	t	0.181
ɡ	k	0.131
ɲ	n	0.311
ʝ	-	0.91
ʧ	ʤ	0.081
u	o	0.602
w	-	0.202
w	w	0.272
ð	-	0.092
ŋ	-	0.22
ˈi	ˈe	0.172
ˈe	ˈe	0.453
θ	z	0.053
θ	-	0.073
e	a	0.054
e	i	0.054
e	e	0.734
p	-	0.054
w	ˈø	0.374
ˈi	ˈi	0.74
ˈo	ˈɔ	0.184
ˈu	ˈo	0.14
β	-	0.824
θ	s	0.874
o	o	0.255
w	t	0.105
ˈa	ˈa	0.915
ˈe	ˈɛ	0.295
ˈu	ˈø	0.335
j	ˈɔ	0.146
l	j	0.136
n	-	0.056
n	ɲ	0.076
p	p	0.946
t	-	0.086
t	t_e	0.086
ɾ	r	0.616
ʎ	ʤ	0.106
ˈu	ˈy	0.496
β	b	0.176
j	-	0.077
k	k	0.957
l	-	0.137
l	l	0.727
s	s	0.947
ð	d	0.727
ʎ	j	0.137
ˈe	-	0.127
a	a	0.878
e	-	0.158
j	ʧ	0.338
o	-	0.738
t	t	0.828
u	-	0.398
ŋ	ŋ	0.78
ɡ	ɡ	0.8
ɾ	-	0.378
ʎ	l	0.298
ˈi	ˈa	0.088
ˈo	ˈø	0.058
i	e	0.569
j	ˈi	0.359
m	m	0.959
ɡ	-	0.069
ɲ	ɲ	0.689
ʎ	-	0.459
ʝ	d	0.09
ʧ	z	0.919
ˈo	ˈu	0.329
ˈo	ˈo	0.429
