Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑi̯_n	ˈeː	1.0
ˈɑi̯	ˈeː	1.0
ˈɑ_t	ˈa_s	1.0
ˈɑ_r	ˈaː	1.0
ˈĩː	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈi_j	ˈaɪ̯	1.0
ˈeu̯	ˈiː	1.0
ˈe_k	ˈɪ_ç	1.0
ɸ	f	1.0
ɣ_j_ɔː_#>	k_#>	1.0
ɡʷ	ŋ	1.0
ɡ	-	1.0
ɛː	d	1.0
ɔ̃ː_#>	#>	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	ə	1.0
ɑi̯	ˈa_n	1.0
ɑ_ɣ	ɪ_ç	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
ð_ɛː	d	1.0
z_#>	#>	1.0
xʷ	-	1.0
x_u	eː	1.0
x_s	k_s	1.0
wː	ˈaʊ̯	1.0
t_s	s	1.0
t_i	t	1.0
s_ˈɑ	s_ˈa	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɔː	ɑ	1.0
r_ɑ̃	ɑ	1.0
r_u	ɑ	1.0
r_i	ɑ	1.0
nː	n	1.0
n_θ	n	1.0
n_ɑ̃_#>	#>	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
kʷ	k	1.0
k_i	x	1.0
jː	ˈɔɪ̯	1.0
iː	-	1.0
i	-	1.0
e_r	ɑ	1.0
d_u	d̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_xʷ	<#_ʋ	1.0
<#_x	<#	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
m	m	0.931
j	-	0.909
w	ʋ	0.9
ˈuː	ˈaʊ̯	0.846
u	-	0.786
ɑ	-	0.778
ð	d̥	0.765
n	n	0.765
ˈɛː	ˈoː	0.75
ˈi	ˈɪ	0.75
θ	d	0.741
p	f	0.727
d	d	0.652
ɔːː	-	0.636
x	h	0.636
ˈɔː	ˈuː	0.625
ˈu_r	ˈaː	0.6
r	ɾ	0.574
β	b̥	0.571
z	ç	0.571
s	s	0.553
ɣ	ɡ	0.517
ˈɑ	ˈa	0.465
β	ʋ	0.429
z	-	0.429
ˈe	ˈɛ	0.423
ˈɑu̯	ˈɔː	0.412
ˈɑu̯	ˈoː	0.412
t	s	0.412
ˈu_r	ˈa	0.4
k	ç	0.385
k	k	0.385
s	ʃ	0.383
t	t	0.382
ˈu	ˈʊ	0.368
r	ɑ	0.362
d	d̥	0.348
ˈɑ	ˈɔː	0.326
ˈu	ˈɔ	0.289
p	p	0.273
θ	d̥	0.259
ˈɛː	ˈɔː	0.25
ˈɔː	ˈiː	0.25
ˈi	-	0.25
ð	d	0.235
ˈe	ˈɛː	0.231
k	x	0.231
ɑ	ɪ	0.222
u	ə	0.214
ˈu	ˈɪ	0.211
ɣ	ɡ̊	0.207
ˈe	-	0.192
ɔːː	ə	0.182
ɔːː	ɑ	0.182
x	x	0.182
ˈɑu̯	ˈeː	0.176
ˈɑ	ˈɛ	0.163
ˈuː	ˈuː	0.154
ˈe	ˈɪ	0.154
n	ə	0.147
ˈɔː	ˈʊ	0.125
t	ʦ	0.118
ɣ	ɣ	0.103
ɣ	j	0.103
w	-	0.1
x	ç	0.091
x	-	0.091
j	j	0.091
t	-	0.088
n	-	0.088
ˈu	-	0.079
ɣ	k	0.069
m	n	0.069
s	-	0.064
r	ɾ_ə	0.064
ˈu	ˈaː	0.053
