Swiss German	Insular North Frisian	probability
ˈøː	-	1.0
ˈø	ˈɛ	1.0
ˈæː	-	1.0
ˈiː_ʦ	aɪ̯	1.0
ˈe	-	1.0
ˈau̯	ˈoː	1.0
ʃː	s_k	1.0
ʃ	s	1.0
ɣ̊	kʰ	1.0
ɡ̊ː	ç	1.0
ə_r	ɐ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
æ	n	1.0
v̥	f	1.0
tː	ð	1.0
r_t	ʁ̥_t	1.0
r_n	ɐ_n	1.0
n_d̥	nʲ	1.0
m	m	1.0
lː	l	1.0
l_d̥	lʲ	1.0
l	l	1.0
k͡χ	k	1.0
j	j	1.0
h	h	1.0
fː	p	1.0
d̥_ə	t	1.0
z̥	s	0.922
b̥	b	0.898
n	n	0.885
ə	ə	0.861
ʋ	v	0.803
sː	t	0.788
ˈuː	ˈʏ	0.781
ˈiː	ˈə	0.706
ˈi	ˈə	0.676
ʦ	tʰ	0.653
i	ɪ	0.635
t	t	0.625
f	p	0.594
ʒ̊	s	0.593
ˈyə̯	ˈeː	0.588
p͡f	p	0.578
χː	k	0.525
ˈo	ˈuː	0.495
χː	-	0.475
r	r	0.473
ˈiə̯	-	0.443
ˈæi̯	ˈeː	0.428
p͡f	pʰ	0.422
ˈyə̯	ˈɛ	0.412
ɡ̊	ç	0.386
ˈy	ˈɛ	0.382
ˈy	-	0.382
d̥	ð	0.381
ˈoː	-	0.368
i	-	0.365
ˈɒː	-	0.353
ʦ	t	0.347
t	ɾ	0.334
ˈoː	ˈua̯	0.333
χ	x	0.332
ˈɒː	ˈoː	0.329
ˈiə̯	ˈiː	0.328
ˈyː	ˈiː	0.31
χ	ç	0.295
ˈiː	ˈiː	0.294
ˈu	ˈʊ	0.289
ˈæi̯	ˈiː_n	0.287
ˈyː	ˈyː	0.286
ˈæi̯	-	0.285
d̥	ɾ	0.273
ʒ̊	s_k	0.272
ˈyː	-	0.269
ˈu	ˈœ	0.267
ɡ̊	-	0.267
ˈɒ	-	0.266
ˈæ	-	0.265
ˈuə̯	ˈʊ	0.251
ˈuə̯	ˈɔ	0.251
ˈuə̯	-	0.251
ˈuə̯	ˈoː	0.247
ˈɒ	ˈɔː	0.241
ˈæ	ˈɛ	0.238
f	f	0.238
ˈɒ	ˈa	0.236
d̥	-	0.236
ˈy	ˈə	0.235
ˈiə̯	ˈɛ	0.229
r	ɐ	0.228
ˈuː	-	0.219
χ	k	0.216
ˈɒː	ˈɔː	0.212
sː	d	0.212
ˈoː	ˈuː	0.196
ˈu	ˈʏ	0.182
ˈi	ˈʊ	0.17
f	ə_f	0.168
ˈæ	ˈeː	0.163
χ	-	0.157
ˈo	ˈœ	0.157
ˈi	ˈɛ	0.154
r	r_ə	0.151
ˈu	ˈɔ	0.15
r	ʁ̥	0.148
ɡ̊	ŋ	0.143
ə	ə_n	0.139
ʒ̊	ʃ	0.136
ˈyː	ˈøː	0.135
ˈæ	ˈɛː	0.12
ˈɒ	ˈœ	0.116
ˈo	ˈʏ	0.116
ˈo	ˈʊ	0.116
ˈo	ˈɔ	0.116
ɡ̊	ɣ̥	0.116
d̥	tʲ	0.11
ˈɒː	ˈa	0.106
ˈoː	ˈʊ	0.103
ʋ	-	0.102
b̥	-	0.102
ʋ	v_ˈʊ	0.095
ˈæ	ˈa	0.092
ˈɒ	ˈua̯	0.088
ɡ̊	ɪ_ç	0.088
n	nʲ	0.081
z̥	ʃ	0.078
ˈæ	ˈɔ	0.061
ˈæ	ˈiː	0.061
ˈu	ˈɛ	0.056
ˈu	-	0.056
ˈɒ	ˈeː	0.052
