Swabian	Swabian	probability
ˈʌ	ˈi	1.0
ˈɪ	-	1.0
ˈɛː	-	1.0
ˈɔə̯	ˈʌ	1.0
ˈoː_n	n	1.0
ˈeː	-	1.0
ˈeə̯	-	1.0
ˈa_ʕ	ˈɑˀ	1.0
ʣ	d̥	1.0
ʕ_ʦ	ɐ_d̥	1.0
ʕ_#>	#>	1.0
ɪ	-	1.0
x_d	d̥	1.0
t	-	1.0
s_a	ð̞ˠ_ə	1.0
p͡f	pʰ	1.0
l_d	ˈʌ_lˀ	1.0
l_b	lˀ	1.0
l_#>	l_#>	1.0
kʰ	kʰ	1.0
j	-	1.0
i	ˈʌ_ŋ	1.0
eə̯	n	1.0
e_#>	#>	1.0
d_ˈuː	d̥	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ˈɛ	<#	1.0
<#_ˈa	<#	1.0
<#_l	<#_l	1.0
ʁ	ʁ	0.913
f	f	0.9
h	h	0.842
ˈɔ	-	0.833
ˈɔe̯	ˈeˀ	0.818
ˈae̯	-	0.818
m	m	0.81
ʦ	ʦʰ	0.8
s_#>	s_#>	0.8
n	n	0.778
#>	ə_#>	0.737
b	b̥	0.708
d_#>	ð̞ˠ_#>	0.706
ʃ	s	0.704
ʋ	ʋ	0.682
ˈuə̯	ˈoˀ	0.667
l	l	0.652
ˈu	-	0.625
ɡ	ɡ̊	0.613
ʌ	ɐ	0.609
s	s	0.581
ˈɔː	-	0.571
ˈoː	ˈœˀ	0.571
ŋ	ŋˀ	0.571
f_#>	b̥_#>	0.571
ˈao̯	-	0.562
ˈɛ	ˈɛ	0.5
ˈo	ˈu	0.5
ˈo	-	0.5
ˈiː	ˈyˀ	0.5
ˈiː	-	0.5
ˈe	ˈe	0.5
ˈe	-	0.5
ʕ	ɐˀ	0.5
ʕ	ɐ	0.5
ɡ_#>	j_#>	0.5
ɡ_#>	#>	0.5
ç	-	0.5
x	w	0.5
x	-	0.5
n_d	nˀ	0.5
d	d̥	0.478
ˈao̯	ˈuˀ	0.438
ˈɔː	ˈɔˀ	0.429
ˈoː	-	0.429
ˈiə̯	ˈyː	0.429
ŋ	ŋ	0.429
f_#>	#>	0.429
ˈa	ˈa	0.421
ˈaː	-	0.4
s	ð̞ˠ	0.387
ˈəi̯	ˈiˀ	0.385
ˈi	-	0.385
ˈu	ˈœ	0.375
l	lˀ	0.348
ˈuə̯	-	0.333
ʋ	-	0.318
ˈi	ˈe	0.308
ˈaː	ˈa	0.3
ʃ	s_ɡ̊	0.296
ˈiə̯	ˈyˀ	0.286
ˈiə̯	-	0.286
ˈa	-	0.263
ɡ	-	0.258
ç	ɡ̊	0.25
ç	j	0.25
n_d	n_ə	0.25
n_d	n	0.25
d	ʦʰ	0.239
ˈəi̯	ˈyˀ	0.231
ˈəi̯	ˈiː	0.231
ˈɛ	ˈe	0.222
ʌ	-	0.217
ˈa	ˈɛ	0.211
b	w	0.208
ˈaː	ˈɔˀ	0.2
ʦ	d̥	0.2
s_#>	#>	0.2
ˈɔe̯	-	0.182
ˈae̯	ˈɑ	0.182
d_#>	#>	0.176
ʌ	ʌ	0.174
ˈɛ	-	0.167
ˈɔ	ˈɶˀ	0.167
h	j	0.158
#>	nˀ_#>	0.158
ˈəi̯	-	0.154
ˈi	ˈiː	0.154
ˈi	ɡ̊	0.154
d	-	0.13
ɡ	w	0.129
d_#>	ð̞ˠ_ə_#>	0.118
ˈɛ	j	0.111
n	ə	0.111
n	nˀ	0.111
ˈa	ˈɑ	0.105
#>	ɐ_#>	0.105
ˈaː	ˈæˀ	0.1
f	b̥	0.1
m	mˀ	0.095
m	m_ˈɔː	0.095
ʁ	-	0.087
b	ə	0.083
d	n	0.065
