Spanish	Spanish	probability
θ_ˈi	k_ˈi	1.0
θ_e	k_i	1.0
θ_a	a	1.0
ˈe_ʧ	ˈe_t	1.0
ˈe_ɾ	ɛ_ɾ	1.0
ˈe_n	ˈɛ_n	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ɾ_t	ɾ	1.0
ɾ_o	ɾ_u	1.0
ɾ_n	r	1.0
ɾ_a	ɾ_a	1.0
ɾ_#>	ɾ_ɛ_#>	1.0
ɣ_o	k_u	1.0
ɡ	ɡ	1.0
ŋ_ɡ	m	1.0
ð_a	t_a	1.0
u	u	1.0
t_ˈa	ð_ɛ	1.0
t_e	t_ɛ	1.0
t	t	1.0
s_#>	z_ɔ̆_#>	1.0
r	r	1.0
p_o	p_ˈɔ	1.0
p	p	1.0
n_#>	n_ɛ_#>	1.0
m_b	m	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
l_a	ð_a	1.0
l_#>	l_ɛ_#>	1.0
k_o	k	1.0
j_n	n	1.0
j_#>	ɣ_ɛ_#>	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b_ɾ	i_n	1.0
b	b	1.0
a_m	a_m	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
k	k	0.946
l	l	0.882
a	a	0.877
ˈu	ˈu	0.864
ð	t	0.857
n	n	0.846
<#_e	<#_i	0.818
#>	ɛ_#>	0.737
s	s	0.7
o	u	0.695
<#	<#_f	0.643
w	-	0.6
i	i	0.6
ɾ	ɾ	0.596
ˈi	ˈi	0.571
ʝ	ɖː	0.556
j	ˈɛ	0.556
w_ˈe	ˈo	0.52
e	ɛ	0.515
β	β	0.5
ŋ	m	0.5
ŋ	-	0.5
w_ˈe	ˈɔ	0.48
ɲ	nː	0.444
ɲ	n_ʣ	0.444
ɣ	k	0.444
j_ˈe	ˈɛ	0.444
j_ˈe	ˈe	0.444
j	j	0.444
ˈe	ˈi	0.433
ɟ͡ʝ	p_ɾ	0.429
θ	k	0.412
w	b	0.4
i	-	0.4
x	ʣ	0.385
ˈo	ˈɔ	0.349
ɣ	-	0.333
ˈo	ˈu	0.326
x	k_ɾ	0.308
θ	k_ɛ	0.294
ɟ͡ʝ	ɡ	0.286
ɟ͡ʝ	k_ɾ	0.286
#>	u_#>	0.263
β	p	0.233
ˈe	ˈɛ	0.233
ˈe	ˈe	0.233
s	z	0.233
ʝ	ʣ	0.222
ʝ	-	0.222
ɣ	ɣ	0.222
<#	<#_i	0.214
ˈo	ˈo	0.186
<#_e	<#_f	0.182
ˈi	ɛ	0.179
θ	ʦ	0.176
x	k	0.154
x	-	0.154
n	nː	0.154
e	ˈɛ	0.152
ˈi	f_ˈi	0.143
ð	ð	0.143
<#	<#_a	0.143
o	ɔ	0.137
ˈu	ˈɔ	0.136
e	i	0.121
θ	-	0.118
l	ɾ	0.118
ɲ	ɲ	0.111
j_ˈe	ˈi	0.111
ˈi	ˈe	0.107
ɾ	ɛ_ɾ	0.106
β	b	0.1
β	-	0.1
ˈe	ɛ	0.1
ˈo	ˈa	0.093
e	a	0.091
ɾ	-	0.085
a	ɛ	0.068
β	ɣ	0.067
s	z_ɛ̆	0.067
ɾ	ɔ_ɾ	0.064
ɾ	r	0.064
e	ɡ_ɛ	0.061
e	-	0.061
a	-	0.055
k	-	0.054
o	-	0.053
