East Frisian Low Saxon	East Franconian	probability
ˈʏə̯	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɔː	ˈoː	1.0
ˈɑːʊ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈuː_m	1.0
ˈœy̯	ˈiː	1.0
ˈøːø̯_ɣ̊	ə	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈuː	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈiː	1.0
ˈyːʏ̯	ɐ_ʦ	1.0
ˈyː	ˈaɪ̯	1.0
ˈuːu̯	ˈaʊ̯	1.0
ˈuː	ˈaʊ̯	1.0
ˈiːi̯	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈeːe̯	-	1.0
ʊ	ˈʊ	1.0
ɫ	l_n	1.0
ɡ̊	ç	1.0
ɡ_n	ŋ	1.0
ə	-	1.0
ɑɪ̯	eː	1.0
ɐ_d̥	ɐ_d̥	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	v	1.0
v_n	m	1.0
t_ɐ	d̥_ɐ	1.0
s_k	ʃ	1.0
r	r	1.0
o	ˈɒ	1.0
n_ɐ	n_ɐ	1.0
n_n	n_a	1.0
k_ˈɑː	ˈa	1.0
k_n	ŋ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b	b̥	1.0
d	d̥	0.969
ɐ	ɐ	0.958
l	l	0.956
m	m	0.944
v	v	0.892
n	n	0.891
ˈʊ	ˈʊ	0.876
s	ʃ	0.861
ˈɑʊ̯	ˈuː	0.798
z	s	0.785
ˈɪ	ˈɪ	0.725
ˈɑ	ˈɒ	0.688
k	kʰ	0.664
ˈɒː	ˈoː	0.644
ˈøː	-	0.631
ˈeː	ˈɛ	0.616
ˈɔ	ˈɔ	0.6
χ	ç	0.598
ˈɒːɒ̯	-	0.593
ˈœ	-	0.512
ˈɛ	ˈɛ	0.5
ˈɑːɑ̯	ˈɒ	0.5
ˈɑːɑ̯	-	0.5
ˈʏ	ˈɪ	0.493
ɡ	-	0.492
ˈœ	ˈʊ	0.488
ɡ	ɡ̊	0.477
ˈæɪ̯	ˈaː	0.474
t	d̥	0.465
ˈæɪ̯	ˈiː	0.431
ˈɒːɒ̯	ˈoː	0.407
χ	x	0.402
p	b̥͡v̥	0.4
ˈeː	ˈeː	0.384
ɣ̊	ɡ̊_n	0.353
ˈoː	ˈuː	0.344
ˈɑː	ˈɛ	0.337
ˈɑː	-	0.337
t	z̥	0.327
ˈɑː	ˈɒ	0.326
p	v̥	0.3
p	f	0.3
ˈʏ	-	0.299
ɣ̊	ɣ̊	0.294
ˈoː	ˈaː	0.289
ˈɛ	-	0.253
ˈɛ	ˈɪ	0.247
ɣ̊	ç	0.235
ˈoː	ˈɔ	0.232
k	ɡ̊	0.223
z	-	0.215
ˈʏ	ˈɛ	0.209
t	ʦ	0.208
ˈɑʊ̯	-	0.202
ˈɔ	ˈʊ	0.2
ˈɔ	ˈɒ	0.2
ˈɑ	ˈoː	0.195
ˈøː	ˈuː	0.185
ˈøː	ˈiː	0.185
ˈɒː	ˈɒ	0.16
ˈɒː	-	0.148
ˈoː	-	0.136
ˈʊ	ˈɔ	0.124
ɣ̊	-	0.118
ˈɪ	ˈiː	0.117
ˈɑ	-	0.117
k	-	0.113
ˈɪ	-	0.108
v	β	0.108
s	ɡ̊_s	0.102
ˈæɪ̯	-	0.096
n	a	0.064
m	a	0.056
