Logudorese	Emilian	probability
d	d	1.0
f	f	1.0
j	-	1.0
nː	ɲ	1.0
p	p	1.0
rː	r	1.0
z	-	1.0
ŋ	ŋ	1.0
ɖ	d	1.0
ɖː	l	1.0
ɣ	-	1.0
ʣ	-	1.0
β	v	1.0
b	k_w	0.071
k	θ	0.211
t	t	0.901
ð	t	0.1
ˈe	ˈæ	0.171
ˈe	ˈa	0.221
ˈi	ˈe	0.461
n	ŋ_n	0.072
r	j	0.142
u	u	0.122
ˈo	ˈɔ	0.192
ˈu	ˈuː	0.242
a	a	0.883
i	i	0.303
l	-	0.143
r	-	0.173
ˈa	ˈa	0.273
ˈa	ˈɛ	0.473
b	v	0.644
e	-	0.424
m	ŋ	0.24
ð	d	0.84
ɡ	ɡ	0.284
ˈu	ˈʌ	0.204
ˈu	ˈo	0.324
e	e	0.245
i	e	0.15
o	u	0.565
s	s	0.835
u	o	0.15
ˈe	ˈɛ	0.305
ˈo	ˈʌu̯	0.105
m	m	0.76
r	r	0.656
ð	-	0.06
ɡ	ð	0.716
ˈo	ˈuː	0.06
ˈu	ˈʌu̯	0.186
a	-	0.117
k	k	0.57
l	l	0.857
o	e	0.267
s	z	0.137
ˈa	ˈaː	0.237
ˈe	ˈiː	0.097
ˈo	ˈo	0.137
b	b	0.248
i	-	0.528
n	ŋ	0.238
n	-	0.258
n	n	0.388
o	-	0.168
ˈi	ˈiː	0.18
ˈo	ˈʌ	0.098
ˈo	ˈɔː	0.408
e	a	0.319
k	-	0.219
t	θ	0.099
u	-	0.719
ˈe	-	0.119
ˈi	ˈa	0.249
