Campidanese	Campidanese	probability
ˈo_ɣ	ˈɒ_k	1.0
ˈi_n_i_#>	ˈi_#>	1.0
ˈi_k	ˈæ_k	1.0
ˈa_n_u_#>	ˈa_#>	1.0
ˈa_i	ˈa_r	1.0
ʧ_ˈi	s_ˈi	1.0
ʧ	s	1.0
ʦ	-	1.0
ʤ	ʤ	1.0
ʒ_i	w	1.0
ʒ	-	1.0
ɾ_ˈo	ˈɒ_r	1.0
ɾ_ˈi	ɾ_ˈæ	1.0
ɾ_u	ɾ_e	1.0
ɾ_a	ɾ_ɜ	1.0
ɲ	ɲ	1.0
ɭː	ʎ	1.0
ɣ_u	ʎ	1.0
ɛ_ɾ	ɾ	1.0
ɛ	-	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
ð_u	t	1.0
ð_i	t	1.0
z_ŭ_#>	s_#>	1.0
z_ĭ_#>	s_#>	1.0
w_ˈa	w_ˈa	1.0
w	w	1.0
t_ɛ	l_t	1.0
s_i	s_e	1.0
s	s	1.0
r	r	1.0
o	o	1.0
n_ʤ	ɲ	1.0
n_u_#>	#>	1.0
n_i_#>	#>	1.0
m_u	m_u	1.0
m_i_n_i_#>	m_#>	1.0
m	m	1.0
l_u_#>	l_#>	1.0
l	l	1.0
k_ɾ	k	1.0
j	-	1.0
i_ɾ	e_r	1.0
i_ɣ	ʤ	1.0
i_#>	#>	1.0
f	f	1.0
b_u	ɾ_e	1.0
ă	-	1.0
a_s	a_s	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_e	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
<#	<#_e	1.0
#>	t_#>	1.0
u_#>	#>	0.959
k	k	0.95
n	n	0.926
p	p	0.906
t	t	0.886
ˈa	ˈa	0.867
d	d	0.786
ð	ð	0.75
<#_ˈa	<#_ˈa	0.75
ʃ	ʃ	0.714
ɡ	ɡ	0.7
e	-	0.667
b	v	0.629
ˈo	ˈɒ	0.6
ˈi	ˈi	0.568
ˈɔ	ˈɒ	0.517
ˈɛ	ˈe	0.515
ɖː	ʎ	0.5
ˈu	ˈu	0.486
ɣ	ɣ	0.444
z	s	0.444
β	β	0.429
nː	n	0.429
ˈɛ	ˈæ	0.424
ˈu	ˈo	0.4
a	ɐ	0.397
ɾ	r	0.389
ˈe	ˈæ	0.375
ˈe	ˈe	0.375
b	b	0.371
ɣ	-	0.333
z	z	0.333
e	e	0.333
ɡ	-	0.3
ɖː	l	0.3
ɾ	ɾ	0.296
β	β_ɾ	0.286
β	-	0.286
ʃ	-	0.286
nː	ɲ	0.286
nː	n_d	0.286
ˈo	ˈo	0.25
ð	-	0.25
u	w	0.25
u	-	0.25
<#_ˈa	<#_a	0.25
ɣ	ʎ	0.222
z	-	0.222
d	-	0.214
ˈɔ	ˈo	0.207
ɖː	-	0.2
a	ɜ	0.192
ˈe	ˈi	0.188
u	o	0.179
i	-	0.179
a	ɞ	0.179
ˈɔ	ˈu	0.172
ˈi	ˈæ	0.162
ˈi	ˈe	0.162
i	i	0.154
i	e	0.154
ˈo	-	0.15
ɾ	l	0.148
u	ʎ	0.143
i	w	0.128
a	a	0.128
ɾ	-	0.111
u	ɾ	0.107
ˈɔ	-	0.103
i	ɜ	0.103
p	-	0.094
ˈa	ˈe	0.089
i	ˈæ	0.077
n	ɲ	0.074
u	k	0.071
a	e	0.064
ˈe	ˈɛ	0.062
ˈɛ	ˈi	0.061
ˈu	ˈɒ	0.057
ˈu	ˈu_j	0.057
t	ˈi_t	0.057
t	-	0.057
ɾ	w_ɾ	0.056
ˈi	ˈe_j	0.054
ˈi	ɾ	0.054
i	ˈi	0.051
i	w_ɾ	0.051
i	r	0.051
i	l	0.051
