Pennsylvania German	Pennsylvania German	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈuː	ˈʊ	1.0
ˈiː	ˈɪ	1.0
ˈeː_ɑ	ˈɪ_ʀ	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ʦ	ʦ	1.0
ʋ_ə	b_n	1.0
ɾ	ʀ	1.0
ɣ	ɡ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɑ_d̥	ʀ_d	1.0
ŋ	ŋ	1.0
x	χ	1.0
t	t	1.0
s_ə	s_n	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
eː	n	1.0
b̥_#>	b_#>	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
ʋ	v	0.931
ˈɛ	ˈɛ	0.909
ˈaɪ̯	ˈaɪ̯	0.909
n	n	0.87
ˈa	ˈa	0.844
ˈɔ	ˈɔ	0.818
ʃ	ʃ	0.794
#>	ɡ_#>	0.75
ˈɛː	ˈɛ	0.714
d̥	t	0.714
ɑ	ə_ʀ	0.697
ç	χ	0.688
ˈoː	ˈɔɪ̯	0.636
s	z	0.619
d	t	0.6
ɪ	-	0.556
ə	n	0.541
ˈɔː	ˈɔ	0.5
j	ɡ	0.5
j	j	0.5
ɪ	ɪ	0.444
ˈaː	ˈɔ_ʀ	0.429
ˈeː	ˈɛɪ̯	0.409
d	d	0.4
ˈɔː	ˈɔɪ̯	0.389
ˈoː	ˈɔ	0.364
s	s	0.333
ɑ	ʀ	0.303
ˈɛː	ˈa	0.286
ˈaː	ˈɔ	0.286
ˈaː	-	0.286
d̥	d	0.286
ˈeː	ˈɛ	0.273
#>	ə_#>	0.25
ə	ə_n	0.243
ˈeː	ˈɛɪ̯_n	0.227
ç	k	0.188
ˈɔ	ˈɔɪ̯	0.182
ˈa	ˈɔ	0.156
ʃ	s	0.147
n	n_d	0.13
ç	-	0.125
ˈɔː	ˈa	0.111
ˈɛ	ˈa	0.091
ˈeː	-	0.091
ˈaɪ̯	-	0.091
ə	-	0.081
ʋ	b_ə	0.069
ʃ	ʧ	0.059
ə	ɡ_n	0.054
ə	ɛ	0.054
