Neapolitan	Eastern Lombard	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	-	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
nː	n	1.0
s	s	1.0
u	o	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʃː	s	1.0
ʎː	j	1.0
ʤ	z	1.0
ʦ	s	1.0
lː	-	0.861
p	p	0.651
ʃ	s	0.931
ˈa	ˈa	0.921
ˈe	ˈɛ	0.61
ˈi	ˈe	0.321
ˈo	ˈu	0.781
ˈu	ˈø	0.271
ˈɛ	ˈe	0.301
j	-	0.112
ɲː	ɲ	0.442
ˈɔ	ˈɔ	0.332
k	p	0.063
l	-	0.163
t	d	0.413
ə	-	0.433
ˈi	ˈi	0.443
j	z	0.14
p	-	0.234
r	-	0.104
v	b	0.834
w	w	0.394
ə	e	0.14
ɾ	r	0.564
ˈe	ˈe	0.174
ˈu	ˈu	0.234
k	ɡ	0.15
n	-	0.185
p	k	0.115
r	r	0.896
v	-	0.166
w	-	0.606
ɾ	-	0.436
ˈe	ˈi	0.216
ˈi	-	0.06
ˈu	ˈy	0.316
i	e	0.447
i	i	0.507
k	k	0.627
l	l	0.837
t	t	0.587
ə	a	0.417
ˈi	ˈɛ	0.177
j	j	0.748
ɲː	n	0.558
k	-	0.159
lː	l	0.139
n	n	0.79
ˈo	ˈɔ	0.219
ˈu	ˈo	0.179
ˈɔ	ˈu	0.249
ˈɔ	ˈo	0.419
ˈɛ	ˈɛ	0.699
