West Frisian	Westphalian	probability
b	b	0.93
b	-	0.07
d	d	0.864
d	t	0.101
f	f	0.859
f	v	0.141
h	h	0.958
j	-	0.429
j	ˈaɪ̯	0.266
j	ˈɪə̯	0.077
j	ˈiː	0.063
j	j	0.053
k	k	0.791
k	-	0.209
l	l	0.993
m	m	0.97
n	n	0.891
p	p	0.933
p	b	0.067
r	ɐ	0.428
r	r	0.383
r	-	0.133
s	s	0.564
s	ʃ	0.407
t	t	0.704
t	d	0.243
v	w	0.664
v	v	0.182
v	b	0.09
v	-	0.064
z	s	0.396
z	ɡ	0.396
z	z	0.208
ŋ	ŋ	0.869
ŋ	-	0.075
ŋ	ç	0.056
ɕ	s	1.0
ə	n	0.61
ə	ə	0.202
ə	-	0.139
ɡ	x	1.0
ɣ	ɡ	0.806
ɣ	ɣ	0.105
ɣ	k	0.09
ɪ	ɪ	0.587
ɪ	-	0.413
ʋ	w	1.0
ʦ	k	0.446
ʦ	d	0.388
ʦ	t	0.166
ˈa	ˈa	0.679
ˈa	ˈɛ	0.108
ˈa	ˈɔː	0.079
ˈaː	-	0.269
ˈaː	ˈaː	0.264
ˈaː	ˈa	0.182
ˈaː	ˈɔː	0.115
ˈaː	ˈɪɛ̯	0.105
ˈeː	ˈaɪ̯	0.825
ˈeː	ˈaʊ̯	0.175
ˈi	ˈiː	0.49
ˈi	ˈɪ	0.327
ˈi	ˈeː	0.091
ˈi	ˈøː	0.064
ˈiə̯	ˈɔː	0.268
ˈiə̯	ˈeː	0.221
ˈiə̯	ˈøː	0.175
ˈiə̯	ˈaɪ̯	0.16
ˈiə̯	ˈœː	0.053
ˈiː	ˈiː	0.461
ˈiː	ˈɪ	0.317
ˈiː	ˈa	0.077
ˈiː	ˈaɪ̯	0.058
ˈoə̯	ˈɔː	0.3
ˈoə̯	ˈuːə̯	0.233
ˈoə̯	ˈœː	0.198
ˈoə̯	ˈøː	0.093
ˈoə̯	ˈɛ	0.078
ˈoə̯	ˈɪə̯	0.057
ˈoː	ˈuː	0.425
ˈoː	ˈoː	0.397
ˈoː	ˈaʊ̯	0.178
ˈu	ˈʊ	0.931
ˈu	ˈuə̯	0.069
ˈuə̯	ˈoː	0.654
ˈuə̯	ˈuː	0.127
ˈuə̯	w	0.075
ˈuə̯	ˈuə̯	0.063
ˈuː	ˈuː	0.365
ˈuː	ˈʊ	0.255
ˈuː	-	0.132
ˈuː	ˈuːə̯	0.12
ˈuː	ˈaʊ̯	0.065
ˈuː	ˈyː	0.063
ˈy	ˈa	0.9
ˈy	ˈʏ	0.1
ˈyː	ˈuː	0.782
ˈyː	ˈyː	0.218
ˈø	ˈɔː	0.5
ˈø	ˈʏ	0.5
ˈøə̯	ˈø	1.0
ˈɔ	ˈʊ	0.516
ˈɔ	ˈɪ	0.119
ˈɔ	ˈuə̯	0.093
ˈɔ	-	0.088
ˈɔ	ˈɔ	0.076
ˈɔu̯	ˈeː	0.57
ˈɔu̯	ˈʏ	0.43
ˈɔː	ˈa	0.739
ˈɔː	ˈɔ	0.196
ˈɔː	ˈɪə̯	0.065
ˈɛ	ˈɪɛ̯	0.214
ˈɛ	ˈiː	0.201
ˈɛ	ˈɛː	0.197
ˈɛ	-	0.116
ˈɛ	ˈa	0.09
ˈɛi̯	ˈɛ	0.316
ˈɛi̯	ˈɪɛ̯	0.307
ˈɛi̯	ˈɪ	0.167
ˈɛi̯	ˈaː	0.125
ˈɛi̯	ˈa	0.086
ˈɛː	ˈʏ	0.49
ˈɛː	ˈa	0.172
ˈɛː	ˈɛː	0.172
ˈɛː	ˈɪɛ̯	0.118
ˈɪ	ˈɪ	0.326
ˈɪ	-	0.168
ˈɪ	ˈɛ	0.146
ˈɪ	ˈiɛ̯	0.089
ˈɪ	ˈuːə̯	0.087
ˈɪ	ˈʏ	0.061
ˈɪə̯	ˈaʊ̯	0.301
ˈɪə̯	ˈaɪ̯	0.137
ˈɪə̯	ˈɔː	0.131
ˈɪə̯	ˈa	0.129
ˈɪə̯	ˈeː	0.077
ˈɪə̯	ˈɛː	0.068
ˈɪə̯	ˈœː	0.063
ˈɪə̯	-	0.051
ˈɵ	ˈøː	1.0
χ	ç	0.481
χ	x	0.41
χ	ɣ	0.109
