Middle Chinese	Middle Chinese	probability
˧˥_#>	#>	1.0
˥˩	⁵⁵	1.0
ʨʰ	ʦʰ	1.0
ʨ	-	1.0
ʥ	s	1.0
ʤ	s	1.0
ʣ	ʨʰ	1.0
ʔˠ	-	1.0
ʑ	-	1.0
ʌ_i	o_j	1.0
ʉ	j	1.0
ʈˠ	-	1.0
ʃˠ	-	1.0
ʃ	s	1.0
ɳ	-	1.0
ɨ_ɐ	o	1.0
ɨ_u	u	1.0
ɦˠ	-	1.0
ɡˠ	-	1.0
ɡ	kʰ	1.0
ɛ	a	1.0
ɖˠ	ʦʰ	1.0
ɖ	ʦʰ	1.0
ɕˠ	-	1.0
ɕ	s	1.0
ɑ_u	o	1.0
ɐ	e	1.0
ȵ	ɲ	1.0
ŋˠ	-	1.0
æ	a	1.0
w_ɑ	o	1.0
u_˦	w_¹¹	1.0
u_ɑ	o	1.0
u_o	u	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	-	1.0
p̚	p̚	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
pʰ	pʰ	1.0
n	n	1.0
mˠ	m	1.0
l	l	1.0
kˠ	k	1.0
kʰˠ	-	1.0
k	k	1.0
i_e	i	1.0
hˠ	-	1.0
h	h	1.0
e_ŋ	a_ŋ	1.0
d	tʰ	1.0
bˠ	pʰ	1.0
a	a	1.0
<#_ʔ	<#	1.0
<#_ɦ	<#	1.0
ŋ	ŋ	0.929
#>	²_#>	0.852
ɪ	i	0.8
ə	e	0.8
m	m	0.8
˧˥	³¹	0.788
k̚	k̚	0.778
ʦ	ʦ	0.75
ɑ	o	0.727
t̚	t̚	0.727
u	u	0.68
ʉ_ɐ	o	0.667
ʦʰ	ʦʰ	0.6
w	-	0.6
p	p	0.6
b	f	0.6
e	e	0.583
ɨ	j	0.55
i	-	0.55
˦	¹¹	0.507
ʌ	a	0.5
ʈ	t	0.5
ʈ	-	0.5
ɨ_ʌ	ŋ̍	0.5
ɨ_ʌ	i	0.5
u_ɛ	o	0.5
u_ɛ	e	0.5
s	ɕ	0.5
s	s	0.5
o	u	0.5
o	-	0.5
kʰ	kʰ	0.5
kʰ	h	0.5
<#	<#_ʦ	0.5
˦	²⁴	0.493
ʦʰ	ʨʰ	0.4
w	j	0.4
p	f	0.4
b	pʰ	0.4
ɦ	v	0.375
ɦ	f	0.375
ʉ_ɐ	a	0.333
i	j	0.275
ɑ	-	0.273
t̚	t̚_⁵	0.273
ʦ	ʨ	0.25
ʌ	o	0.25
ʌ	-	0.25
ɦ	h	0.25
e	j_e	0.25
<#	<#_kʰ	0.25
<#	<#_h	0.25
u	w	0.24
k̚	t̚	0.222
˧˥	²⁴	0.212
ɪ	-	0.2
ɨ	ɨ	0.2
ə	-	0.2
m	v	0.2
e	j_a	0.167
ɨ	-	0.15
#>	⁵_#>	0.148
ɨ	i	0.1
u	-	0.08
i	i	0.075
ŋ	ɲ	0.071
