Middle English	Middle English	probability
θ	θ	1.0
ˈɛː	ˈɛː	1.0
ˈɛu̯	ˈɛu̯	1.0
ˈɛi̯	ˈɛi̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔː	1.0
ˈɔu̯	ˈɔu̯	1.0
ˈɔ	ˈɔ	1.0
ˈæi̯	ˈæi̯	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈiu̯	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈaː	ˈaː	1.0
ˈau̯	ˈau̯	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʍ	ʍ	1.0
ʃ	ʃ	1.0
ɫ	ɫ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ə_ɫ	ə_ɫ	1.0
ə	ə	1.0
ɔu̯	ɔu̯	1.0
ŋ	ŋ	1.0
ð	ð	1.0
ç	ç	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
t	t	1.0
s	s	1.0
r_ə	r_ə	1.0
r_n	r_n	1.0
r_d	r_d	1.0
r	r	1.0
p	p	1.0
n_ə	n_ə	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
iː	iː	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d	d	1.0
b	b	1.0
