Štokavian	Čakavian	probability
âː	âː	1.0
ǎː	aː	1.0
e	e	1.0
eː	e	1.0
ê	ê	1.0
êː	êː	1.0
î	î	1.0
îː	îː	1.0
ǐː	iː	1.0
k	k	1.0
l	l	1.0
n	n	1.0
ô	ô	1.0
ôː	ôː	1.0
ǒ	o	1.0
p	p	1.0
r	r	1.0
r̩̂	r̩̂	1.0
r̩̂ː	r̩̂	1.0
s	s	1.0
t	t	1.0
û	û	1.0
x	x	1.0
z	z	1.0
ɲ	ɲ	1.0
ʋ	ʋ	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ʨ	c	1.0
a	â	0.301
ě	e	0.91
m	m	0.951
o	o	0.831
ʒ	ʃ	0.311
â	â	0.852
d	d	0.892
b	p	0.413
j	j	0.33
ûː	ǔː	0.143
a	a	0.674
ɡ	ɡ	0.754
ɡ	k	0.246
b	b	0.587
d	-	0.087
i	i	0.967
j	-	0.67
o	l	0.127
ûː	ûː	0.857
â	ǎː	0.148
ě	ê	0.09
ʒ	ʒ	0.689
