Bellunese	Italian	probability
a	a	0.917
a	-	0.075
b	b	0.954
d	d	0.69
d	t	0.295
e	e	0.554
e	i	0.256
e	-	0.139
e	ˈe	0.051
f	f	0.974
i	i	0.897
i	ˈe	0.079
j	j	0.581
j	-	0.245
j	ʎː	0.175
k	k	0.846
k	kː	0.127
l	l	0.616
l	lː	0.333
l	-	0.05
m	m	0.879
m	mː	0.121
n	n	0.846
n	nː	0.078
o	o	0.795
o	e	0.121
p	p	0.958
r	r	0.943
s	s	0.628
s	sː	0.128
s	ʃː	0.087
s	ʧ	0.07
t	t	0.555
t	tː	0.384
u	u	0.726
u	o	0.274
v	v	0.745
v	p	0.198
w	w	0.924
w	l	0.076
z	ʧ	0.631
z	z	0.195
z	ʧː	0.053
z	-	0.051
ð	ʤ	0.833
ð	ʤː	0.154
ŋ	n	0.736
ŋ	ŋ	0.171
ŋ	m	0.05
ɡ	ɡ	0.524
ɡ	k	0.394
ɡ	-	0.082
ɲ	ɲː	0.75
ɲ	-	0.25
ʤ	ɡ	1.0
ʧ	kː	0.704
ʧ	k_j	0.296
ˈa	ˈa	0.974
ˈe	ˈe	0.433
ˈe	ˈɛ	0.393
ˈe	-	0.058
ˈi	ˈi	0.88
ˈi	ˈe	0.067
ˈo	ˈo	0.576
ˈo	w_ˈɔ	0.284
ˈo	ˈɔ	0.073
ˈo	ˈu	0.067
ˈu	ˈu	0.849
ˈu	ˈo	0.151
ˈɔ	ˈɔ	0.9
ˈɔ	o	0.073
ˈɛ	ˈɛ	0.884
θ	ʧ	0.592
θ	ʧː	0.212
θ	ʦ	0.077
θ	ʤ	0.067
