West Flemish	East Franconian	probability
ˈɪ	ˈɪ	1.0
ˈɛː_m	ɪ	1.0
ˈɛ	-	1.0
ˈi	ˈaɪ̯	1.0
ʃ_h	ʃ	1.0
ɾ_ˈœ	r_ˈɪ	1.0
ɾ_ə	ɐ	1.0
ɪ	i	1.0
ɦ_ɾ	ɡ̊_r	1.0
ɦ_n	ŋ	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
ç	i	1.0
z̥	z̥	1.0
w	l	1.0
v̥	b̥	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iə̯	eː	1.0
h_ˈæ	ˈa	1.0
d̥	d̥	1.0
b	b̥	1.0
ʋ	v	0.923
d	d̥	0.915
ɦ	-	0.899
s	ʃ	0.889
v	f	0.816
n	n	0.79
ˈyː	ˈaʊ̯	0.767
ˈɑ	ˈɒ	0.766
ˈu	ˈʊ	0.764
ˈuə̯	ˈuː	0.723
z	s	0.714
ˈɒː	ˈoː	0.705
p	b̥͡v̥	0.683
ɦ_ə	ɡ̊_n	0.648
ˈiə̯	ˈiː	0.645
ɾ	ɐ	0.609
ə	-	0.597
ˈøː	ˈuː	0.578
ˈɛː	-	0.569
ˈæ	ˈɛ	0.545
h	x	0.507
ɦ̥	ɣ̊	0.5
ˈɔ	ˈʊ	0.497
h	ç	0.493
t	d̥	0.476
ˈɛː	ˈaː	0.431
ˈøː	-	0.422
k	kʰ	0.412
ˈœ	ˈʊ	0.403
ɦ̥	ç	0.369
ˈeː	ˈɛ	0.357
ˈeː	ˈaː	0.357
ˈiə̯	ˈaɪ̯	0.355
ɦ_ə	ɣ̊	0.352
ˈɔ	ˈɔ	0.35
ˈæ	-	0.324
p	v̥	0.317
ˈœ	ˈɔ	0.298
ˈœ	-	0.298
ɾ	r	0.295
t	z̥	0.292
ˈeː	ˈeː	0.287
ˈuə̯	ˈiː	0.277
ˈoː	ˈɔ	0.276
ˈoː	ˈuː	0.273
ə	a	0.24
ˈu	ˈɒ_l	0.236
ˈyː	ˈaɪ̯	0.233
t	ʦ	0.232
ˈoː	ˈaː	0.225
k	ç	0.191
v	β	0.184
k	ɡ̊	0.182
ˈɒː	ˈɒ	0.168
ə	n	0.163
ˈɔ	ˈɒ	0.154
ˈɑ	ˈoː	0.154
z	ʃ	0.153
z	-	0.133
ˈæ	ˈɪ	0.131
ɦ̥	ə	0.131
ˈɒː	ˈɛː	0.128
ˈoː	-	0.128
k	x	0.121
n	-	0.117
s	ɡ̊_s	0.111
ɦ	ɣ	0.101
ˈoː	ˈʊ	0.097
k	-	0.094
d	-	0.085
ˈɑ	ˈɔ	0.08
ʋ	-	0.077
n	a	0.072
ɾ	ɾ_ɐ	0.063
