Catalan	Catalan	probability
β_ɾ	v	1.0
β_ə	b_a	1.0
β	v	1.0
ˈɛ_w	ˈu_z	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈi_t	ˈɛ_t	1.0
ˈi_#>	e_#>	1.0
ˈa_z_ə_#>	ˈa_#>	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	-	1.0
ʤ	d	1.0
ʎː	j	1.0
ʎ_ə	j_a	1.0
ʎ_#>	j_#>	1.0
ʃ	s	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ə_β	a_v	1.0
ə_s	e	1.0
ə_#>	#>	1.0
z	-	1.0
w_ɾ	dː	1.0
t_ə	t_a	1.0
s_ˈɛ	s_ˈɛ	1.0
s_k	s_k	1.0
s_#>	#>	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
n_ə	ŋ_a	1.0
n_#>	ŋ_t_#>	1.0
mː	m	1.0
m_#>	m_#>	1.0
m	m	1.0
l_t	w_t	1.0
l_s	w_s	1.0
l_#>	l_#>	1.0
k_l	ʧ	1.0
j_t	t	1.0
f	f	1.0
a	z_a	1.0
<#_ˈu	<#_ˈø	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#	1.0
<#_u	<#_u	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ˈi	ˈi	0.926
ˈa	ˈa	0.92
k	k	0.907
t	t	0.9
s	s	0.891
ɾ	r	0.882
d	d	0.882
ʎ	l	0.8
ʒ	ʤ	0.786
ˈo	ˈu	0.773
ɣ	-	0.75
ŋ	ŋ	0.714
ə	a	0.703
ɲ	ɲ	0.667
n	n	0.647
ˈe	ˈɛ	0.606
u	u	0.6
t_#>	d_#>	0.6
j	-	0.6
ˈu	ˈy	0.583
i	i	0.556
b	v	0.541
ˈɔ	ˈɔ	0.524
w_#>	v_#>	0.5
w_#>	#>	0.5
l	l	0.5
l	j	0.5
ð	d	0.455
b	b	0.405
u	-	0.4
t_#>	#>	0.4
j	j	0.4
ˈɛ	ˈɛ	0.391
ˈɛ	ˈe	0.391
w	-	0.375
ð	t	0.364
w	w	0.312
ˈe	ˈe	0.303
ŋ	ŋ_ɡ	0.286
#>	ŋ_#>	0.286
ˈɔ	ˈu	0.262
ɣ	ɡ	0.25
n	ŋ	0.235
i	e	0.222
i	-	0.222
ˈɔ	ˈø	0.214
ʒ	-	0.214
ʎ	j	0.2
#>	r_#>	0.19
w	z	0.188
ð	-	0.182
ˈu	ˈø	0.167
ˈu	ˈu	0.167
ɲ	ŋ	0.167
ɲ	-	0.167
ə	e	0.165
ˈo	ˈy	0.136
ˈɛ	-	0.13
w	v	0.125
ɾ	-	0.118
n	ˈi_n	0.118
d	-	0.118
t	s	0.1
#>	n_#>	0.095
k	ɡ	0.093
ˈo	ˈɔ	0.091
ˈe	-	0.091
ˈɛ	ˈɔ	0.087
ˈu	ˈi	0.083
ˈi	-	0.074
#>	z_#>	0.071
#>	s_#>	0.071
#>	k_#>	0.071
#>	j_#>	0.071
#>	e_#>	0.071
#>	a_#>	0.071
ə	i	0.066
s	-	0.065
b	-	0.054
