Sicilian	Logudorese	probability
b	b	1.0
c	-	1.0
cː	k_r	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
mː	m	1.0
tː	t	1.0
u	u	1.0
z	z	1.0
ç	f_r	1.0
ŋ	m	1.0
ɟː	ʣ	1.0
ɲː	n_ʣ	1.0
ɽ	t	1.0
ʃ	i_s	1.0
ʃː	s_k	1.0
ʈ	-	1.0
ʐ	r	1.0
ʐː	rː	1.0
ʤ	b	1.0
ʤː	-	1.0
ʧː	-	1.0
ˈe	ˈe	1.0
ˈo	ˈo	1.0
ˈɛ	ˈe	1.0
nː	n	0.551
v	-	0.201
ɕ	k	0.421
ɕ	ɣ	0.531
ɖː	sː	0.101
ɡ	ɡ	0.771
ɾ	ŭ_#>	0.21
j	z	0.092
k	k	0.632
p	β	0.142
r	r	0.952
ˈu	ˈo	0.282
i	-	0.123
j	-	0.853
l	-	0.053
nː	n_ɖ	0.093
ɾ	r	0.613
k	ɣ	0.184
v	β	0.084
ˈɔ	ˈo	0.944
a	a	0.885
nː	nː	0.355
t	ð	0.455
t	t	0.545
w	-	0.365
w	w	0.635
ɪ	i	0.095
ɾ	-	0.085
ʊ	u	0.85
ˈa	ˈa	0.945
ˈi	ˈe	0.275
ˈi	ˈi	0.725
a	e	0.06
ʊ	e	0.086
ˈɔ	ˈu	0.056
l	l	0.947
n	n	0.917
ɾ	ŏ_#>	0.087
i	e	0.528
k	-	0.158
s	s	0.958
ɪ	e	0.798
ˈu	ˈu	0.718
i	i	0.349
p	p	0.839
v	b	0.699
ɖː	ɖː	0.899
ɡ	b	0.229
