Italian	Portuguese	probability
bː	-	1.0
f	f	1.0
lː	l	1.0
mː	m	1.0
nː	n	1.0
rː	ʁ	1.0
u	ɐ	1.0
z	z	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʎː	ʎ	1.0
ʤː	-	1.0
ʦ	s	1.0
ʦː	s	1.0
i	u	0.081
i	ɨ	0.341
l	l	0.591
s	s	0.661
sː	s	0.101
t	t	0.551
tː	ð	0.231
ˈi	ˈe	0.1
ˈɛ	ˈɐ̃	0.081
ˈɛ	ˈɐ	0.341
i	j	0.052
j	j_ʎ	0.182
n	ɲ	0.212
n	-	0.462
p	p	0.822
t	ð	0.382
ʧː	-	0.072
ˈe	ˈĩ	0.052
i	i	0.23
r	ɾ	0.793
tː	j_t	0.273
v	v	0.923
ʧ	s	0.903
ˈɔ	ˈu	0.083
b	b	0.654
d	-	0.344
e	ɨ	0.494
j	ʃ	0.114
k	ɣ	0.254
kː	k	0.44
m	m	0.964
o	u	0.804
w	-	0.184
ɡ	ɡ	0.374
ʤ	ʒ	0.674
ˈa	ˈɐ	0.24
ˈa	ˈa	0.664
ˈɔ	ˈɔ	0.224
a	-	0.055
a	ɐ	0.915
s	ʃ	0.145
ˈe	ˈɐ_j	0.095
ˈo	ˈo	0.625
ˈɛ	ˈɛ	0.535
b	v	0.346
e	ɐ	0.06
k	k	0.746
kː	-	0.56
l	-	0.126
l	ɾ	0.136
tː	t	0.496
w	w	0.816
ɡ	ɣ	0.626
ʤ	-	0.326
ˈa	ˈɐ̃	0.056
ˈi	ˈĩ	0.116
ˈi	ˈi	0.756
ˈo	ˈu	0.116
ˈu	ˈo	0.146
e	-	0.067
i	-	0.177
j	ʒ	0.07
j	-	0.077
j	j	0.527
o	-	0.057
s	i_ʃ	0.157
t	-	0.067
v	β	0.077
ʧ	z	0.097
ˈe	ˈe	0.717
ˈu	ˈu	0.777
ˈɔ	ˈo	0.537
d	ð	0.078
d	t	0.08
d	d	0.498
e	j	0.058
l	ɫ	0.148
p	β	0.178
r	-	0.128
ʧː	s	0.928
ˈɔ	u	0.058
ˈɔ	ˈo_w	0.098
e	w̃	0.109
i	ĩ	0.119
n	n	0.29
r	ʁ	0.079
sː	j_ʃ	0.899
ˈo	ˈɔ	0.259
