German	North Frisian	probability
#>	#>	0.926
#>	ə_#>	0.05
<#	<#	1.0
<#_v	<#	0.494
b	b	0.82
b	v	0.135
b_n	v	0.494
d	d	0.325
d	t	0.318
d	tʲ	0.137
d	-	0.119
d	dʲ	0.079
f	f	0.611
f	p	0.154
f	v	0.093
f	-	0.064
h	h	1.0
j	j	0.284
j	ˈiː	0.284
k	k	0.537
k	-	0.313
k	j	0.118
k_#>	#>	0.494
kʰ	k	0.751
kʰ	ʃ	0.14
kʰ	s	0.072
l	l	0.76
l	lʲ	0.088
l	ə_l	0.053
m	m	1.0
n	n	0.737
n	-	0.134
n	nʲ	0.125
n_#>	#>	1.0
n_s	s	0.494
p	f	0.393
p	-	0.165
p	p	0.144
p	v	0.144
p͡f	p	0.922
s	s	0.436
s	t	0.185
s	tʲ	0.159
s	r_s	0.078
s	z	0.068
s	d	0.059
t	t	0.454
t	d	0.328
t	dʲ	0.114
t_#>	#>	1.0
tʰ	d	0.874
tʰ	j	0.076
v	v	0.975
v_ˈɔ	ˈʊ	1.0
x	x	0.577
x	k	0.409
z	s	0.804
z	z	0.139
z	ʃ	0.059
ç	k	0.497
ç	x	0.332
ç	ŋ	0.162
ç_#>	#>	1.0
ŋ	ŋ	1.0
ɐ	r	0.649
ɐ	ə_r	0.318
ɐ_#>	#>	1.0
ə	ə	0.916
ə	w	0.054
ə_#>	#>	1.0
ɡ	ɡ	0.444
ɡ	j	0.303
ɡ	-	0.19
ɪ	i	1.0
ʁ	r	0.888
ʁ	-	0.076
ʃ	s	0.533
ʃ	ʃ	0.462
ʃ_v	s	0.494
ʦ	t	1.0
ˈa	ˈɒː	0.187
ˈa	ˈœ	0.166
ˈa	ˈɒ	0.143
ˈa	ˈʊ	0.127
ˈa	ˈeː	0.101
ˈa	ˈuː	0.074
ˈa	ˈa	0.063
ˈa	ˈɔː	0.063
ˈaɪ̯	ˈi	0.424
ˈaɪ̯	ˈiː	0.258
ˈaɪ̯	ˈyː	0.051
ˈaɪ̯	ˈɒ	0.051
ˈaɪ̯	ˈɔi̯	0.051
ˈaʊ̯	ˈyː	0.483
ˈaʊ̯	ˈuː	0.323
ˈaʊ̯	ˈiː	0.087
ˈaʊ̯	ˈɔː	0.056
ˈaʊ̯	ˈøː	0.055
ˈaː	ˈɛi̯	0.222
ˈaː	ˈɛː	0.175
ˈaː	ˈeː	0.132
ˈaː	ˈɒ	0.129
ˈaː	-	0.103
ˈaː	ˈɔː	0.083
ˈaː	ˈɒː	0.074
ˈeː	ˈiː	0.511
ˈeː	ˈi	0.194
ˈeː	ˈɛː	0.087
ˈeː	ˈeː	0.084
ˈeː	ˈɛi̯	0.084
ˈiː	ˈiː	0.672
ˈiː	ˈeː	0.203
ˈiː	ˈɔː	0.085
ˈoː	ˈyː	0.331
ˈoː	ˈuː	0.218
ˈoː	ˈɔu̯	0.149
ˈoː	ˈaː	0.098
ˈoː	ˈøː	0.098
ˈoː	ˈœ	0.078
ˈuː	ˈœ	0.547
ˈuː	ˈyː	0.318
ˈuː	ˈɔu̯	0.108
ˈyː	ˈɛ	0.389
ˈyː	ˈɛi̯	0.389
ˈyː	ˈɔu̯	0.158
ˈøː	ˈi	0.322
ˈøː	ˈyː	0.322
ˈøː	ˈiː	0.241
ˈœ	ˈɔː	0.66
ˈœ	ˈeː	0.161
ˈɔ	ˈɔ	0.411
ˈɔ	ˈɔː	0.195
ˈɔ	ˈʊ	0.136
ˈɔ	ˈʏ	0.09
ˈɔ	ˈuː	0.069
ˈɔ	ˈœ	0.056
ˈɔʏ̯	ˈiː	0.241
ˈɔʏ̯	ˈøː	0.209
ˈɔʏ̯	w	0.138
ˈɔʏ̯	ˈai̯	0.138
ˈɔʏ̯	ˈyː	0.124
ˈɔʏ̯	ˈʏ	0.094
ˈɛ	ˈɛː	0.215
ˈɛ	ˈa	0.182
ˈɛ	ˈeː	0.159
ˈɛ	j_ˈa	0.12
ˈɛ	ˈʏ	0.073
ˈɛ	ˈɛ	0.071
ˈɛ	ˈʊ	0.071
ˈɛ	ˈɒː	0.056
ˈɛː	ˈɔː	0.45
ˈɛː	ˈuː	0.222
ˈɛː	ˈɛi̯	0.126
ˈɪ	ˈa	0.201
ˈɪ	ˈi	0.156
ˈɪ	ˈʊ	0.144
ˈɪ	ˈœ	0.122
ˈɪ	ˈai̯	0.107
ˈɪ	ˈɒ	0.061
ˈɪ	ˈaː	0.059
ˈɪ	ˈɔː	0.053
ˈɪ	ˈɛ	0.051
ˈʊ	ˈʊ	0.544
ˈʊ	ˈɔ	0.153
ˈʊ	ˈɔː	0.111
ˈʊ	ˈyː	0.108
ˈʊ	ˈœ	0.054
ˈʊ_n	ˈyː	0.494
ˈʏ	ˈʊ	0.242
ˈʏ	ˈa	0.239
ˈʏ	ˈiː	0.165
ˈʏ	ˈeː	0.09
ˈʏ	-	0.061
