Spanish	French	probability
β_ɾ	v	1.0
β_a	b	1.0
ˈu_n	w	1.0
ˈo_ɾ	œ_ʁ	1.0
ˈo_ð	u	1.0
ˈo_n	ɔ̃	1.0
ˈi_ʝ	o	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_ɣ	i	1.0
ˈe_β	f	1.0
ˈe_ɣ	ø	1.0
ˈe_ð	w	1.0
ˈe_s	o	1.0
ˈe_n	ɔ̃	1.0
ˈa_ɾ	e	1.0
ˈa_ŋ	ɑ̃	1.0
ˈa_n	ɛ̃	1.0
ˈa_l	o	1.0
ʧ_o	i	1.0
ʧ	t	1.0
ɾ_t	ʁ	1.0
ɲ_o	ɛ̃	1.0
ŋ	ɛ̃	1.0
x_o	j	1.0
x_a	j	1.0
w_ˈe	ɔ	1.0
w_ˈa	a	1.0
t_o	ɛ̃	1.0
t	t	1.0
s_ˈe	s	1.0
r	ʁ	1.0
p_j	p	1.0
o_n	ɔ̃	1.0
n_o	ɛ̃	1.0
n_a	n	1.0
k_w	k	1.0
k_a	ʃ	1.0
f	f	1.0
e_s	e	1.0
b_w	b	1.0
a_θ	ɛ_z	1.0
a_ʝ	ɛ	1.0
p	p	0.914
ɾ	ʁ	0.89
m	m	0.878
l	l	0.855
d	d	0.838
ð	-	0.81
a	a	0.795
i	-	0.716
s	s	0.699
x	-	0.698
ʝ	l	0.682
ɣ	-	0.673
b	v	0.669
ɲ	-	0.617
w	-	0.606
ˈa_ð	e	0.602
k_ˈa	ʃ_ɛ	0.597
ɡ	ɡ	0.583
u	-	0.578
θ	s	0.572
e	-	0.563
ˈu	y	0.535
ˈi	i	0.513
j_ˈe	ɛ	0.49
k	k	0.465
β	v	0.449
ˈa	a	0.435
j	j	0.423
u	u	0.422
ˈa	ɛ	0.419
ɡ	-	0.417
n	n	0.41
j	-	0.406
k_ˈa	ʃ	0.403
ˈa_ð	ɛ	0.398
o	ɔ	0.397
w	œ	0.394
k	ʃ	0.394
ˈi	-	0.387
ɲ	ɲ	0.383
ɟ͡ʝ	l	0.369
β	-	0.359
ˈo	u	0.355
ˈe	-	0.332
b	b	0.331
ɣ	ɡ	0.327
ʝ	-	0.318
ɟ͡ʝ	ʒ	0.315
ɟ͡ʝ	p_l	0.315
n	ɑ̃	0.311
x	ʒ	0.302
s	-	0.301
i	i	0.284
ˈe	ɛ	0.27
j_ˈe	i	0.268
j_ˈe	j	0.242
θ	-	0.235
o	u	0.231
ˈu	w	0.229
e	ə	0.227
n	-	0.226
θ	z	0.193
ð	d	0.19
j	i	0.171
ˈo	o	0.168
d	-	0.162
ˈo	ɔ	0.154
l	-	0.145
o	-	0.144
k	-	0.141
β	ʁ	0.137
o	a	0.125
ˈu	ɥ	0.124
m	-	0.122
ˈo	œ	0.117
ˈu	-	0.113
ˈe	a	0.113
a	ə	0.103
a	-	0.103
o	ʁ	0.102
ˈi	f_i	0.1
ˈe	w_a	0.094
ˈe	i	0.087
e	w	0.087
ˈo	ɥ	0.086
p	-	0.086
ˈa	ɛ̃	0.081
e	ɛ	0.077
ˈo	-	0.068
ˈa	e	0.064
ɾ	-	0.057
β	b	0.056
ɾ	e	0.054
n	ɛ̃	0.053
ˈo	w	0.052
