Old Frisian	Old High German	probability
θ	d	1.0
ˈuː_ɣ	rː	1.0
ˈuː	ˈuː	1.0
ˈo_r	ˈu_r	1.0
ˈi̯uː	ˈiu̯	1.0
ˈe_l	ˈi_l	1.0
ˈa	ˈɑ	1.0
ʣ	ɡ	1.0
ɡː	kː	1.0
ɡ	ɡ	1.0
ə_x	ɑ_ɡ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	s	1.0
v	b	1.0
tː	ʦː	1.0
t_ə	t_ɛ	1.0
s_t	s_t	1.0
s	s	1.0
r_ə	r_i	1.0
r_t	r_ʦ	1.0
r_n	r_n	1.0
pː	p͡f_u	1.0
nː	nː	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
k_s	x_s	1.0
j_ə	e_n	1.0
iː	ɛ_h	1.0
i	i	1.0
h_l	l	1.0
f_r	f_r	1.0
f	f	1.0
dː	tː	1.0
d_ə	t_ɑ	1.0
d_r	t_r	1.0
bː	b_eː	1.0
b	b	1.0
a	n	1.0
w	w	0.992
r	r	0.909
ˈiː	ˈiː	0.854
d	t	0.822
ˈi̯aː	ˈio̯	0.82
h	h	0.816
ˈoː	ˈuo̯	0.786
ˈi	ˈi	0.785
x	x	0.778
ɣ	ɡ	0.755
ˈɔː	ˈɑ	0.75
ˈɛː	ˈei̯	0.722
ˈo	ˈo	0.712
k	k	0.683
j	ɡ	0.661
p	f	0.647
e	ɑ	0.644
ˈu	ˈu	0.63
ə	ɑ	0.522
ˈeː	-	0.365
ˈaː	ˈoː	0.364
ˈeː	ˈɑː	0.362
e	i	0.356
ˈe	ˈɛ	0.348
ˈaː	ˈou̯	0.332
k	xː	0.317
t	s̻	0.312
t	ʦ	0.299
ˈe	ˈɑ	0.269
ˈɔː	ˈɑː	0.25
t	s̻ː	0.248
ɣ	-	0.245
ˈu	ˈo	0.225
x	ɡ	0.222
ˈeː	ˈuo̯	0.22
ˈoː	ˈɑ_n	0.214
ˈɛː	ˈoː	0.184
h	-	0.184
ˈi̯aː	ˈɛ_h	0.18
ˈe	ˈe	0.179
d	d	0.178
p	p	0.177
p	fː	0.177
ə	i	0.163
ˈo	ˈu	0.156
ˈe	ˈu	0.151
ˈiː	-	0.146
ˈu	-	0.145
t	t	0.141
ˈaː	ˈei̯	0.139
ˈo	-	0.132
j	oː	0.128
ˈaː	ˈɑ_h	0.124
j	j	0.112
ə	o	0.104
j	-	0.1
ˈi	-	0.098
ˈɛː	ˈeː	0.094
ə	e	0.073
ˈi	ˈiː	0.071
ə	u	0.058
ˈeː	ˈie̯	0.054
ˈe	-	0.053
ə	n	0.052
