Štokavian	Lower Sorbian	probability
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_j	vʲ	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
z	z	1.0
ǔː	ˈu	1.0
ûː	ˈu	1.0
t_i	ɕ	1.0
s_#>	s_#>	1.0
s	s	1.0
r̂ː	ˈa_r	1.0
o_#>	#>	1.0
o	ɔ	1.0
n_#>	n_ɨ_#>	1.0
m_j	mʲ	1.0
j_ěː	ˈɪ	1.0
j_êː	ˈɪ	1.0
iː	ɨ	1.0
i	i	1.0
êː	ˈɪ	1.0
ǎː	ˈɔ	1.0
âː	ˈɔ	1.0
a_t	ɕ	1.0
<#_t	<#_ɕ	1.0
<#_r	<#_r	1.0
<#	<#_v	1.0
k	k	0.864
ôː	ˈɔ	0.75
a	a	0.731
ʒ	ʐ	0.667
n	n	0.667
m	m	0.667
â	ˈa	0.667
x	x	0.6
î	ˈi	0.6
ě	ˈe	0.6
t	t	0.579
ǒ	ˈɛ	0.571
ʋ	v	0.562
j	-	0.556
d	d	0.526
r	r	0.5
p	pʲ	0.5
p	p	0.5
ô	ˈɛ	0.5
ô	ˈɔ	0.5
eː	ɛ	0.5
eː	e	0.5
b	p	0.5
b	b	0.5
j	j	0.444
l	l	0.435
ǒ	ˈɔ	0.429
x	x_ɨ	0.4
î	ˈɨ	0.4
ě	ˈɔ	0.4
e	e	0.4
l	w	0.391
r	rʲ	0.375
ê	ˈɪ	0.375
ê	ˈa	0.375
ʒ	ʂ	0.333
n	ɲ	0.333
m	mʲ	0.333
â	ˈɔ	0.333
ʋ	vʲ	0.312
e	ɛ	0.3
e	ɔ	0.3
t	ɕ	0.263
d	ʑ	0.263
ôː	ˈɛ	0.25
ê	ˈe	0.25
d	t	0.211
t	ʨ	0.158
k	i	0.136
ʋ	-	0.125
r	ʂ	0.125
a	ɨ	0.115
l	d_w	0.087
l	-	0.087
a	ɛ	0.077
a	kʲ	0.077
