Aragonese	Aragonese	probability
θ_#>	ʃ_#>	1.0
β_o	f	1.0
ˈe_ɣ	ˈɛ_k	1.0
ˈe_n	n_t	1.0
ˈa_ɾ_#>	ˈe_#>	1.0
ʝ	-	1.0
ʎ_o_#>	l_#>	1.0
ʃ_ˈe	ʃ	1.0
ʃ	s	1.0
ɾ_e_#>	#>	1.0
ɾ_#>	#>	1.0
ŋ	ŋ	1.0
ð_a	d_a	1.0
z	ʒ_o	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	ˈa	1.0
w_#>	f_#>	1.0
t_ɾ_o_s_#>	#>	1.0
s_ˈa	s	1.0
s_o_#>	s_#>	1.0
r	r	1.0
o_#>	#>	1.0
m_b	m	1.0
m	m	1.0
k_ˈa	ʨ_ˈɛ	1.0
k_ɾ	k_r	1.0
j_ˈe	ˈɛ	1.0
j_t	t	1.0
j_#>	r_e_#>	1.0
f	f	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
b_ˈa	b_ˈa	1.0
b_ɾ	e_n	1.0
b_e	v_e	1.0
a_#>	#>	1.0
<#_θ	<#_ʨ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_b	<#	1.0
<#_a	<#	1.0
<#	<#_l	1.0
p	p	0.938
n	n	0.923
t	t	0.92
a	a	0.917
l	l	0.903
ˈi	ˈi	0.885
n_#>	n_#>	0.833
i	-	0.778
ˈa	ˈa	0.75
s	s	0.75
ɲ	ɲ	0.714
ɾ_o	r	0.667
ɣ	ɡ	0.667
ɾ	r	0.659
ˈo	ˈo	0.643
k	k	0.622
ʧ	ʒ	0.6
#>	t_#>	0.6
w	w	0.588
ˈu	ˈu	0.579
ɡ	ɡ	0.556
θ	ʧ	0.5
θ	-	0.5
u	ˈo	0.5
u	-	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
b	v	0.476
β	v	0.467
ð	d	0.462
ʎ	j	0.444
ɡ	k	0.444
e	e	0.438
e	-	0.438
o	o	0.429
b	b	0.429
ˈe	ˈe	0.423
ʧ	-	0.4
#>	ʃ_#>	0.4
ð	t	0.385
k	ʨ	0.378
ʎ	l	0.333
ɾ_o	e_r	0.333
ɣ	-	0.333
j	-	0.3
ɲ	-	0.286
o	l	0.286
ˈa	ˈɛ	0.25
j	ˈɛ	0.25
w	-	0.235
ˈe	ˈɛ	0.231
ʎ	d	0.222
i	i	0.222
ˈu	ˈo	0.211
β	ˈɛ_v	0.2
β	b	0.2
j	j	0.2
w	ˈo	0.176
s	s_e	0.167
n_#>	#>	0.167
ð	-	0.154
j	e	0.15
ˈo	ˈɔ	0.143
ˈo	w	0.143
o	f	0.143
o	-	0.143
β	-	0.133
e	j	0.125
ˈi	e	0.115
ˈe	ˈe_j	0.115
ˈu	ˈe	0.105
ˈu	-	0.105
j	ˈe	0.1
ɾ	e	0.098
l	-	0.097
ˈe	j	0.096
b	ʒ_ɡ	0.095
s	z	0.083
t	d	0.08
n	ɲ	0.077
ɾ	w_r	0.073
ɾ	j	0.073
ˈo	-	0.071
p	v	0.062
ˈe	-	0.058
a	-	0.056
