Portuguese	Occitan	probability
d	d	1.0
f	f	1.0
ĩ	i	1.0
l	l	1.0
m	m	1.0
ɔ	u	1.0
ˈĩ	ˈi	1.0
ˈɛ	ˈɛ	1.0
b	b	0.981
t	n_t	0.091
u	-	0.321
ɐ	-	0.121
ɾ	l	0.061
ʁ	r	0.981
ʃ	s	0.671
ʎ	ʎ	0.341
ˈa	l_ˈa	0.051
ˈe	ˈe_j	0.051
β	-	0.241
β	β	0.731
ɣ	k	0.12
ɨ	e	0.792
ɫ	-	0.122
ɲ	n	0.602
ˈe	ˈi	0.202
ˈo	ˈa	0.112
ˈo	ɥ	0.122
ˈɐ̃	ˈa_ŋ	0.192
k	k	0.973
p	p	0.973
t	t	0.653
v	w	0.153
z	-	0.083
ɣ	-	0.223
ɨ	-	0.093
ɫ	e_#>	0.193
ˈẽ	-	0.93
ˈõ	ˈu	0.753
n	-	0.114
w	l	0.504
ð	ð	0.794
ɡ	k	0.094
ɫ	l	0.494
ɾ	r	0.224
ʃ	ʦ	0.134
ʃ	-	0.184
ʒ	ʒ	0.834
ˈo	ɥ_ˈɔ	0.064
ˈɔ	ˈɔ	0.584
s	-	0.055
s	s	0.945
u	e	0.265
ɐ̃	u	0.135
ɐ̃	e	0.865
ɨ	ˈɛ_n	0.115
ˈe	j_ˈe	0.05
ˈi	ˈi	0.845
ˈu	ˈu	0.335
ˈu	ˈy	0.665
ˈɔ	ˈu	0.35
j	j_ˈɛ	0.096
j	ˈɛ	0.276
n	n	0.886
u	w	0.056
u	u	0.06
ð	-	0.206
ɡ	ɡ	0.906
ɫ	n_#>	0.096
ʒ	-	0.166
ˈe	ˈe	0.676
ˈi	n_ˈi	0.086
ˈɐ	-	0.236
ˈɐ	ˈa	0.356
ˈɔ	ˈa	0.066
j	e	0.167
t	-	0.217
w	w	0.457
z	z	0.917
ɐ	ɔ	0.677
ɣ	ɣ	0.657
ɾ	ɾ	0.457
ˈẽ	ˈɛ	0.07
ˈo	ˈɔ	0.307
ˈõ	ˈu_n	0.247
i	e	0.958
j	-	0.138
j	j	0.278
u	i	0.118
u	ˈɛ	0.18
v	v	0.588
ɫ	w	0.068
ɲ	ɲ	0.398
ˈa	ˈa	0.908
ˈi	ˈe	0.068
ˈo	ˈu	0.258
ˈɐ	ˈe	0.408
v	β	0.259
ɐ	a	0.169
ɾ	w_ɾ	0.119
ɾ	-	0.139
ʎ	-	0.659
ˈo	ˈu_n	0.119
ˈɐ̃	ˈa_n	0.219
ˈɐ̃	ˈa	0.589
