Neapolitan	Neapolitan	probability
ˈi	ˈi	1.0
ˈa_k	ˈa_k	1.0
ʧː	ʧː	1.0
ʧ	ɕ	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʎː	ɟː	1.0
ʃ_ə	ɕ_ɪ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɲ	ɲː	1.0
ɡ_ə	ɡ_ʊ	1.0
ɡ	ɡ	1.0
ə_ɾ	ɪ_ɾ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
v_ə	v	1.0
t_ə	t_a	1.0
sː	sː	1.0
rː	ʐː	1.0
p_ə	p_ʊ	1.0
p	p	1.0
nː	nː	1.0
n_ə	n_ɪ	1.0
n	n	1.0
mː	mː	1.0
m_ə	m_a	1.0
m	m	1.0
l	l	1.0
kː_ə	kː_a	1.0
kː_j	cː	1.0
kː	kː	1.0
k_w	k	1.0
k_j	c	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
fː	fː	1.0
f	f	1.0
e	i	1.0
dː	dː	1.0
d	d	1.0
bː	bː	1.0
b	b	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_a	<#_a	1.0
<#	<#_j	1.0
#>	ɪ_#>	1.0
ˈa	ˈa	0.925
ˈu	ˈu	0.923
tː	tː	0.923
lː	ɖː	0.923
v	v	0.903
ˈɔ	ˈɔ	0.889
t	t	0.879
s	s	0.818
ˈɛ	ˈɛ	0.812
u	u	0.8
j	j	0.8
o	ʊ	0.75
w	w	0.714
ɲː	ɲː	0.7
ɾ	ɾ	0.686
ˈe	ˈi	0.684
ʤː	-	0.667
ʤ	ʤ	0.667
ʃː	ʃː	0.667
ˈo	ˈu	0.643
ʃ	ɕ	0.6
i	i	0.6
mː_ə	m_ʊ	0.5
mː_ə	m_ɪ	0.5
ə	ʊ	0.466
i	ɪ	0.4
ʤː	ʤː	0.333
ʤ	-	0.333
ʃː	ʧː	0.333
r	ʐ	0.333
r	ɾ	0.333
r	r	0.333
w	-	0.286
ə	a	0.259
ʃ	ʃ	0.25
o	o	0.25
ə	ɪ	0.238
ˈo	ˈo	0.214
ˈe	ˈe	0.211
ɲː	n_ɕ	0.2
u	-	0.2
j	ɟ	0.2
ɾ	r	0.196
ˈɛ	ˈi	0.188
ʃ	ç	0.15
ˈo	ˈɔ	0.143
t	ʈ	0.121
ˈɔ	ˈa_w	0.111
ˈe	-	0.105
ɲː	ɲ	0.1
v	b	0.097
s	z	0.091
s	-	0.091
ɾ	ɽ	0.078
ˈu	ˈɔ	0.077
tː	ʈː	0.077
lː	lː	0.077
ˈa	ˈa_r	0.075
