Russian	Macedonian	probability
<#_d	<#_d	1.0
<#_dʲ	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_t	<#_t	1.0
<#_tʲ	<#_t	1.0
<#_v	<#_v	1.0
<#_vʲ	<#_v	1.0
<#_x	<#	1.0
<#_zʲ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʨ	<#_ʧ	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
dʲ	d	1.0
j	-	1.0
k	k	1.0
k_#>	k_#>	1.0
k_ə	k	1.0
kʲ	o	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
n_ɨ	n_#>	1.0
nʲ	n	1.0
nʲ_#>	n_#>	1.0
p	p_#>	1.0
pʲ	p	1.0
r	r	1.0
r_ˈo	r_ˈa	1.0
s	s	1.0
s_t	s_t	1.0
sʲ	s	1.0
t	t	1.0
t_#>	t_#>	1.0
v	v	1.0
v_ɨ	f	1.0
vʲ	v	1.0
vʲ_ˈe	v_ɛ	1.0
z	z	1.0
ɡ	ɡ	1.0
ɨ	-	1.0
ɪ_j	k_#>	1.0
ɪ_lʲ	ˈɛ_l	1.0
ɪ_r	ɛ_r	1.0
ɫ_#>	ɫ_#>	1.0
ɫ_ɨ	ɫ_#>	1.0
ʂ	ʃ	1.0
ʦ	ʦ	1.0
ˈa_#>	a	1.0
ˈe_r	ˈr̩	1.0
ˈo_#>	o_#>	1.0
ˈo_ɫ	ˈo_ɫ	1.0
ˈɛ	ˈɛ	1.0
ˈɵ_r	ˈr̩	1.0
ˈo	ˈu	0.091
tʲ_#>	t_#>	0.692
ɐ	-	0.312
ɫ	ɫ	0.692
ɪ	ɛ	0.263
ˈa	ˈɛ	0.333
ˈo	-	0.273
ˈɨ	i	0.333
ə_#>	a_#>	0.4
ɪ	ˈɛ	0.474
ˈu	ˈu	0.4
<#_z	<#_z	0.5
<#_z	<#_ʣ	0.5
lʲ	l	0.5
lʲ	ɫ_#>	0.5
rʲ	-	0.25
rʲ	r	0.75
ɐ	ˈo	0.5
ə	ɛ_#>	0.5
ə	-	0.5
ɪ	ˈr̩	0.105
ˈe	ɛ	0.125
ˈe	ˈɛ	0.875
ˈi	i	0.25
ˈi	ˈi	0.75
ə_#>	o_#>	0.6
ˈo	ˈo	0.636
ˈu	ˈa	0.6
ˈa	ˈa	0.667
ˈɨ	ˈi	0.667
tʲ_#>	ɛ_#>	0.308
ɐ	ˈɛ	0.188
ɪ	-	0.158
ɫ	ɫ_ˈa	0.308
