West Frisian	Northern Low Saxon	probability
b	b	0.931
b	-	0.069
d	d	0.98
f	f	1.0
h	h	1.0
j	-	0.522
j	ˈaɪ̯	0.098
j	ʒ	0.077
j	ˈɔʏ̯	0.067
j	ˈiː	0.064
j	aɪ̯	0.052
k	ɡ	0.426
k	-	0.227
k	kʰ	0.219
k	k	0.078
l	l	0.941
l	-	0.059
m	m	0.958
n	n	0.925
p	b	0.784
p	p	0.139
p	pʰ	0.077
r	ɐ	0.396
r	r	0.369
r	-	0.157
s	ʃ	0.397
s	s	0.313
s	z	0.281
t	d	0.625
t	t	0.203
t	tʰ	0.108
v	v	0.643
v	m	0.179
v	-	0.109
v	f	0.069
z	ŋ	0.562
z	-	0.281
z	s	0.111
ŋ	ŋ	0.712
ŋ	ç	0.213
ŋ	n	0.075
ɕ	z	1.0
ə	-	0.942
ɡ	ɡ	0.827
ɡ	j	0.173
ɣ	ɡ	0.62
ɣ	ç	0.213
ɣ	ŋ	0.129
ɪ	ɪ	0.62
ɪ	-	0.38
ʋ	v	1.0
ʦ	kʰ	0.466
ʦ	d	0.332
ʦ	tʰ	0.202
ˈa	ˈa	0.657
ˈa	ˈoː	0.165
ˈa	ˈœː	0.066
ˈaː	ˈaɪ̯	0.286
ˈaː	ˈoː	0.236
ˈaː	ˈa	0.222
ˈaː	ˈɛ	0.114
ˈaː	ˈaː	0.108
ˈeː	ˈaɪ̯	0.484
ˈeː	ˈɔʏ̯	0.329
ˈeː	ˈaʊ̯	0.142
ˈi	ˈiː	0.515
ˈi	ˈɪ	0.395
ˈiə̯	ˈaɪ̯	0.447
ˈiə̯	ˈoː	0.359
ˈiə̯	ˈɔʏ̯	0.096
ˈiː	ˈiː	0.4
ˈiː	ˈɪ	0.281
ˈiː	ˈeː	0.118
ˈiː	ˈaɪ̯	0.088
ˈiː	ˈyː	0.057
ˈiː	ˈɛɪ̯	0.056
ˈoə̯	ˈaʊ̯	0.418
ˈoə̯	ˈoː	0.246
ˈoə̯	ˈøː	0.172
ˈoə̯	ˈɔ	0.125
ˈoː	ˈuː	0.622
ˈoː	ˈaʊ̯	0.378
ˈu	ˈʊ	0.907
ˈu	ˈʏ	0.065
ˈuə̯	ˈaʊ̯	0.552
ˈuə̯	-	0.324
ˈuə̯	ˈuː	0.075
ˈuː	ˈuː	0.486
ˈuː	ˈʊ	0.169
ˈuː	ˈoː	0.109
ˈuː	-	0.069
ˈuː	ˈaʊ̯	0.064
ˈuː	ˈyː	0.064
ˈu̯o	ˈɔʏ̯	1.0
ˈy	ˈʏ	1.0
ˈyː	ˈʊ	0.378
ˈyː	ˈyː	0.335
ˈyː	ˈøː	0.177
ˈyː	ˈuː	0.109
ˈø	ˈeː	0.501
ˈø	ˈoː	0.25
ˈø	ˈʏ	0.25
ˈøə̯	ˈʏ	1.0
ˈɔ	ˈʊ	0.389
ˈɔ	ˈɔ	0.167
ˈɔ	ˈɛ	0.149
ˈɔ	ˈeː	0.074
ˈɔ	ˈoː	0.065
ˈɔ	ˈuː	0.061
ˈɔ	ˈɪ	0.061
ˈɔu̯	ˈaɪ̯	0.598
ˈɔu̯	ə	0.256
ˈɔu̯	ˈʊ	0.146
ˈɔː	ˈa	0.557
ˈɔː	ˈøː	0.215
ˈɔː	ˈaʊ̯	0.174
ˈɔː	ˈɔ	0.054
ˈɛ	ˈiː	0.282
ˈɛ	ˈaː	0.244
ˈɛ	ˈɛɪ̯	0.189
ˈɛ	ˈɛ	0.091
ˈɛi̯	ˈɪ	0.331
ˈɛi̯	ˈeɪ̯	0.306
ˈɛi̯	ˈoː	0.102
ˈɛi̯	ˈa	0.076
ˈɛi̯	ˈɛ	0.067
ˈɛi̯	ˈaɪ̯	0.062
ˈɛi̯	ˈø	0.055
ˈɛː	ˈa	0.34
ˈɛː	ˈʏ	0.252
ˈɛː	ɐ	0.242
ˈɛː	ˈeɪ̯	0.166
ˈɪ	ˈɪ	0.3
ˈɪ	-	0.189
ˈɪ	ˈʏ	0.148
ˈɪ	ˈɛ	0.055
ˈɪə̯	ˈaʊ̯	0.387
ˈɪə̯	ˈoː	0.178
ˈɪə̯	ˈaɪ̯	0.137
ˈɪə̯	ˈaː	0.116
ˈɪə̯	ˈɔʏ̯	0.106
ˈɪə̯	ˈɛ	0.076
χ	x	0.584
χ	ç	0.323
χ	ɡ	0.093
