Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈʉːə̯_ɣ	j	1.0
ˈʉː_n	ˈõː	1.0
ˈɪ̃ː	m_ˈiː	1.0
ˈɛː	-	1.0
ˈɛ_ɡː	ˈɑːɪ̯	1.0
ˈɔ	ˈɑ	1.0
ˈɑːi̯	ˈaɪ̯	1.0
ˈɑ_r	ˈɑː_ɐ	1.0
ˈɑ	ˈɑ	1.0
ˈœ	ˈɪ	1.0
ˈæ	-	1.0
ˈyːœ̯_n	ˈĩː	1.0
ˈyːœ̯	-	1.0
ˈyœ̯	-	1.0
ˈoː	ˈoː	1.0
ʥː	ɡ̊	1.0
ʥ	ɡ̊	1.0
ʏ	-	1.0
ʉ_ŋ	ɪ	1.0
ʉ_#>	#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡː	ɡ̊	1.0
ɛ_ɽ	l	1.0
ɛ_r	ɐ	1.0
ɛ_n	ə	1.0
ɛ	-	1.0
ɔ̃	eː	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
v_#>	b̥_#>	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_#>	s_#>	1.0
rː	ˈɛ_ɐ	1.0
pː	f	1.0
p_#>	f_#>	1.0
p	f	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_ɡ̊	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈiː	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
a	ə	1.0
<#_ˈɪː	<#_ˈɪ	1.0
<#_ˈɔ	<#_ˈɑ	1.0
<#_ˈɑː	<#_ˈɑ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ˈɪ	ˈɪ	0.895
ˈɑːu̯	ˈau̯	0.875
ɑ	ə	0.867
ɡ	ɡ̊	0.833
<#	<#_h	0.833
w	β	0.81
n	n	0.8
ˈɑː	ˈɑː	0.778
ˈʉː	-	0.714
t	s	0.7
tʰ	d̥	0.688
ˈɔ̃ː	n	0.667
ɔ	ə	0.667
nː	n	0.667
ð	d̥	0.652
s	s	0.652
ˈʉə̯	ˈɔ	0.625
ˈiːe̯	ˈɛː	0.625
ˈɛ	ˈɛ	0.615
ˈʏː	ˈaɪ̯	0.6
ˈʏ	ˈɪ	0.6
ˈæː	-	0.6
ˈo	-	0.6
ˈʉːə̯	ˈuː	0.571
k	ʃ	0.545
ˈʉ	ˈu	0.533
r	ɐ	0.512
ɣ	ʃ	0.5
r	r	0.488
j	ˈɛ	0.467
k	x	0.455
ˈʏː	-	0.4
ˈʏ	-	0.4
ˈɔː	ˈoː	0.4
ˈæː	ˈeː	0.4
ˈo	ˈɑ	0.4
ˈɛ	-	0.385
ˈʉə̯	-	0.375
ˈœː	ˈɑː	0.375
ˈœː	ˈoː	0.375
ˈiːe̯	-	0.375
v	f	0.364
#>	ɐ_#>	0.357
s	ʃ	0.348
ˈɔ̃ː	ˈo	0.333
ɣ	x	0.333
ɔ	-	0.333
tː	d̥	0.333
nː	ɐ_n	0.333
tʰ	ʣ̥	0.312
ˈʉː	ˈeː	0.286
v	β	0.273
j	-	0.267
ð	r	0.261
ˈɪː	ˈɪ	0.25
ˈɪː	ˈɑ̃ɪ̯	0.25
ˈɪː	ˈaɪ̯	0.25
ˈɪː	-	0.25
ˈœː	-	0.25
ˈɑː	ˈɑ	0.222
tː	ʣ̥	0.222
tː	x_d̥	0.222
tː	s	0.222
ˈʉːə̯	ˈiː	0.214
ˈʉːə̯	-	0.214
#>	s_#>	0.214
#>	n_#>	0.214
#>	d̥_#>	0.214
ˈʉ	ˈɔ	0.2
ˈɔː	ˈɑ_l	0.2
ˈɔː	l	0.2
ˈɔː	-	0.2
n	-	0.2
j	ˈiː	0.2
w	β_ˈɛː	0.19
v	b̥	0.182
v	-	0.182
ɣ	ɡ̊	0.167
ɡ	ʃ	0.167
<#	<#_β	0.167
t	ʣ̥	0.15
t	d̥	0.15
ˈʉ	β_ˈɔ	0.133
ˈʉ	ˈɪ	0.133
ˈɑːu̯	ˈau̯̯	0.125
ˈɪ	-	0.105
ɑ	-	0.1
ð	ɐ	0.087
j	ˈi	0.067
