Catalan	Catalan	probability
β_ə	b	1.0
ˈɛ_n	ã	1.0
ˈɔ_w	œ_f	1.0
ˈɔ_s	o	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_k	øʏ̯	1.0
ˈu_ə	øʏ̯	1.0
ˈu_t	y	1.0
ˈu_n	w_ẽɪ̯̃	1.0
ˈo_ʎ	u	1.0
ˈo_#>	ɒ̃ʊ̯̃_#>	1.0
ˈi_w	y	1.0
ˈi_t	i	1.0
ˈi_k	i	1.0
ˈi_#>	i_ʁ_#>	1.0
ˈe_ʎ	oʊ̯	1.0
ˈe_s	ɛɪ̯	1.0
ˈe_n	ã	1.0
ˈa_ɲ	ã	1.0
ˈa_w	æɛ̯	1.0
ˈa_r	æɛ̯_ʁ	1.0
ˈa_n	ã	1.0
ˈa_l	oʊ̯	1.0
ˈa_#>	e_#>	1.0
ʧ_#>	#>	1.0
ʤ	ʒ	1.0
ʃ_ə	t_ʁ	1.0
ʃ	-	1.0
ɡ_ˈo	ɡ	1.0
ɡ	ɡ	1.0
ə_β	œ_v	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	z	1.0
w_ˈa	a	1.0
t_ə_#>	t_#>	1.0
t_#>	#>	1.0
s_ə	s	1.0
s_#>	#>	1.0
r	ʁ	1.0
n_ə	n	1.0
n_#>	#>	1.0
mː	m	1.0
m_#>	#>	1.0
l_#>	#>	1.0
k_ə	ʃ	1.0
j_#>	ɛ_#>	1.0
i	-	1.0
f	f	1.0
a	-	1.0
<#_ʎ	<#_l	1.0
<#_ə_ʒ	<#_æɛ̯	1.0
<#_ə_s	<#_e	1.0
<#_ə	<#_a	1.0
<#_u	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#	<#_l	1.0
ɾ	ʁ	0.946
l	l	0.917
m	m	0.9
p	p	0.897
ʒ	ʒ	0.882
s	s	0.857
ð	-	0.833
β	v	0.8
t	t	0.8
m_ə	m	0.778
n	n	0.714
d	d	0.714
ɣ	-	0.667
w_ɾ	ɛ_ʁ	0.667
k	k	0.625
b	v	0.594
#>	ʁ_#>	0.529
ʎ	j	0.5
ɲ	ɲ	0.5
w_#>	ɛ_#>	0.5
w_#>	#>	0.5
w	i	0.5
w	-	0.5
j	i	0.5
j	-	0.5
b	b	0.406
ˈi	ɪ	0.393
k	ʃ	0.375
ˈe	ɛ	0.368
ɣ	ɡ	0.333
w_ɾ	ʁ	0.333
ə	a	0.323
ˈɔ	ɑɔ̯	0.32
u	u	0.318
ˈu	y	0.3
ˈɛ	æɛ̯	0.286
ˈɛ	w	0.286
ˈi	ẽɪ̯̃	0.286
n	ã	0.286
d	ʣ	0.286
u	ɔ	0.273
u	-	0.273
ˈo	ʊ	0.267
ˈo	u	0.267
ˈo	-	0.267
ˈe	j	0.263
ˈa	æɛ̯	0.262
ˈa	ẽɪ̯̃	0.262
ˈu	ɥ	0.25
ˈu	-	0.25
ˈi	i	0.25
ʎ	l	0.25
ɲ	ẽɪ̯̃	0.25
ɲ	-	0.25
m_ə	m_w	0.222
ˈe	æɛ̯	0.211
β	-	0.2
ˈɛ	ɛ	0.2
ˈɔ	ɔ	0.2
ˈo	aœ̯	0.2
t	ʦ	0.2
ˈa	a	0.19
#>	ɛ_#>	0.176
#>	e_#>	0.176
ð	d	0.167
ə	œ	0.161
ˈɔ	u	0.16
ˈe	w	0.158
ʎ	øʏ̯	0.15
ˈa	e	0.143
s	ʁ	0.143
u	ɑɔ̯	0.136
ə	-	0.129
ʒ	-	0.118
#>	ẽɪ̯̃_#>	0.118
p	-	0.103
ˈu	ɥ_ɪ	0.1
ˈu	œ	0.1
ʎ	-	0.1
m	-	0.1
ˈɛ	w_ɛ	0.086
ˈɛ	-	0.086
l	-	0.083
ˈɔ	ɒ̃ʊ̯̃	0.08
ˈɔ	œ	0.08
ˈɔ	oʊ̯	0.08
ˈɔ	aœ̯	0.08
ˈi	e	0.071
ˈa	ɛ	0.071
ˈa	ã	0.071
ə	ʁ	0.065
ə	ɛ	0.065
ə	æɛ̯_z	0.065
ə	æɛ̯	0.065
ə	w	0.065
ə	n	0.065
ˈɛ	j_ɛ	0.057
ɾ	ʁ_w	0.054
