Northern Low Saxon	Northern Low Saxon	probability
ˈɛɪ̯	-	1.0
ˈɛ	ˈæ	1.0
ˈɔː	ˈʏ_ɾ	1.0
ˈœː	-	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈyː	1.0
ˈeɪ̯	-	1.0
ˈaː	ˈæ_ɾ	1.0
ˈaʊ̯_l	ˈɑu̯	1.0
ˈa	ˈɑ	1.0
ʒ	j	1.0
ɪ	i	1.0
ɡ_n	k_ə	1.0
ɐ_n	ɾ_ə	1.0
ɐ_d	ɾ_d̥	1.0
z̥	z̥	1.0
z	z	1.0
x_d	x_t	1.0
x	x	1.0
v̥	v̥	1.0
v	ʋ	1.0
r	ɾ	1.0
p	-	1.0
k	k	1.0
j	x	1.0
i	ɪ	1.0
d_r	d_ɾ	1.0
d_n	t_ə	1.0
b_m	p_ə	1.0
aɪ̯	iː	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_pʰ	<#_p	1.0
<#_kʰ	<#_k	1.0
<#_h	<#	1.0
<#	<#_ˈɛː	1.0
#>	k_#>	1.0
m	m	0.917
l	ɫ	0.907
ˈiː	ˈi	0.818
ˈoː	ˈɛː	0.783
ç	x	0.778
f	v	0.769
ˈɔ	ˈɔ	0.75
ŋ	ŋ	0.75
n	n	0.712
b	b	0.682
ˈeː	ˈeː	0.667
s	s	0.667
t	t	0.636
ˈɪ	ˈɪ	0.625
ˈøː	ˈøː	0.6
ˈaʊ̯	ˈʊə̯	0.6
ʃ	s	0.571
ˈʊ	ˈɔ	0.533
ˈaɪ̯	ˈiː	0.524
ˈœ	ˈæ	0.5
ˈœ	-	0.5
ɐ	ə_ɾ	0.469
ˈʏ	-	0.444
ˈɔʏ̯	ˈuː	0.429
ˈøː	-	0.4
ɡ	x	0.36
d	d̥	0.355
ɐ	ɾ	0.344
d	d	0.339
ˈʏ	ˈɪ	0.333
ˈeː	-	0.333
s	s_t	0.333
ˈɔʏ̯	ˈʊə̯	0.286
ˈɔʏ̯	-	0.286
ˈaɪ̯	ˈɪə̯	0.286
ɡ	k	0.28
ˈɔ	-	0.25
ŋ	x_ə	0.25
ʃ	s_x	0.238
f	v̥	0.231
b	p	0.227
ˈʏ	ˈʏ	0.222
ç	ŋ_k	0.222
ˈoː	-	0.217
d	t	0.21
ˈɪ	ˈi	0.208
ˈʊ	ˈu	0.2
ɡ	k_ə	0.2
ʃ	z	0.19
ˈiː	ˈyː	0.182
t	t_ə	0.182
t	d̥	0.182
ˈɪ	-	0.167
ˈaʊ̯	-	0.16
ɡ	x_ə	0.16
ˈaɪ̯	ˈæi̯	0.143
ˈʊ	ˈʏ	0.133
ˈʊ	-	0.133
ɐ	ɾ_ə	0.125
ˈaʊ̯	ˈuː	0.12
ˈaʊ̯	ˈu	0.12
n	ə	0.091
n	n_ə	0.091
b	p_ə	0.091
m	v̥	0.083
n	n_d	0.076
ɐ	ə	0.062
