Lengadocian	Lengadocian	probability
ˈɛ_ʧ_#>	ˈe_#>	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈu_l	ˈu_j	1.0
ˈe_j	ˈɛ_j	1.0
ˈa_m	ˈã_m	1.0
ˈa_k	ˈa_k	1.0
ʧ_#>	#>	1.0
ʧ	ʧ	1.0
ʦ_#>	s_#>	1.0
ʤ	ʤ	1.0
ʎ	j	1.0
ʀ	ʀ	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɥ	ɥ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	z	1.0
y	y	1.0
w_ɾ	w_ɾ	1.0
w	w	1.0
s_ˈe	s_ˈe	1.0
s_ɔ	s_ɔ	1.0
s_k	s_k	1.0
s_e	s_e	1.0
nː	ŋ_n	1.0
n_ʤ	ŋ_ʤ	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_e	l_e	1.0
l_#>	w_#>	1.0
k	k	1.0
j	j	1.0
f	f	1.0
d	d	1.0
b_ˈu	b_w	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
p	p	0.949
e	e	0.902
a	a	0.897
i	i	0.875
#>	ŋ_#>	0.87
u	u	0.857
ˈe	ˈe	0.852
l	l	0.85
ˈɔ	w_ˈe	0.846
ˈa	ˈa	0.829
s	s	0.806
ˈi	ˈi	0.771
<#_ˈa	<#_ˈa	0.75
ˈu	ˈu	0.727
t	t	0.717
β	b	0.65
ˈy	ˈy	0.65
b	v	0.629
ˈɛ	ˈɛ	0.583
n	n	0.545
b	b	0.371
β	v	0.35
n	ŋ	0.345
t	-	0.283
ˈu	ˈũ	0.273
ˈɛ	ˈe	0.25
<#_ˈa	<#_ˈã	0.25
ˈy	ˈỹ	0.2
ˈi	ˈĩ	0.171
ˈa	ˈã	0.171
ˈɛ	ˈẽ	0.167
ˈɔ	ˈɔ	0.154
ˈy	ˈũ	0.15
ˈe	ˈẽ	0.148
s	-	0.145
#>	ɔ_#>	0.13
i	ĩ	0.125
a	ã	0.103
l	j	0.1
u	-	0.095
e	i	0.059
ˈi	j_ˈe	0.057
p	-	0.051
