Gascon	Gascon	probability
ˈɛ_t	ˈe_l	1.0
ˈɛ_j	ˈa	1.0
ˈo	-	1.0
ˈi_#>	ˈiː_#>	1.0
ˈe_j	ˈɛ	1.0
ˈa_w	ˈɔː	1.0
ˈa_t	ˈɛː	1.0
ˈa_j	w	1.0
ˈa_#>	ˈaː_#>	1.0
ʦ	ʒ	1.0
ʤ	-	1.0
ʒ	ʤ	1.0
ʎ	ʤ	1.0
ʃ	ʃ	1.0
ɾ_ˈe	r_ˈe	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ŋ_#>	ŋ_#>	1.0
ð_ɔ_#>	#>	1.0
z_ˈa	j	1.0
y	y	1.0
w_ˈa	w_ˈa	1.0
w_t	t	1.0
w_r	u	1.0
s_k	s_k	1.0
s_e	s_e	1.0
r_#>	#>	1.0
p_l	ʧ	1.0
p	p	1.0
mː	e	1.0
m	m	1.0
lː	-	1.0
l_ˈa	ˈa	1.0
l_ɔ	a	1.0
k_l	ʧ	1.0
k_a	k_a	1.0
k_#>	ɡ_u_#>	1.0
j_ˈe	ˈeː	1.0
h	f	1.0
b	b	1.0
a_ð	ɥ	1.0
a_w	ɔː	1.0
<#_ʒ	<#_z	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e_h	<#_ʃ	1.0
<#_a_r	<#_r	1.0
<#	<#_l	1.0
k	k	0.951
ɔ	a	0.895
<#_b	<#_v	0.895
β	v	0.867
ŋ	ŋ	0.818
s	s	0.804
t	t	0.788
d	d	0.778
e_#>	u_#>	0.75
n_#>	ŋ_t_u_#>	0.714
w_#>	#>	0.7
w_ˈe	ˈø	0.667
r	r	0.667
#>	u_#>	0.662
j	-	0.643
a	a	0.636
n	ŋ	0.632
ð	-	0.625
ˈe	ˈe	0.615
j_t	t	0.6
z	-	0.571
u	u	0.571
ˈi	ˈi	0.56
ɾ	r	0.559
ˈu	ˈu	0.543
ˈa	ˈa	0.519
s_#>	j_#>	0.5
s_#>	#>	0.5
l	l	0.5
l	-	0.5
i	i	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
e	e	0.459
ˈɛ	ˈeː	0.458
z	z	0.429
j_t	t_e	0.4
ˈɔ	ˈɔ	0.375
ˈɔ	ˈøː	0.375
ð	d	0.375
n	n	0.368
a	-	0.364
ˈi	ˈiː	0.36
w_ˈe	ˈøː	0.333
ˈy	ˈyː	0.318
ˈy	ˈy	0.318
ˈa	ˈaː	0.315
ˈu	ˈuː	0.314
w	-	0.308
w_#>	v_e_#>	0.3
u	-	0.286
n_#>	ŋ_t_e_#>	0.286
#>	e_#>	0.277
ɾ	-	0.265
ˈɔ	ˈɔː	0.25
i	u	0.25
i	e	0.25
e_#>	#>	0.25
w	w	0.231
r	r_n	0.222
d	-	0.222
ˈɛ	ˈɛː	0.208
e	-	0.189
ˈy	ˈu	0.182
ˈy	-	0.182
ŋ	n_u	0.182
ɾ	j	0.176
ˈɛ	ˈɛ	0.167
ˈe	ˈeː	0.154
w	ˈaː	0.154
w	v_u	0.154
w	u	0.154
u	w	0.143
j	z_u	0.143
j	e	0.143
β	-	0.133
s	-	0.118
r	ˈɛː	0.111
e	j	0.108
e	i	0.108
<#_b	<#_ʒ	0.105
ˈe	ˈe_j	0.103
t	l_u	0.091
ˈu	-	0.086
ˈɛ	ˈe	0.083
ˈɛ	-	0.083
e	r_u	0.081
ˈi	-	0.08
s	i	0.078
ˈe	ˈɛː	0.077
j	sː	0.071
t	d_u	0.061
t	-	0.061
ˈu	ˈy	0.057
ˈa	ˈɛː	0.056
e	r	0.054
ˈe	-	0.051
