Limburgish	Limburgish	probability
β_ˈæ	v	1.0
ˈʏː	-	1.0
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈɛɪ̯	1.0
ˈɛː_l	ˈɪ_l	1.0
ˈɔu̯	ˈuː	1.0
ˈɒː	ˈɒː	1.0
ˈɑː	ˈa	1.0
ˈɑ	ˈa	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈœ	ˈʏ	1.0
ˈyː	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈeo̯	1.0
ˈoː	-	1.0
ˈi_#>	ˈɛɪ̯_#>	1.0
ʃ	ʃ	1.0
ʀ_ə	ɐ	1.0
ʀ_t	ɐ_t	1.0
ɦ	h	1.0
ɣ_ə	ŋ	1.0
ɡ	-	1.0
ə_ʀ	ɐ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
x	x	1.0
w	l	1.0
v	f	1.0
t	t	1.0
p_ə	b_m	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_ə	d	1.0
j_#>	#>	1.0
i	ɒː	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_j	<#_j	1.0
<#	<#_ˈeo̯	1.0
#>	ə_#>	1.0
k	k	0.939
β	v	0.84
ˈiː	ˈiː	0.833
z	z	0.762
ˈɪ	ˈɪ	0.714
v̥	f	0.7
ə	n	0.674
j	-	0.667
s	s	0.619
ˈɛː	ˈɛɪ̯	0.615
ˈæː	ˈa	0.6
ˈi	-	0.6
ɣ	ɣ	0.6
ˈɛ	ˈɪ	0.571
ˈɔː	-	0.571
ˈɔ	ˈʊ	0.5
ˈɔ	ˈɔ	0.5
ˈøː	ˈɔʏ̯	0.5
ˈøː	-	0.5
z̥	z̥	0.5
z̥	z_ə	0.5
v_ə	v_n	0.5
v_ə	m	0.5
ʀ	ɐ	0.457
ʀ	r	0.457
ˈɛ	-	0.429
ˈɔː	ˈeo̯	0.429
ˈæː	-	0.4
ˈi	ˈɛɪ̯	0.4
ˈeː	ˈɛɪ̯	0.393
s	ʃ	0.381
ɣ̊	ç	0.375
ˈʊː	-	0.35
j	t_ə	0.333
ˈaː	ˈa	0.316
ˈʊː	ˈʊ	0.3
ˈɪ	n	0.286
ə	-	0.283
ɣ	j	0.267
ɣ̊	ɣ_ə	0.25
ɣ̊	-	0.25
z	s	0.238
ˈeː	ˈeː	0.214
ˈaː	ˈɒː	0.211
ˈaː	-	0.211
ˈʊː	ˈaʊ̯	0.2
v̥	v_ə	0.2
ˈiː	-	0.167
β	w	0.16
ˈɛː	ˈɛ	0.154
ˈɛː	-	0.154
ˈʊː	ˈoː	0.15
ˈeː	ˈɛː	0.143
ɣ	-	0.133
ɣ̊	ɣ̊	0.125
ˈeː	ˈɪ	0.107
ˈaː	ˈa_l	0.105
ˈaː	l	0.105
v̥	v̥	0.1
ˈɛː	ˈaɪ̯	0.077
ˈeː	ˈɛ	0.071
ˈeː	-	0.071
k	-	0.061
ˈaː	ˈɛə̯	0.053
