Eastern Lombard	Italian	probability
b	b	1.0
i	i	1.0
w	w	1.0
z	ʤ	1.0
ŋ	ŋ	1.0
ʋ	v	1.0
ˈy	ˈu	1.0
l	l_o	0.081
o	o	0.781
s	-	0.091
ɡ	ɡ	0.781
ʤ	ʤ	0.331
ʧ	tː	0.641
ˈa	ˈa_n	0.081
ˈa	ˈa_r	0.191
ˈi	ˈi_n	0.11
ˈi	ˈe	0.201
ˈo	ˈɔ	0.471
a	a	0.892
j	ʎː	0.162
k	k	0.852
l	-	0.072
m	m_e	0.102
s	ʧ_e	0.102
ˈo	ˈu	0.102
ˈu	ˈo_n	0.192
ˈɛ	ˈe	0.422
e	a	0.093
f	f	0.883
k	k_o	0.073
r	r_o	0.193
t	t_e	0.123
t	t	0.473
ˈe	ˈi	0.143
f	v_e	0.054
f	-	0.064
j	-	0.054
s	ʧː	0.064
s	s	0.454
t	t_o	0.144
ˈɔ	ˈɔ	0.904
d	t	0.225
l	lː	0.085
r	r	0.765
t	tː_o	0.105
ɡ	-	0.095
ɡ	k	0.125
ɲ	n	0.145
e	-	0.156
e	e	0.536
s	ʧ	0.166
t	tː	0.116
ˈe	j_ˈɛ	0.116
ˈe	ˈe	0.436
ˈu	w_ˈɔ	0.06
ˈɔ	ˈo	0.096
d	-	0.057
d	d	0.717
e	i	0.127
j	o	0.107
j	j	0.677
l	l	0.547
n	n	0.977
ɲ	ɲː	0.587
ˈe	ˈɛ_n	0.147
ˈo	ˈo	0.427
ˈø	w_ˈɔ	0.097
l	l_e	0.068
l	lː_o	0.148
s	sː_o	0.068
ɲ	ɲː_o	0.268
ˈa	ˈa	0.728
ˈe	ˈɛ	0.158
ˈi	ˈi_r	0.08
ˈi	ˈi	0.58
ˈu	ˈo	0.748
ˈø	o	0.168
ˈø	ˈɔ	0.168
ˈø	ˈu	0.568
ˈɛ	ˈɛ	0.578
e	o	0.089
m	-	0.109
m	m	0.789
o	e	0.219
p	p	0.99
ʤ	ɡ_j	0.669
ʧ	kː_j	0.359
