Štokavian	Upper Sorbian	probability
êː	ˈe	1.0
ěː	ˈe	1.0
i	i	1.0
iː	ɪ	1.0
îː	ˈi	1.0
ǐː	ˈi	1.0
k	k	1.0
ô	ˈɔ	1.0
r̂ː	ʀ	1.0
r̩̂ː	ʀ	1.0
r̩̂	ʀʲ	1.0
z	z	1.0
ɲ	ɲ	1.0
ʎ	l	1.0
ʧ	ʧ	1.0
ʨ	ʦ	1.0
d	d	0.511
e	ɔ	0.351
ě	ɛ	0.111
n	n_ɪ	0.201
n	ɲ	0.261
ǒ	ˈɔ	0.851
ʦ	ʦ	0.91
d	t	0.142
e	ˈɛ	0.302
r	ʀ	0.752
t	ʧ	0.452
ʋ	ɥ	0.412
âː	ˈo	0.343
b	p	0.573
l	w	0.623
m	m	0.703
ôː	ˈo	0.753
s	<#_β	0.063
û	<#_β	0.273
x	xʲ_i	0.143
ɡ	ɦ	0.703
ʒ	ʒ	0.683
â	ˈɔ	0.274
b	bʲ	0.14
ě	ˈɛ	0.554
î	ˈi	0.874
j	-	0.664
p	p	0.484
ûː	l	0.175
ûː	ˈu	0.825
a	ˈɔ	0.096
a	a	0.746
â	ˈa	0.726
ě	ˈɔ	0.336
î	ˈɪ	0.126
j	j	0.336
l	l	0.366
o	ɔ	0.956
p	pʲ	0.516
ʋ	β	0.496
âː	ˈa	0.657
e	ɛ	0.347
ê	ˈe	0.957
m	mʲ	0.297
ôː	ˈɔ	0.247
r	ʀʲ	0.17
s	s	0.937
û	ˈɔ_w	0.727
x	x	0.857
ʒ	ʃ	0.317
a	-	0.158
b	b	0.288
d	ʤ	0.348
n	n	0.538
t	t	0.548
ɡ	x	0.188
ǒ	ɔ	0.149
r	-	0.079
ɡ	ɪ_#>	0.109
ʋ	-	0.059
ʦ	k	0.09
