Upper Sorbian	Upper Sorbian	probability
ʨ_#>	#>	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʀ_ɪ	a_r	1.0
ʀ	r	1.0
ɪ_#>	#>	1.0
ɦ	ɡ	1.0
ɥ	v	1.0
ɔ_ʀ	r̩	1.0
ɔ_#>	ɛ_#>	1.0
z̥	z̥	1.0
z	z	1.0
xʲ_i	x	1.0
w_ɪ	f	1.0
w_a	v_a	1.0
w_#>	ɫ_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ_i	k	1.0
k	k	1.0
j_ɛ	ɛ	1.0
e_ʀ	r̩	1.0
e	ɛ_ˈ	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_x	<#	1.0
w	ɫ	0.889
a	a	0.878
ʀʲ	r	0.875
ɛ	ɛ	0.87
ɲ	n	0.857
i	i	0.846
ʥ	d	0.833
ʨ	t	0.818
ʦ	ʦ	0.75
j	j	0.667
o	o_ˈ	0.643
ɪ	i	0.636
ɔ	o	0.636
l	l	0.632
<#_w	<#	0.533
ʃ	ʃ	0.5
ʃ	r	0.5
#>	ɛ_#>	0.5
#>	o_#>	0.5
u	u	0.474
<#_w	<#_v	0.467
u	a_ˈ	0.368
l	ɫ	0.368
ɪ	ɛ	0.364
j	-	0.333
x	ɡ̊	0.3
x	v	0.3
ʦ	c	0.25
o	a_ˈ	0.214
x	k	0.2
x	f	0.2
ʨ	ˈ_ɛ	0.182
ʥ	ɟ	0.167
u	-	0.158
i	-	0.154
ɔ	ɛ	0.145
ɲ	ɲ	0.143
o	ɔ	0.143
ɛ	-	0.13
ʀʲ	ɾ	0.125
w	-	0.111
ɔ	a_ˈ	0.109
a	ɛ_ˈ	0.073
ɔ	ɔ_ˈ	0.055
ɔ	u	0.055
