Lithuanian	Lithuanian	probability
ˈ_s_#>	#>	1.0
ˈ_#>	#>	1.0
ˈ	ˈ	1.0
ʒ	z	1.0
ɪ_#>	#>	1.0
ɛʊ̯	ʉ	1.0
ɛɪ̯	i	1.0
ɕ	-	1.0
ɐʊ̯	u	1.0
ɐɪ̯	vʲ_æ	1.0
ɐ_s	ɨ	1.0
ŋʲ_ɡʲ	ʐ̊	1.0
ŋ	-	1.0
z	-	1.0
v_ɐ	a	1.0
v	v	1.0
uː	ɨ	1.0
uə̯	-	1.0
tʲ	ʦʲ	1.0
sʲ	-	1.0
s_#>	#>	1.0
rʲ	r	1.0
p	-	1.0
nʲ	-	1.0
k_tʲ	ʧ	1.0
j	-	1.0
bʲ	bʲ	1.0
aː_̂	a	1.0
aʊ̯	o	1.0
aɪ̯	a	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
r	r	0.867
oː	a	0.778
#>	ˈ_#>	0.778
ɡ	ɣ	0.769
b	b	0.75
aː	o	0.75
̂	ˈ	0.739
ɐ_s_#>	#>	0.72
̌	ˈ	0.714
æː	o	0.714
m	m	0.714
eː	a	0.7
mʲ	mʲ	0.667
lʲ	lʲ	0.667
k	k	0.667
iː	ɨ	0.667
ʑ	zʲ	0.6
ɪ	-	0.6
ɐ	a	0.6
t	t	0.6
dʲ	ʣʲ	0.6
n	n	0.583
ɫ	ɫ	0.571
ɡʲ	ʐ	0.571
ʃ	x	0.5
ʃ	s	0.5
pʲ	pʲ	0.5
pʲ	p	0.5
kʲ	ʧ	0.5
kʲ	-	0.5
iə̯	i	0.5
iə̯	e	0.5
d	d	0.5
ʊ	-	0.455
vʲ	vʲ	0.455
<#	<#_v	0.455
ɡʲ	-	0.429
n	-	0.417
ʑ	z	0.4
dʲ	-	0.4
d	d̥	0.375
vʲ	v	0.364
<#	<#_j	0.364
s	s	0.333
mʲ	m	0.333
lʲ	ɫ	0.333
k	-	0.333
iː	-	0.333
ɛ	æ	0.3
ɛ	a	0.3
eː	e	0.3
̌	-	0.286
ɫ	w	0.286
æː	ɵ	0.286
m	-	0.286
ɐ_s_#>	ɨ_#>	0.28
ʊ	i	0.273
ʊ	a	0.273
̂	-	0.261
b	b̥	0.25
aː	a	0.25
s	xʲ	0.222
s	x	0.222
s	i	0.222
oː	-	0.222
#>	a_#>	0.222
ɛ	e_ˈ	0.2
ɛ	e	0.2
t	d	0.2
t	-	0.2
vʲ	-	0.182
<#	<#_s	0.182
ɐ	u	0.167
ɡ	x	0.154
ɫ	ɫ_a	0.143
ɪ	o	0.133
ɐ	-	0.133
r	-	0.133
d	d̥ʲ	0.125
ɪ	o_ˈ	0.1
ɪ	a	0.1
ɐ	o_ˈ	0.1
ɡ	ɣʲ	0.077
ɪ	ɨ	0.067
