Swedish	East Franconian	probability
ˈʊ	ˈʊ	1.0
ˈœː	-	1.0
ˈœ	ˈɪ	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈiː	ˈaɪ̯	1.0
ʈː	ɐ_ʦ	1.0
ʈ	d̥	1.0
ʂ	ɐ_ʃ	1.0
ɪ	-	1.0
ɡː	ɡ̊_n	1.0
ɡ_ɛ	ɣ	1.0
ɡ_a	ŋ	1.0
ɡ	ɣ̊	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ɖ	ɐ_d̥	1.0
ɕ	d̥	1.0
ɔ	eː	1.0
ŋː	ŋ	1.0
ŋ	ç	1.0
tʰ_ˈœ	d̥_ˈɔ	1.0
t_a	z̥_n	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
rː	ə	1.0
r_ˈœ	r	1.0
r_j	ɐ_ç	1.0
r_a	ɐ	1.0
pː	f	1.0
pʰ	b̥͡v̥	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kː_a	n	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k_ˈa	ˈa	1.0
k_a	n	1.0
jː	ˈoː	1.0
h	h	1.0
f	f	1.0
d_a	d̥_n	1.0
b	b̥	1.0
n	n	0.905
m	m	0.901
ˈɪ	ˈɪ	0.898
d	d̥	0.846
ˈa	ˈɒ	0.805
ˈoː	ˈoː	0.734
v	v	0.712
ˈuː	ˈuː	0.696
ɧ	ʃ	0.667
ˈeː	ˈaː	0.635
r	ɐ	0.629
ˈɔ	ˈʊ	0.618
ˈɛː	-	0.605
tʰ	d̥	0.605
t	s	0.573
ˈʉː	ˈaʊ̯	0.57
ˈɛ	ˈɛ	0.57
ˈyː	ˈaɪ̯	0.549
k	x	0.543
ɳ	ɐ_n	0.53
j_ˈʉː	l_ˈiː	0.523
p	f	0.518
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
p	-	0.482
j_ˈʉː	d̥_ˈiː	0.477
ɳ	ɐ	0.47
j	-	0.469
s	s	0.466
ˈyː	ˈiː	0.451
ˈɵ	ˈʊ	0.45
t	d̥	0.427
a	a	0.422
tʰ	ʦ	0.395
ˈɔ	ˈɔ	0.382
ˈɑː	ˈoː	0.371
ˈɑː	ˈɒ	0.358
tː	ʦ	0.347
r	r	0.342
ɧ	s	0.333
s	ʃ	0.317
tː	z̥	0.315
ˈuː	ˈɔ	0.304
ˈøː	-	0.303
a	n	0.297
k	ɡ̊	0.284
j	ɡ̊	0.266
j	h	0.266
ˈøː	ˈuː	0.248
ˈʉː	ˈiː	0.217
ˈɛː	ˈiː	0.217
ˈɵ	ˈɔ	0.211
ˈeː	ˈeː	0.207
ˈɛ	-	0.201
ˈɑː	-	0.198
ˈa	ˈoː	0.195
v	β	0.194
tː	x_d̥	0.18
ˈɛː	ˈɛ	0.178
k	ç	0.173
ˈøː	ˈiː	0.172
ˈɵ	ˈɪ	0.17
ˈɵ	-	0.17
ˈøː	ˈaː	0.164
tː	ç_d̥	0.159
ˈeː	-	0.158
d	ɾ	0.154
ˈɛ	ˈaɪ̯	0.142
ˈoː	ˈɒ	0.133
ˈoː	ˈuː	0.133
a	ŋ	0.131
ˈøː	ˈeː	0.114
ˈʉː	ˈɔ	0.111
ˈɪ	-	0.102
ˈʉː	-	0.101
m	m_ˈʊ	0.099
n	d̥	0.095
v	-	0.094
s	z̥	0.09
ˈɛ	ˈiː	0.087
a	ɐ	0.075
a	-	0.075
ˈɑː	ˈɒː	0.074
s	d̥	0.067
s	ʃ_v	0.06
