Jin	Jin	probability
⁵⁴	-	1.0
⁵³	˧˥	1.0
ʦ_w	ʈˠ	1.0
ʐ	ȵ	1.0
ɻ	i	1.0
ɣ	ʔ	1.0
ɕ	s	1.0
¹¹_#>	#>	1.0
³¹	˧˥	1.0
²_#>	#>	1.0
z̩_⁴⁵	ɨ_˥˩	1.0
ỹ	ɦ_ɨ	1.0
w_⁴⁵	u_k̚	1.0
w_¹¹	u_˦	1.0
ũ	u	1.0
o	ʌ	1.0
n	ɳ	1.0
l	l	1.0
k	k	1.0
j_ə	ɨ	1.0
j_e	e_n	1.0
j_a	a	1.0
h	h	1.0
f	p	1.0
a_ʔ	p̚	1.0
a_w	ɑ_u	1.0
a_j	ʌ_i	1.0
<#_n	<#_n	1.0
¹¹	˦	0.97
⁴⁵	˥˩	0.909
j	i	0.769
ɤ	ɑ	0.714
ʨ	k	0.667
y	ɨ_ʌ	0.667
w	u	0.667
tʰ͡x	tʰ	0.667
kʰ͡x	kʰ	0.667
ĩ	ɪ	0.667
ʔ	k̚	0.6
ɥ	u_ɛ	0.6
z̩	i_e	0.6
t	d	0.6
i	i	0.571
ɒ̃	ɐ_ŋ	0.556
x	ɦ	0.545
u	u_o	0.5
u	o	0.5
pʰ͡x	bˠ	0.5
pʰ͡x	b	0.5
p	p	0.5
m	mˠ	0.5
m	m	0.5
<#	<#_ɦ	0.5
<#	<#_ŋ	0.5
ɒ̃	ɑ_ŋ	0.444
ŋ	ŋ	0.44
v	m_ɨ	0.429
i	e_i	0.429
e	-	0.429
æ̃	ɑ_n	0.417
a	e	0.417
ʔ	t̚	0.4
ɥ	-	0.4
z̩	ɨ	0.4
t	t	0.4
ʨʰ	kʰ	0.375
ʦ	ʦ	0.375
ʦ	ʈ	0.375
ʦʰ	ʨʰ	0.364
x	h	0.364
ʨ	kˠ	0.333
ə̃	ə	0.333
y	ɨ_o	0.333
tʰ͡x	-	0.333
p	pˠ	0.333
kʰ͡x	kʰˠ	0.333
ĩ	æ	0.333
a	a	0.333
ɤ	i_a	0.286
v	ŋ_u	0.286
v	m	0.286
e	ʉ	0.286
e	n	0.286
ʦʰ	ʦʰ	0.273
s	ɕ	0.273
ə	ɨ	0.261
ə	ə	0.261
ʨʰ	ʦʰ	0.25
ʨʰ	ʣ	0.25
ʦ	ʨ	0.25
æ̃	ʌ_m	0.25
a	ɑ	0.25
ŋ	n	0.24
j	-	0.231
ə̃	ɨ	0.222
ə̃	u	0.222
ə̃	e	0.222
w	w	0.222
ʦʰ	ɖˠ	0.182
ʦʰ	ɖ	0.182
s	ʥ	0.182
ə	ɨ_u	0.174
æ̃	ɛ_n	0.167
æ̃	ɐ_n	0.167
p	pʰˠ	0.167
ə	i	0.13
ʨʰ	ɡˠ	0.125
ŋ	u_n	0.12
ŋ	m	0.12
w	-	0.111
⁴⁵	-	0.091
x	hˠ	0.091
s	ʤ	0.091
s	ʑ	0.091
s	ʃˠ	0.091
s	ʃ	0.091
s	ɕˠ	0.091
s	sˠ	0.091
ə	ȵ	0.087
ə	-	0.087
ŋ	u_ŋ	0.08
