Ripuarian	Gothic	probability
h	h	1.0
z	s	1.0
ɪ	u	1.0
ˈaː	ˈa	1.0
ˈoʊ̯	ˈu	1.0
ˈu	ˈi	1.0
ˈøʏ̯	j	1.0
ˈøː	ˈoː	1.0
d	θ	0.461
ŋ	n	0.671
ɐ	r	0.351
ə	a	0.561
ʦ	r_t	0.261
ˈa	ˈa	0.781
ˈe	ˈiː	0.111
ˈoː	ˈoː	0.271
ˈuː	ˈɔ	0.261
ˈuː	ˈɔː	0.461
ˈyː	j	0.131
ˈyː	ˈu	0.131
ˈœ	ˈi	0.901
ˈɔ	ˈeː	0.171
ˈɛː	ˈa	0.191
j	j	0.112
j	ɡ	0.742
k	k	0.892
p	β	0.402
x	x	0.12
ŋ	ŋ	0.272
ɐ	a_r	0.142
ə	u	0.092
ˈaʊ̯	ˈɔ	0.242
ˈaʊ̯	ˈuː	0.242
ˈiː	ˈiː	0.702
ˈɛ	ˈɛ	0.182
m	-	0.153
t	t	0.663
v	f	0.083
x	h	0.73
ɐ	-	0.13
ɕ	s	0.183
ˈyː	ˈɔː	0.473
ˈɔ	ˈiu̯	0.103
d	ð	0.184
d	d	0.354
d̥	θ	0.824
l	l	0.914
s	s	0.174
v̥	b	0.174
ɕ	x	0.084
ɡ̊	θ	0.114
ˈe	k_ˈi	0.104
ˈiː	w	0.054
ˈyː	ˈoː	0.264
ˈɪ	ˈiː	0.224
ˈʊ	ˈu	0.684
n	nː	0.125
v	β	0.885
x	ɣ	0.15
ɕ	k	0.605
ʀ	j	0.055
ʃ	s	0.895
ʋ	ʍ	0.135
ʋ	w	0.865
ˈa	ˈɛː	0.065
ˈeɪ̯	ˈiː	0.475
ˈeː	ˈɛ	0.265
ˈeː	ˈiu̯	0.335
ˈoː	ˈɔ	0.15
ˈɛ	ˈɛː	0.075
ˈʏ	ˈu	0.095
ˈʏ	ˈiu̯	0.905
f	f	0.766
j	ɣ	0.146
l	lː	0.076
s	t	0.826
t	d	0.076
t	s	0.076
v̥	f	0.826
ʀ	r	0.836
ˈeɪ̯	a	0.186
ˈeː	ˈi	0.076
ˈeː	ˈɛː	0.246
ˈo	ˈuː	0.126
ˈo	ˈeː	0.126
ˈoː	ˈuː	0.066
ˈoː	ˈeː	0.096
ˈɛ	ˈi	0.346
ˈɛː	ˈɛ	0.56
ˈɪ	ˈi	0.696
ˈʊ	ˈɔ	0.316
f	kʷ	0.057
f	p	0.177
m	m	0.847
t	-	0.087
ŋ	h	0.057
ɐ	s_i	0.07
ɐ	ˈuː	0.07
ə	j_a	0.117
ˈa	ˈu	0.077
ˈa	ˈi	0.077
ˈe	ˈi	0.757
ˈiː	ˈɛː	0.157
b	b	0.978
d̥	d	0.128
p	p	0.598
t	ð	0.098
ɐ	oː	0.088
ɕ	ɡ	0.128
ɡ̊	d	0.448
ʃ	z	0.078
ˈaʊ̯	oː	0.138
ˈaʊ̯	ˈɔː	0.378
ˈiː	ˈiu̯	0.088
ˈoː	ˈu	0.058
ˈoː	ˈiu̯	0.078
ˈoː	ˈa	0.248
ˈuː	ˈuː	0.188
ˈɔ	ˈɔ	0.08
ˈɔ	ˈu	0.538
ˈɛ	ˈa	0.398
ˈɪ	ˈa	0.08
k	h	0.089
n	r_n	0.059
n	n	0.769
ə	-	0.099
ɡ̊	ɡ	0.399
ʀ	ˈi	0.109
ʦ	t	0.739
ˈeɪ̯	ˈɛː	0.339
ˈeː	ˈa	0.059
ˈo	ˈoː	0.09
ˈo	ˈu	0.659
ˈuː	ˈu	0.09
ˈœ	ˈu	0.099
ˈɔ	ˈɔː	0.109
ˈɛː	ˈi	0.249
