Bellunese	Campidanese	probability
b	b	1.0
f	f	1.0
i	i	1.0
m	m	1.0
p	p	1.0
u	u	1.0
ð	z	1.0
ˈa	ˈa	1.0
ˈɔ	ˈo	1.0
r	r	0.591
ˈo	ˈu	0.21
e	ˈe	0.082
e	e	0.272
j	ʣ	0.202
k	k	0.882
o	a	0.082
o	o	0.142
z	-	0.112
ŋ	-	0.082
ŋ	n	0.252
ɡ	ɣ	0.362
ˈɛ	-	0.082
a	-	0.053
d	ð	0.293
e	i	0.583
o	u_z	0.053
s	s	0.73
t	ð	0.133
t	t	0.653
v	-	0.293
ɡ	ɡ	0.513
ˈu	ˈo	0.123
θ	-	0.353
a	e	0.084
l	ɖː	0.084
n	n	0.924
v	β	0.124
w	-	0.134
ʧ	ʧ	0.164
ˈe	ˈe	0.514
ˈi	ˈi	0.914
a	a	0.785
d	d	0.55
k	k_r	0.075
l	l	0.405
v	b	0.555
ŋ	n_i	0.185
ŋ	ŋ	0.215
ɡ	-	0.125
j	-	0.26
l	l_u	0.126
o	u	0.586
r	r_i	0.216
t	t_i	0.146
w	w	0.866
ŋ	n_u	0.266
ʧ	j	0.836
ˈe	ˈi	0.486
ˈi	i	0.066
d	-	0.157
l	l_i	0.067
l	-	0.077
s	ʃː	0.247
t	t_u	0.067
ˈu	ˈu	0.877
j	r	0.538
n	nː	0.058
r	-	0.058
r	rː	0.108
z	ʒ	0.888
ˈɛ	ˈe	0.918
θ	ʒ	0.118
l	ɖː_u	0.199
o	ˈo	0.059
ˈo	ˈo	0.79
θ	ʧ	0.529
