Ukrainian	Čakavian	probability
<#_bʲ	<#_b	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ_ˈi	m_î	1.0
<#_n	<#_n	1.0
<#_nʲ	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_rʲ	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_w	<#_ʋ	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_zʲ_ʋʲ	z_ʋ	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʋ	<#_ʋ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
b_#>	p_#>	1.0
e	-	1.0
e_#>	i_#>	1.0
i	e	1.0
i_m	a	1.0
j	-	1.0
j_#>	k_#>	1.0
j_ˈɑ	êː	1.0
k	k	1.0
k_ˈɪ	a	1.0
kʲ	-	1.0
lʲ_#>	l_#>	1.0
lʲ_ˈi	l_î	1.0
m	m	1.0
n	n	1.0
n_e_j	n_#>	1.0
nʲ	n	1.0
nʲ_#>	ɲ_#>	1.0
p	p	1.0
r_#>	r_#>	1.0
rʲ	r	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	s	1.0
t	t	1.0
t_#>	t_#>	1.0
tʲ_#>	t_#>	1.0
w	ʋ	1.0
x	x	1.0
z	z	1.0
ɐ_#>	a_#>	1.0
ɔ_#>	o_#>	1.0
ɔ_r	r	1.0
ɔ_ɫ	l	1.0
ɛ	e	1.0
ɛ_#>	e_#>	1.0
ɦ	ɡ	1.0
ɦ_#>	k_#>	1.0
ʊ	uː	1.0
ʋ	ʋ	1.0
ʋ_e	ǎː_ʋ	1.0
ʋʲ_ˈi	ʋ_î	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ˈu	ûː	1.0
ˈɑ_#>	â_#>	1.0
ˈɔ_#>	ô_#>	1.0
ˈɔ_ʍ	ûː	1.0
ˈɛ_r	r̩̂	1.0
ˈɪ_t	î_t	1.0
ɔ	ô	0.111
ɔ	a	0.111
ɔ	âː	0.111
ɔ	e	0.111
d	t	0.2
ɫ	-	0.2
ˈi	êː	0.182
ˈi	îː	0.273
ˈɔ	ô	0.333
r	-	0.154
ɐ	eː	0.5
ɐ	e	0.5
ˈi	ôː	0.545
ˈɑ	a	0.5
ˈɑ	â	0.5
ˈɔ	-	0.5
ˈɛ	ê	0.5
ˈɛ	-	0.5
ˈɪ	-	0.25
ˈɪ	îː	0.25
ˈɪ	i	0.25
ˈɪ	î	0.25
<#	<#_k	0.286
<#	<#_j	0.286
r	r	0.846
ɔ	-	0.167
ˈɔ	ôː	0.167
d	d	0.8
ɫ	l	0.8
<#	<#_ô	0.429
ɔ	o	0.389
