Italian	Eastern Lombard	probability
b	b	1.0
bː	b	1.0
f	f	1.0
lː	l	1.0
mː	m	1.0
rː	r	1.0
s	s	1.0
z	z	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʎː	j	1.0
ʦ	s	1.0
ʧ	s	1.0
d	-	0.141
e	a	0.201
n	n	0.91
r	r	0.71
w	-	0.191
ʤ	ʤ	0.071
ʧː	s	0.661
ˈo	ˈɔ	0.271
ˈu	ˈy	0.281
ˈɔ	ˈø	0.111
ˈɔ	ˈɔ	0.61
i	e	0.372
k	-	0.082
k	ɡ	0.112
kː	-	0.702
m	m	0.992
o	ˈø	0.212
t	t	0.702
v	-	0.482
ʧː	z	0.12
ˈi	-	0.182
ˈi	ˈi	0.72
ˈu	ˈø	0.612
i	i	0.223
l	-	0.093
tː	ʧ	0.073
ɡ	-	0.243
ˈo	ˈu	0.453
e	e	0.594
j	ʧ	0.104
o	-	0.124
d	d	0.845
e	-	0.15
i	-	0.405
o	e	0.155
o	o	0.505
p	-	0.205
p	p	0.795
ˈɛ	ˈe	0.215
ˈɛ	ˈɛ	0.785
k	k	0.806
ˈa	ˈa	0.966
ˈo	ˈo	0.276
tː	t	0.927
ɡ	ɡ	0.757
ˈu	ˈo	0.107
a	a	0.938
j	-	0.208
j	j	0.688
kː	k	0.298
v	ʋ	0.518
ˈe	ˈi	0.098
ˈe	ˈɛ	0.378
ˈe	ˈe	0.488
ˈi	ˈe	0.098
l	l	0.869
r	-	0.279
t	d	0.259
w	w	0.809
ʤ	z	0.929
ʧː	-	0.219
ˈɔ	ˈo	0.279
