Romansch	Asturian	probability
a	a	1.0
e	e	1.0
k	k	1.0
o	o	1.0
u	o	1.0
z	-	1.0
ŋ	ŋ	1.0
ʒ	-	1.0
ˈaː	ˈa	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈiə̯	j_ˈe	1.0
ˈuɔ̯	ˈo	1.0
ˈuː	ˈo	1.0
ˈɔː	w_ˈe	1.0
d	ð	0.361
f	f	0.861
j	w	0.281
l	-	0.051
r	-	0.061
t	t_u	0.171
ʃ	-	0.081
ˈu	ˈo	0.851
i	e	0.422
t	t_e	0.092
t	-	0.092
ʃ	s	0.322
ʥ	j	0.152
ˈa	-	0.102
ˈɛː	-	0.372
d	-	0.053
m	m	0.953
s	s_u	0.053
ɲ	n	0.453
ʎ	ʝ_u	0.223
ʥ	ʃ	0.083
ˈa	a	0.053
ˈa	j	0.123
f	-	0.064
i	-	0.194
i	u	0.384
j	ˈe	0.584
p	p	0.984
r	ɾ	0.814
t	t	0.464
v	b	0.694
w	u	0.594
ə	ˈe	0.064
ɡ	-	0.094
ɡ	b	0.144
ɡ	ɡ	0.514
ʃ	θ	0.54
ʎ	ʎ	0.064
ʧ	θ	0.954
ˈiː	ˈi	0.54
ˈɛ	j_ˈe	0.624
b	-	0.075
b	b	0.925
j	-	0.135
r	r	0.065
s	θ	0.055
ə	e	0.195
ʥ	-	0.765
ʨ	-	0.095
ˈiː	j	0.085
ˈɔ	w_ˈe	0.315
ˈɔ	ˈa	0.685
d	d	0.586
l	l	0.316
l	ʎ	0.546
n	ŋ	0.156
n	n	0.646
v	β	0.306
w	ˈo	0.056
ʎ	-	0.106
ˈa	e	0.076
ˈa	ˈa	0.646
ˈiː	ˈe	0.146
f	β_e	0.057
t	ð	0.127
ʃ	ʃ	0.057
l	l_u	0.088
n	n_u	0.088
ɲ	ɲ	0.268
ɲ	ɲ_u	0.28
ʎ	ʝ	0.608
ˈi	ˈi	0.768
ˈɛ	ˈe	0.368
ˈɛː	ˈe	0.628
r	ɾ_u	0.059
s	s	0.849
w	-	0.309
ə	a	0.689
ɡ	ɣ	0.249
ʨ	k	0.829
ˈi	ˈu	0.199
ˈiː	ˈu	0.229
ˈu	ˈu	0.149
