Ripuarian	Ripuarian	probability
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈøʏ̯	ˈøi̯	1.0
ˈyː_ɐ	r	1.0
ˈu	-	1.0
ˈeː_n_#>	#>	1.0
ˈeː_n	ˈæi̯	1.0
ˈa_n	ˈɒː	1.0
ʋ	ʋ	1.0
ʃ_#>	ʃː_#>	1.0
ʀ	r	1.0
ɪ	i	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ̊	1.0
ɡ̊	d̥	1.0
ə_f	fː	1.0
ə_#>	#>	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_#>	#>	1.0
z̥_#>	z̥_#>	1.0
z	z̥	1.0
v̥_#>	b̥_#>	1.0
v	b̥	1.0
t	tː	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_#>	fː_#>	1.0
e	æ	1.0
d_ʀ	tː_r	1.0
b	b̥	1.0
<#_ʀ	<#_r	1.0
<#	<#_ɡ̊	1.0
#>	ɡ̊_#>	1.0
n	n	0.939
ə	ə	0.929
f	v̥	0.923
s	sː	0.9
ɫ	l	0.87
ʦ	ʦ	0.867
ʃ	ʒ̊	0.857
j	ɡ̊	0.857
ˈɔ	ˈo	0.8
ˈeɪ̯	ˈæi̯	0.8
ˈa	ˈɒ	0.783
ˈe	ˈi	0.765
ˈo	ˈu	0.75
ˈʏ	ˈyː	0.667
ˈaː	ˈɒ	0.636
ˈɔʊ̯	ˈau̯	0.625
ˈøː	-	0.625
x	χː	0.625
ˈɔː	ˈo_r	0.6
ˈyː	ˈyː	0.6
ˈɛ	ˈæ	0.556
p	p͡f	0.556
d̥	tː	0.55
d	tː	0.548
ɐ	ə_r	0.543
ˈuː	ˈuː	0.533
ˈɛː	ˈæ	0.5
ˈœ	ˈy	0.5
ˈuː	ˈoː	0.467
k	ɣ̊	0.462
ɐ	r	0.457
d	d̥	0.452
d̥	d̥	0.45
k	kː	0.423
ɕ	ɡ̊	0.421
ˈoː	ˈuə̯	0.409
ˈɔː	r	0.4
ˈyː	ˈøː	0.4
ˈiː	ˈiː	0.4
ŋ	ŋ	0.4
ˈɔʊ̯	ˈuː	0.375
ˈøː	ˈyə̯	0.375
x	χː_tː	0.375
ˈaː	ˈɒː	0.364
ˈʏ	-	0.333
ŋ	n	0.333
ˈeː	ˈyː	0.312
ˈɛː	-	0.3
ˈoː	ˈɒː	0.273
ˈiː	ˈeː	0.267
ŋ	n_d̥	0.267
ˈœ	ˈø	0.25
ˈœ	ˈu	0.25
ˈo	-	0.25
ˈeː	ˈiə̯	0.25
ˈeː	-	0.25
ˈɛ	-	0.222
p	pː	0.222
p	fː	0.222
ɕ	χː_ə	0.211
ɕ	χː_tː	0.211
ˈɛː	ˈæ_r	0.2
ˈɔ	ˈu	0.2
ˈiː	-	0.2
ˈeɪ̯	ˈei̯	0.2
ˈeː	ˈæi̯	0.188
ɕ	χː	0.158
ʃ	ʃː	0.143
j	j	0.143
ˈoː	ˈoː	0.136
ˈiː	ˈiə̯	0.133
ʦ	r_ʦ	0.133
ˈa	-	0.13
ˈe	ˈy	0.118
ˈe	ˈiː	0.118
k	χː	0.115
ˈɛ	ˈæː	0.111
ˈɛ	ˈe	0.111
s	ʃː	0.1
ˈoː	ˈyə̯	0.091
ˈoː	ˈau̯	0.091
ˈa	ˈɒː	0.087
ɫ	l_ə	0.087
f	fː	0.077
ə	i	0.071
n	-	0.061
