East Frisian Low Saxon	Insular North Frisian	probability
ˈʏə̯	ˈɛ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈɛ	1.0
ˈɛə̯	-	1.0
ˈɔː_ɐ	ɐ	1.0
ˈɔ_l	l	1.0
ˈɒːɒ̯	ˈɔː	1.0
ˈɒː_n	ˈuː_n	1.0
ˈɑːʊ̯	-	1.0
ˈɑɪ̯	ˈiː	1.0
ˈœːy̯	ˈoː	1.0
ˈœy̯	-	1.0
ˈœ	ˈœ	1.0
ˈøː	-	1.0
ˈøy̯	ˈʊ	1.0
ˈæːɪ̯	-	1.0
ˈyːʏ̯	ˈœ	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	-	1.0
ˈoːo̯	-	1.0
ˈoː_v	ˈaʊ̯	1.0
ˈiːi̯	ˈə	1.0
ʊ	ˈoː	1.0
ɫ	l	1.0
ɡ̊	-	1.0
ə	-	1.0
ɑɪ̯	aɪ̯	1.0
ɐ_n	ɐ	1.0
ɐ_d̥	ʁ̥_t	1.0
ŋ	ŋ	1.0
w	v	1.0
v	v	1.0
o	ˈuː	1.0
n_n	nʲ	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_ˈɑ	l	1.0
l_d̥	lʲ	1.0
l	l	1.0
k_ˈøː	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.964
r	r	0.935
t	t	0.923
z	s	0.902
p	p	0.871
k	k	0.836
ˈuː	ˈʏ	0.817
ɣ̊	ç	0.808
ˈiː	ˈə	0.688
ɐ	ɐ	0.616
ˈøːø̯	-	0.593
ˈʏ	ˈɛ	0.545
ˈɑʊ̯	-	0.545
ˈɪ	ˈə	0.543
n	n	0.526
χ	x	0.514
ˈɑːɑ̯	ˈa	0.502
ˈɔ	ˈɔː	0.5
ˈɔ	ˈɔ	0.5
ˈeːe̯	ˈɛ_ð	0.5
ˈeːe̯	-	0.5
ˈɑːɑ̯	-	0.498
d̥	ɾ	0.495
χ	ç	0.486
ˈɛ	-	0.477
ˈʏ	-	0.455
ˈɑː	-	0.444
ˈøːø̯	ˈøː	0.407
d̥	-	0.406
d	d	0.4
ˈæɪ̯	-	0.399
ˈeː	-	0.394
ɡ	-	0.388
ˈeː	ˈiː	0.378
ˈʊ	ˈʊ	0.358
ˈæɪ̯	ˈiː	0.351
ɡ	ɡ	0.346
ˈɑː	ˈa	0.333
ˈɒː	ˈoː	0.332
ˈʊ	ˈʏ	0.321
ˈɛ	ˈɔ	0.32
n	-	0.315
ˈɒː	ˈɔː	0.3
ˈɑ	ˈa	0.29
d	tʰ	0.287
ˈoː	ˈoː	0.282
ˈɑʊ̯	ˈɔ	0.273
ˈoː	ˈuː	0.265
ˈæɪ̯	ˈeː	0.25
ˈɪ	ˈɛ	0.247
d	-	0.246
ˈoː	ˈua̯	0.236
ˈeː	ˈɛː	0.228
ˈɑː	ˈaː	0.222
ˈoː	-	0.217
ˈɪ	ˈʊ	0.21
ˈʊ	ˈœ	0.206
ˈɛ	ˈɛ	0.203
ɣ̊	ɣ̥	0.192
ɐ	r_ə	0.191
ˈiː	ˈiː	0.185
ˈuː	-	0.183
ˈɑʊ̯	ˈʊ	0.182
ˈɑ	ˈʊ	0.18
ˈɑ	ˈœ	0.18
k	-	0.164
ɡ	ç	0.155
ˈɑ	ˈɔː	0.15
p	pʰ	0.129
ˈiː	-	0.127
ˈɒː	ˈeː	0.123
ˈɒː	ˈaɪ̯	0.123
ˈɒː	-	0.123
ˈʊ	-	0.115
ɡ	ç_ə	0.111
ˈɑ	ˈua̯	0.1
ˈɑ	-	0.1
d̥	t	0.1
z	ʃ	0.098
t	d	0.077
n	ˈɛ	0.074
r	-	0.065
ɐ	ʁ̥_t	0.058
ɐ	ʁ̥	0.053
