East Low German	Icelandic	probability
ˈɛː	ˈɛː	1.0
ˈɔʏ̯	ˈaːi̯	1.0
ˈɔ	ˈʏː	1.0
ˈœː	ˈɔː	1.0
ˈiː_#>	j_ˈɛː_r̥_#>	1.0
ɾ	ð	1.0
ɪ	ɡ̊_ʏ	1.0
ŋ_k	ʰk	1.0
x_t	ʰt	1.0
x	ɣ	1.0
w	v	1.0
tʰ	tʰ	1.0
t_n	t_a	1.0
s_#>	s_#>	1.0
s	s	1.0
d_#>	ʏ_r̥_#>	1.0
b_m	v_a	1.0
b	b̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_kʰ	1.0
m	m	0.917
r	r	0.889
z	s	0.857
h	h	0.857
p	p	0.778
f	f	0.778
v	v	0.739
ɡ	ɡ̊	0.727
ç	r̥	0.7
ˈiː	ˈiː	0.688
ˈʏ	ˈɪ	0.667
ˈʊ	ˈʏ	0.636
ŋ	ŋ	0.615
k	k	0.615
ˈuː	ˈuː	0.611
l	l	0.605
ˈaʊ̯	ˈoːu̯	0.6
ˈɛ	ˈɛ	0.5
ˈɛ	j	0.5
ˈoː	ˈɑːu̯	0.5
ˈoː	ˈœːy̯	0.5
ʃ	s	0.5
kʰ	kʰ	0.5
j	ɟ̊	0.5
j	-	0.5
d	d̥	0.5
ˈaː	ˈaː	0.429
ˈae̯	j	0.429
#>	ʏ_r̥_#>	0.404
ˈaʊ̯	ˈœːy̯	0.4
ˈɪ	ˈɪ	0.381
ˈʊ	ˈu	0.364
ˈa	ˈa	0.348
n	n	0.345
#>	r̥_#>	0.34
ˈʏ	ˈʏ	0.333
kʰ	cʰ	0.333
d	θ	0.333
t	ð	0.317
t	t	0.317
ˈɒː	ˈɔː	0.3
ˈɒː	ˈɑːu̯	0.3
ç	ɣ	0.3
ˈaː	ˈa_r	0.286
ˈaː	ˈa	0.286
ˈuː	ˈɔ	0.278
ʃ	s_k	0.273
ɡ	ɟ̊	0.273
ˈa	ˈaː	0.261
v	-	0.261
æ	r̥	0.256
t	t_ʏ	0.244
n	a	0.241
ˈae̯	ˈɛːi̯	0.238
#>	a_#>	0.234
ŋ	a	0.231
k	ʰk	0.231
ʃ	s_c	0.227
p	ʰp	0.222
f	v_ʏ	0.222
ˈa	ˈɑu̯	0.217
l	t_l̥	0.211
ˈɒː	ˈaː	0.2
ˈɒː	ˈa	0.2
ˈɪ	ˈi	0.19
ˈiː	j	0.188
l	l̥	0.184
æ	ɪ_r̥	0.179
kʰ	-	0.167
ŋ	ˈuː_a	0.154
k	ɡ̊_ʏ	0.154
ˈɪ	ˈɛ	0.143
ˈae̯	ˈɛi̯	0.143
z	s_j	0.143
h	ç	0.143
n	nː	0.138
æ	r_t	0.128
æ	r	0.128
ˈiː	ˈɪ	0.125
t	ʰt	0.122
ˈuː	ˈʏ	0.111
r	r̥	0.111
ˈɪ	ˈɪː	0.095
ˈɪ	j	0.095
ˈɪ	-	0.095
ˈae̯	ˈɪː	0.095
ˈae̯	ˈiː	0.095
d	ð	0.095
ˈa	ˈɛ	0.087
ˈa	ˈœ	0.087
n	n̥	0.086
m	v	0.083
æ	ʏ	0.077
æ	r_ɪ	0.077
d	ð_ʏ	0.071
n	n_d̥	0.069
n	t_n̥	0.052
æ	ɡ̊_ʏ	0.051
æ	r_a	0.051
æ	a_r̥	0.051
