Dutch	Dutch	probability
ˈɪ	ˈɪ	1.0
ˈɛi̯	ˈiː	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ɾ_t	ɐ_t	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥_#>	f_#>	1.0
v_ə	v	1.0
s_χ	ʃ	1.0
n_ə	n	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
i	ɒː	1.0
d_ə_n	n	1.0
d	d	1.0
b	b	1.0
<#_ˈɛi̯	<#_ˈɛɪ̯	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
t	t	0.941
d̥	d̥	0.931
v	f	0.923
ə_n	n	0.862
ʋ	v	0.857
p	p	0.846
ˈaː	ˈɒː	0.842
ˈɑ	ˈa	0.839
ˈi	ˈɛɪ̯	0.833
ˈœy̯	ˈuː	0.818
z	z	0.773
s	s	0.684
ˈʏ	ˈʏ	0.667
ˈɑu̯	ˈɔ_l	0.667
v̥	v_ə	0.667
ɾ	ɐ	0.553
ə	-	0.538
ˈɔ	ˈʊ	0.522
χ_ə	ɡ	0.5
χ_ə	ŋ	0.5
ˈu	ˈaʊ̯	0.5
ˈɛ	ˈɛ	0.45
ˈoː	ˈeo̯	0.444
ˈeː	ˈɛɪ̯	0.409
ɾ	r	0.404
ˈu	ˈɔʏ̯	0.375
z̥	z̥	0.375
z̥	z_ə	0.375
χ	ɣ	0.353
ˈʏ	-	0.333
ˈɑu̯	ˈuː	0.333
v̥	v̥	0.333
s	ʃ	0.316
ə	ə	0.308
ˈɔ	ˈɔ	0.304
ˈoː	ˈoː	0.296
ˈeː	ˈeː	0.273
z̥	ʃ	0.25
z	s	0.227
χ	x	0.206
ˈɛ	-	0.2
ˈœy̯	-	0.182
ˈeː	ˈɛː	0.182
χ	ç	0.176
χ	j	0.176
ˈɔ	-	0.174
ˈi	-	0.167
ˈaː	-	0.158
ə	ɪ	0.154
p	b	0.154
ˈɛ	ˈʏ	0.15
ˈoː	-	0.148
ʋ	w	0.143
ə_n	m	0.138
ˈɑ	-	0.129
ˈu	-	0.125
ˈoː	ˈøː	0.111
ˈɛ	ˈɪ	0.1
ˈɛ	ˈa	0.1
ˈeː	ˈɛ	0.091
v	-	0.077
d̥	-	0.069
χ	-	0.059
t	-	0.059
