Venetian	Walloon	probability
b	b	1.0
i	i	1.0
a	j	0.481
e	-	0.491
k	ʧ	0.431
o	ˈu	0.091
v	-	0.311
w	w	0.781
ʤ	-	0.891
ˈa	ˈɛ	0.11
ˈi	ˈi	0.121
ˈo	ˈuː	0.401
ˈu	ˈøː	0.371
ˈɔ	ˈɔ	0.191
ˈɔ	ˈuː	0.201
a	a	0.162
d	d	0.582
e	j	0.302
ˈi	ˈiː	0.362
ˈo	ˈɔ	0.212
ˈɛ	ˈiː	0.082
ˈɛ	ˈɛ	0.092
ˈɛ	j_ˈɛ	0.172
a	-	0.333
j	-	0.443
l	ˈoː	0.333
m	m	0.903
s	-	0.13
z	-	0.503
ʧ	-	0.603
ˈa	ˈɔː	0.163
ˈe	ˈi	0.103
ˈe	w	0.153
ˈɔ	w_ˈa	0.183
ˈɛ	ˈeː	0.053
n	-	0.354
r	ʀ	0.774
t	t	0.524
z	s	0.064
z	ʤ	0.4
ŋ	-	0.524
ɰ	l	0.84
ɲ	ɲ	0.814
ˈa	ˈiː	0.054
ˈa	w	0.094
ˈe	ˈɛ	0.364
ˈu	ˈy	0.144
ˈɔ	ˈa	0.14
f	f	0.985
o	ˈe	0.165
ɡ	-	0.665
ˈa	ˈe	0.055
ˈu	ˈɔ	0.485
k	k	0.536
n	n	0.646
r	-	0.226
t	-	0.476
ŋ	ˈɛ̃	0.476
ɡ	ɡ	0.216
ɰ	-	0.16
ɲ	-	0.186
ˈe	-	0.096
ˈo	ˈɔ̃	0.116
ˈo	ˈøː	0.206
ˈɛ	-	0.116
e	ˈɛ	0.097
j	l	0.557
l	l	0.097
l	-	0.57
m	-	0.097
o	-	0.237
o	ˈa	0.437
ʧ	j	0.397
ˈi	ˈɛ	0.517
d	-	0.418
o	ɔ	0.058
p	p	0.988
s	s	0.858
v	v	0.658
ˈa	ˈa	0.228
ˈe	w_ˈɛ	0.088
w	-	0.219
ɡ	k	0.119
ʤ	ɡ	0.109
ˈa	ˈɑ̃	0.059
ˈa	-	0.219
ˈe	ˈøː	0.059
ˈe	ˈẽ	0.099
ˈɔ	ˈoː	0.19
ˈɛ	j	0.479
