Icelandic	Icelandic	probability
θ_ˈɛː	ˈɛː	1.0
ˈʏː	-	1.0
ˈɛi̯	ˈaɪ̯	1.0
ˈɛ_k	ˈø	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯	ˈaʊ̯	1.0
ˈœː	-	1.0
ˈuː	ˈuː	1.0
ˈou̯	-	1.0
ˈeːi̯	-	1.0
ˈaːu̯	ˈaʊ̯	1.0
ˈau̯	-	1.0
ˈai̯	ˈʏ	1.0
ˈa_r̥	ˈa	1.0
ˈa_r	ˈaː	1.0
ʰt͡n̥	d_ɐ	1.0
ʰp	-	1.0
ʰc	ɡ	1.0
ʏ_#>	#>	1.0
ɲ	-	1.0
ɪ_r̥	ɐ	1.0
ɪ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_#>	#>	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ç	h	1.0
x	-	1.0
v_ʏ_r̥_#>	f_#>	1.0
v_a	m	1.0
u	i	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	tʰ	1.0
sː	n_s	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_ɪ	ɐ	1.0
r_ð	ɐ_d	1.0
r_t͡n̥	ɐ_n	1.0
r_a	ɐ	1.0
pʰ	pʰ	1.0
p_ʏ_r̥_#>	b_#>	1.0
p_n̥	m	1.0
n̥	-	1.0
nː	n	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
k_#>	ɡ_#>	1.0
k	ɡ	1.0
j_ˈɛː	ˈiː	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoːu̯	ˈaɪ̯	1.0
j_a	n	1.0
i	ˈyː	1.0
h_ˈɛːi̯	h	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	kʰ	1.0
c	ɡ	1.0
aːu̯	aɪ̯	1.0
a_r̥	ɐ	1.0
a_#>	#>	1.0
<#_θ	<#_d	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r̥	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d	1.0
ʏ_r̥_#>	#>	0.959
b̥	b	0.913
l	l	0.87
v	v	0.826
ð	d	0.818
ɟ̊	ɡ	0.8
r	r	0.8
a	n	0.8
<#	<#_v	0.75
t	d	0.72
ˈaː	ˈa	0.714
ɡ̊	-	0.7
ˈu	ˈʊ	0.667
ˈoːu̯	ˈaʊ̯	0.667
ˈi	ˈɪ	0.667
ʏ	-	0.667
ŋ	ŋ	0.667
ˈɔ	-	0.625
ˈɑːu̯	ˈoː	0.625
ˈɔː	ˈoː	0.6
ʰk	ɡ	0.6
p	b	0.6
ˈɛːi̯	ˈaɪ̯	0.571
ˈaːi̯	ˈɔʏ̯	0.571
ˈiː	ˈiː	0.55
s	z	0.529
ˈʏ	ˈʊ	0.5
ˈɪ	ˈɪ	0.5
ˈa	ˈa	0.5
ʰt	x_d	0.5
ʰt	t	0.5
ɣ	ç	0.5
ɣ	x	0.5
ɡ̊_ʏ	ɪ	0.5
ɡ̊_ʏ	ɐ	0.5
j	-	0.5
#>	f_#>	0.5
#>	d_#>	0.5
r̥	ɐ	0.45
ˈɛːi̯	-	0.429
ˈɛː	-	0.429
ˈœ	-	0.429
ˈaːi̯	-	0.429
ˈɔː	ˈøː	0.4
ʰk	-	0.4
p	p	0.4
ˈɔ	ˈaʊ̯	0.375
ˈɑːu̯	-	0.375
r̥	ç	0.35
ˈɪː	ˈɪ	0.333
ˈɪː	ˈeː	0.333
ˈɪː	-	0.333
ˈu	-	0.333
ˈoːu̯	-	0.333
ˈi	-	0.333
ʏ	ɐ	0.333
ɡ̊	ɡ	0.3
s	ʃ	0.294
ˈɛː	ˈɛ	0.286
ˈɛː	ˈeː	0.286
ˈœ	ˈoː	0.286
ˈœ	ˈa	0.286
ˈaː	ˈoː	0.286
ˈa	-	0.286
t	t	0.28
ˈɛ	ˈɪ	0.267
ˈɛ	-	0.267
ˈɪ	ˈʏ	0.25
ˈɪ	-	0.25
<#	<#_ʒ	0.25
ˈʏ	-	0.214
ˈa	ˈoː	0.214
ˈɛ	ˈɛ	0.2
ˈiː	-	0.2
ɟ̊	j	0.2
r̥	-	0.2
ð	-	0.182
s	s	0.176
ŋ	n	0.167
ŋ	-	0.167
j	ˈɛ	0.167
j	ˈaɪ̯	0.167
j	n	0.167
ˈiː	ˈaɪ̯	0.15
ˈʏ	ˈʏ	0.143
ˈʏ	ˈuː	0.143
ˈɛ	ˈeː	0.133
ˈɛ	ˈa	0.133
l	-	0.13
a	ŋ	0.12
ˈiː	ˈyː	0.1
v	m	0.087
v	-	0.087
b̥	-	0.087
r	ɐ	0.08
r	-	0.08
a	m	0.08
