West Flemish	North Frisian	probability
b	b	1.0
l	l	1.0
m	m	1.0
w	l	1.0
z	s	1.0
ˈi	ˈi	1.0
ˈiə̯	ˈiː	1.0
ˈøː	ˈaː	1.0
ˈɛː	ˈiː	1.0
ə	-	0.071
ɾ	r	0.871
ˈoː	ˈyː	0.111
ˈuə̯	ˈɛ	0.331
ˈyː	ˈyː	0.511
d̥	d	0.392
h	x	0.782
k	-	0.142
v	-	0.12
ˈeː	ˈiː	0.522
ˈœ	ˈʏ	0.272
ˈɑ	ˈuː	0.172
ˈɒː	ˈeː	0.412
n	n	0.583
s	ʃ	0.183
t	d	0.073
v̥	ə_v	0.3
ŋ	ŋ_ə	0.303
ɦ	j	0.183
ɦ	ɡ	0.433
ˈuə̯	ˈœ	0.503
ˈɑ	ˈɛi̯	0.093
ˈɑ	ˈɒː	0.13
ˈɒː	ˈɒː	0.193
ˈɛ	ˈi	0.073
ˈɪ	ˈeː	0.203
p	p	0.994
ɦ	-	0.384
ɦ̥	-	0.654
ˈeː	ˈi	0.084
ˈoː	ˈiː	0.144
ˈu	ˈʊ	0.504
ˈɔ	ˈɔ	0.514
d	t	0.335
n	-	0.075
ʋ	ˈɔu̯	0.075
ˈɑ	ˈʊ	0.085
ˈɑ	ˈɒ	0.225
ˈɑ	ˈœ	0.295
d	d	0.546
v	v_ə	0.056
ɦ̥	j	0.346
ˈeː	ˈɛː	0.216
ˈoː	ˈɔ	0.276
ˈu	ˈyː	0.276
ˈuə̯	ˈɛi̯	0.166
ˈæ	ˈʊ	0.096
s	s	0.817
v̥	f	0.7
ŋ	ŋ	0.697
ʋ	v	0.907
ˈoː	ˈuː	0.367
ˈæ	ˈa	0.467
ˈɒː	ˈɛi̯	0.057
ˈɔ	ˈʊ	0.287
h	k	0.218
k	k	0.858
t	tʲ	0.148
ə	ə	0.878
ˈoː	ˈɔu̯	0.078
ˈæ	ˈeː	0.438
ˈœ	ˈʊ	0.728
ˈɒː	ˈɛː	0.338
ˈɛ	ˈa	0.648
d	-	0.119
d̥	-	0.239
d̥	dʲ	0.369
n	ə	0.299
t	t	0.779
v	f	0.79
ɾ	ə_r	0.109
ˈeː	w	0.179
ˈu	ˈœ	0.219
ˈyː	ˈøː	0.489
ˈɔ	ˈɔː	0.199
ˈɛ	ˈeː	0.279
ˈɪ	ˈai̯	0.189
ˈɪ	ˈi	0.609
