Occitan	Spanish	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p_l	<#_ɟ͡ʝ	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈa_w	<#_ˈo	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈy	<#_ˈu	1.0
a	a	1.0
a_z	a_θ	1.0
a_β	a_β	1.0
j_#>	j_#>	1.0
j_s	θ_ˈe	1.0
j_ɾ	ð_ɾ	1.0
k	k	1.0
k_#>	ɣ_o	1.0
l_ɔ	ʝ_a	1.0
m	m	1.0
m_b	m_b	1.0
n_d	n	1.0
p_#>	β_o	1.0
r_k	ɾ_k	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	ð_#>	1.0
t_ɾ	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u_l	o_l	1.0
v	β	1.0
z	s	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ŋ_k	ŋ_ɡ	1.0
ɔ_#>	a_#>	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɥ	-	1.0
ɥ_ˈɔ	w_ˈe	1.0
ɥ_ˈɛ	ˈo	1.0
ɾ_e_#>	θ_a	1.0
ɾ_j_ˈɛ	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ʎ	x	1.0
ʎ_ɔ	x_a	1.0
ʤ_ˈɛ	ɟ͡ʝ_ˈe	1.0
ʦ_#>	θ_#>	1.0
ʧ	ʧ	1.0
ˈa_w	ˈo	1.0
ˈa_ɣ	ˈa_ɣ	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe	ˈe	1.0
ˈe_j	ˈe	1.0
ˈe_k	ˈe_k	1.0
ˈi_k	ˈi_ɣ	1.0
ˈi_w_#>	ˈi_o	1.0
ˈy	ˈu	1.0
ˈɛ_ʧ	ʧ	1.0
β	β	1.0
β_ɾ	β_ɾ	1.0
#>	o_#>	0.591
<#_p	<#_p	0.931
l	l	0.571
l_#>	l_#>	0.571
r	r	0.1
u	o	0.611
ˈa	ˈa_n	0.091
ˈi	ˈu	0.061
ˈɔ	ˈo	0.091
e	e	0.452
j	-	0.2
n	n	0.892
s	θ	0.2
s_#>	θ_#>	0.2
u	-	0.222
ˈi	ˈe	0.152
e	-	0.323
i	j	0.333
s	x	0.133
s	p	0.133
s	s	0.533
w	β	0.833
ɾ	-	0.143
ˈa	ˈa	0.803
<#_k	<#_ɟ͡ʝ	0.054
<#_s	<#_s	0.714
<#_ʤ	<#_x	0.714
j	ˈe	0.4
j	j	0.4
l_#>	x_o	0.214
l_#>	ʝ_o	0.214
n	l	0.054
n	ɲ	0.054
t	ð	0.4
ʤ	ʝ	0.4
ˈu	w_ˈe	0.184
ˈɛ	j	0.074
ˈɛ	-	0.074
ˈɛ	j_ˈe	0.704
ˈɛ_l	ˈi_ʝ	0.4
#>	ɾ_#>	0.195
<#_f	<#_f	0.25
<#_f	<#	0.75
e	i	0.065
e	j	0.065
e_#>	e_#>	0.45
e_#>	ɾ_#>	0.55
l	ɾ	0.095
l	ɟ͡ʝ	0.095
r	-	0.15
r	ɾ	0.75
ɲ	-	0.5
ɲ	ɲ	0.5
ɾ	ɾ	0.75
<#_k	<#_k	0.946
<#_s	<#_θ	0.286
<#_ʤ	<#_e	0.286
t	t	0.6
ʤ	-	0.6
ˈɛ_l	x	0.6
#>	n_#>	0.067
e	o	0.097
i	i	0.667
u	u	0.167
w	l	0.167
ɾ	ˈe	0.107
#>	e_#>	0.148
l	-	0.238
s_#>	s_#>	0.8
ˈi	ˈi	0.788
ˈu	ˈu	0.158
ˈu	ˈo	0.658
ˈɛ	ˈe	0.148
<#_p	<#_ɟ͡ʝ	0.069
ˈɔ	w_ˈe	0.909
