Eastphalian	Eastphalian	probability
ˈɪ_ç	x	1.0
ˈɛɪ̯_n	ˈoɐ̯	1.0
ˈɛə̯	ˈɑ	1.0
ˈyː	ˈai̯	1.0
ˈaː	ˈɒː	1.0
ˈaɪ̯	ˈoɐ̯	1.0
ˈa_ɐ	ˈe_ɐ	1.0
ʃ	ʃ	1.0
ɪ_ç	ɡ̊	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ̊	1.0
ɡ_n_#>	ŋ_#>	1.0
ɒː	eɐ̯	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	ʋ	1.0
v̥	-	1.0
v_ˈɪ	ʋ	1.0
v_n	m	1.0
t_ɐ	d̥_a	1.0
t_n	s_n	1.0
s_t	ʃ_d̥	1.0
s	ʃ	1.0
r	r	1.0
p_#>	f_#>	1.0
n_n	n_a	1.0
n_#>	#>	1.0
m_n	m_a	1.0
m	m	1.0
l_d̥	j_d̥	1.0
k_n	ɡ̊_a	1.0
k_#>	#>	1.0
j	ɡ̊	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d̥	d̥	1.0
d	d̥	1.0
b_m	f_a	1.0
b	b̥	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
v	ʋ	0.9
ˈɪ	ˈi	0.842
ˈoː	-	0.75
ˈaʊ̯	ˈuɐ̯	0.75
ˈiː	ˈai̯	0.733
ə	-	0.727
ŋ	ŋ	0.727
ˈeː	-	0.714
n	n	0.633
ˈœ	ˈe	0.6
ˈuː	ˈau̯	0.6
ˈɔ	ˈo	0.583
ˈɛː	-	0.571
l	l	0.556
ˈʏ	ˈu	0.5
ˈeo̯	ˈou̯	0.5
p	f	0.5
p	b̥͡v̥	0.5
t	ʦ	0.457
ɐ	a	0.444
l	j	0.444
k	kʰ	0.44
ˈɛː	ˈe	0.429
ˈɔʏ̯	-	0.429
ˈɛɪ̯	ˈiɐ̯	0.417
ˈɛ	ˈe	0.417
ˈɔ	ˈu	0.417
ˈʊ	ˈu	0.4
ˈʊ	ˈo	0.4
ˈœ	-	0.4
ˈuː	-	0.4
t	s	0.371
k	x	0.32
ɐ	ɐ	0.306
ˈʏ	ˈai̯	0.3
ˈeo̯	ˈaː	0.3
ˈɔʏ̯	ˈuɐ̯	0.286
ˈɔʏ̯	ˈiɐ̯	0.286
ˈɒː	ˈɒː	0.286
ˈeː	ˈeː	0.286
ˈa	ˈɑ	0.286
ˈa	ˈo	0.286
ŋ	ŋ_ɡ̊	0.273
ˈiː	ˈi	0.267
ˈɛɪ̯	ˈoɐ̯	0.25
ˈɛ	ˈi	0.25
ˈoː	ˈo	0.25
ˈaʊ̯	-	0.25
ˈɒː	ˈɑː	0.214
ˈɒː	-	0.214
ˈʏ	ˈi	0.2
ˈʊ	ˈuɐ̯	0.2
ˈeo̯	-	0.2
ˈa	ˈɒː	0.19
t	d̥	0.171
ˈɛɪ̯	ˈeː	0.167
ˈɛ	ˈeː	0.167
ˈɛ	-	0.167
k	ɡ̊	0.16
ˈɪ	-	0.158
ˈɒː	ˈɑ	0.143
ˈɒː	ˈoː	0.143
ˈa	ˈa	0.143
n	a	0.122
ə	a	0.121
ɐ	d̥_a	0.111
v	β	0.1
ˈa	-	0.095
ə	ə	0.091
ˈɛɪ̯	ˈai̯	0.083
ˈɛɪ̯	-	0.083
ɐ	r	0.083
n	ŋ	0.082
n	d̥_n	0.082
k	ç	0.08
ə	n	0.061
ɐ	-	0.056
