Old Norse	Swedish	probability
a	a	1.0
b	b	0.95
c	ɧ	0.697
c	k	0.303
cʰ	ɕ	0.936
cʰ	kʰ	0.064
cː	kː	1.0
d	d	0.822
d	-	0.178
f	f	0.923
f	v	0.077
h	h	1.0
i	ɛ	0.825
i	a	0.117
j	-	0.494
j	j	0.376
j	ˈæː	0.065
j	ˈʉː	0.065
k	k	0.742
k	-	0.11
k	kː	0.083
k	ɡ	0.065
kʰ	kʰ	1.0
kː	k	0.533
kː	kː	0.467
l	l	0.876
l	-	0.064
lː	l	0.702
lː	lː	0.298
l̥	l	1.0
m	m	0.861
m	mː	0.119
mː	m	0.804
mː	mː	0.196
n	n	0.949
nː	nː	0.59
nː	n	0.41
p	p	0.871
p	pː	0.129
pː	pː	1.0
r	r	0.905
r	-	0.064
rː	r	0.757
rː	rː	0.108
rː	n	0.094
r̥	r	1.0
s	s	0.776
s	ɧ	0.155
s	-	0.068
sː	s	0.567
sː	sː	0.433
t	t	0.722
t	tː	0.212
tʰ	tʰ	0.954
tː	tː	0.989
u	ʊ	0.429
u	-	0.306
u	a	0.127
u	ɵ	0.087
u	ɛ	0.052
v	v	0.815
v	-	0.09
v	s	0.055
w	j	0.464
w	ˈɑː	0.411
w	-	0.125
x	v	0.762
x	-	0.238
ç	j	1.0
ð	d	0.67
ð	-	0.222
ð	nː	0.064
ŋ	ŋː	0.733
ŋ	ŋ	0.23
ɑ	a	0.812
ɑ	-	0.142
ɑː	ɔ	1.0
ɟ	j	0.953
ɟː	ɡː	1.0
ɡ	ɡ	0.53
ɡ	-	0.47
ɡː	ɡː	1.0
ɣ	ɡ	0.581
ɣ	j	0.359
ɣ	ŋ	0.06
ɾ	r	1.0
ʝː	jː	1.0
ʦ	s	1.0
ˈa	ˈa	0.657
ˈa	ˈɑː	0.343
ˈe	ˈɛ	0.251
ˈe	ˈɛː	0.145
ˈe	-	0.143
ˈe	ˈæ	0.143
ˈe	ˈæː	0.143
ˈe	ˈɑː	0.087
ˈe	ˈeː	0.058
ˈeː	ˈɛː	0.312
ˈeː	ˈiː	0.244
ˈeː	ˈɛ	0.196
ˈeː	ˈæː	0.162
ˈeː	ˈʉː	0.085
ˈi	ˈɪ	0.713
ˈi	ˈɛ	0.212
ˈi	ˈeː	0.076
ˈiː	ˈiː	0.961
ˈo	ˈuː	0.329
ˈo	ˈɔ	0.314
ˈo	ˈoː	0.185
ˈo	ˈɵ	0.109
ˈo	ˈʊ	0.063
ˈoː	ˈuː	0.442
ˈoː	ˈʉː	0.38
ˈoː	ˈøː	0.07
ˈoː	ˈɔ	0.058
ˈu	ˈɵ	0.628
ˈu	ˈʊ	0.189
ˈu	ˈoː	0.074
ˈu	ˈʉː	0.071
ˈuː	ˈʉː	0.85
ˈuː	ˈyː	0.15
ˈy	ˈʏ	0.372
ˈy	ˈœ	0.237
ˈy	ˈœː	0.203
ˈy	ˈɔ	0.072
ˈy	ˈɵ	0.07
ˈyː	ˈuː	0.526
ˈyː	ˈʉː	0.216
ˈyː	ˈyː	0.153
ˈyː	ˈʏ	0.051
ˈøy̯	ˈœː	0.526
ˈøy̯	ˈœ	0.286
ˈøy̯	ˈøː	0.187
ˈøː	ˈøː	0.929
ˈøː	ˈœ	0.071
ˈɑ	ˈa	0.472
ˈɑ	ˈɑː	0.189
ˈɑ	-	0.179
ˈɑ	ˈoː	0.07
ˈɑu̯	ˈøː	0.61
ˈɑu̯	-	0.199
ˈɑu̯	ˈœ	0.191
ˈɑː	ˈoː	0.713
ˈɑː	ˈøː	0.12
ˈɑː	ˈeː	0.057
ˈɒu̯	ˈœ	0.613
ˈɒu̯	ˈøː	0.387
ˈɔ	ˈœ	0.323
ˈɔ	ˈa	0.298
ˈɔ	ˈøː	0.173
ˈɔ	ˈɛː	0.092
ˈɔ	ˈuː	0.057
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.935
ˈɛ	ˈɛː	0.065
ˈɛi̯	ˈeː	0.524
ˈɛi̯	ˈɛ	0.191
ˈɛi̯	ˈɛː	0.189
ˈɛi̯	ˈoː	0.097
ˈɛː	ˈoː	0.402
ˈɛː	ˈøː	0.252
ˈɛː	ˈæː	0.219
ˈɛː	ˈeː	0.126
θ	tʰ	0.803
θ	ɕ	0.126
