Ligurian	Occitan	probability
f	f	1.0
k	k	1.0
l	l	1.0
ˈi	ˈi	1.0
ˈɔ	ˈɔ	1.0
e	ɾ_e	0.161
i	i	0.221
i	-	0.511
j	e	0.061
r	r	0.421
v	β	0.301
v	v	0.561
ˈe	ˈɛ	0.441
ˈɛː	ˈe	0.131
d	d	0.792
j	d_ɾ	0.062
s	-	0.082
u	ɔ	0.062
u	w	0.102
z	-	0.252
ŋ	m	0.082
ŋ	ŋ	0.222
ɲ	ɲ	0.912
ʃ	f_l	0.242
ʤ	l	0.092
ˈaː	ˈa	0.772
ˈø	ɥ_ˈɛ	0.772
e	a_s	0.063
e	j	0.083
m	m_b	0.063
r	ɾ	0.463
s	s	0.873
u	-	0.133
w	j_ɾ	0.153
w	-	0.543
ʒ	z	0.303
ʒ	v	0.313
ˈa	l_ˈa	0.053
ˈaː	ˈa_l	0.073
ˈaː	l_ˈa	0.133
ˈy	ˈy	0.893
ˈyː	ˈu	0.553
ˈɔː	ˈa_w	0.083
ˈɛː	ˈa_t	0.053
j	-	0.294
u	i	0.14
u	e	0.474
ɡ	z	0.114
ɡ	ɣ	0.464
ʒ	s	0.384
ˈiː	ˈu	0.074
ˈøː	ɥ_ˈɔ	0.364
ˈɛ	ˈe	0.444
a	ɔ	0.795
e	e	0.645
p	p	0.95
z	z	0.15
ʤ	ʒ	0.295
ˈeː	ˈɛ	0.465
ˈu	<#_e	0.325
ˈuː	ˈu_l	0.065
ˈɛː	e	0.245
b	b	0.956
r	-	0.116
ŋ	n	0.696
ʤ	ʎ	0.486
ˈeː	e	0.106
ˈeː	j_ˈɛ	0.256
ˈiː	ˈe	0.136
ˈøː	ˈɔ	0.636
ˈɛ	ˈɛ	0.556
a	a	0.147
j	ɾ	0.377
m	m	0.937
n	n	0.957
ɡ	k	0.087
ɡ	ɡ	0.297
ˈa	ˈa	0.947
ˈeː	ˈɛ_l	0.127
ˈu	ˈu	0.577
ˈy	ˈu	0.107
ˈyː	ˈy	0.447
a	-	0.058
d	-	0.208
j	j	0.058
j	w_ɾ	0.098
t	t	0.768
v	-	0.138
z	ʒ	0.598
ɲ	n	0.088
ʃ	j_s	0.758
ʤ	b	0.078
ˈu	ˈy	0.068
ˈø	ˈu	0.228
ˈɔː	ˈa	0.128
i	e	0.249
t	ð	0.199
u	u	0.089
w	u	0.29
ˈe	ˈe	0.559
ˈiː	ˈi	0.79
ˈuː	ˈu	0.889
ˈɔː	ˈɔ	0.789
ˈɛː	ˈa	0.209
ˈɛː	ˈɛ	0.329
