Swiss German	Middle High German	probability
χː	xː	1.0
χ	x	1.0
ˈɒ	ˈɑ	1.0
ˈøː	ˈøː	1.0
ˈø	-	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuə̯	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈiə̯	ˈiə̯	1.0
ˈi	ˈi	1.0
ʒ̊	ʃ	1.0
ʋ_ˈø	w	1.0
ʋ	w	1.0
ʃː	ʃː	1.0
ɡ̊ː	kː	1.0
æ	ɛ	1.0
v̥	v	1.0
t	t	1.0
r_n	r_n	1.0
p͡f	p͡f	1.0
p	p	1.0
j	j	1.0
h	h	1.0
f	f	1.0
r	r	0.969
l	l	0.957
m	m	0.953
ˈau̯	ˈou̯	0.9
ʦ	ʦ	0.893
ˈu	ˈu	0.877
i	-	0.854
ˈæː	ˈɛ	0.831
ɣ̊	kʰ	0.827
b̥	b	0.824
ʃ	s	0.813
fː	f	0.796
ˈæi̯	ˈei̯	0.786
ŋ	ŋ	0.77
z̥	s	0.758
d̥	d	0.707
ɡ̊	ɡ	0.705
n	n	0.672
ˈyə̯	ˈyə̯	0.662
ˈæ	ˈɛ	0.633
s	s	0.629
tː	t	0.608
ˈɒː	ˈɑ	0.598
ˈe	ˈei̯	0.588
ə	ə	0.579
ˈeː	ˈeː	0.577
ˈy	ˈy	0.561
k͡χ	k	0.515
k͡χ	kː_ə	0.485
ˈyː	ˈyː	0.459
ˈoː	ˈoː	0.423
ˈeː	-	0.423
ˈyː	ˈiə̯	0.42
sː	s̻ː	0.415
ˈe	ˈe	0.412
ˈɒː	ˈɑː	0.402
ə	ə_n	0.4
tː	tː	0.392
sː	s̻_ə	0.386
s	s_ə	0.371
ˈyə̯	ˈuə̯	0.338
ɡ̊	ɡ̊	0.295
ˈy	ˈi	0.252
d̥	d̥	0.249
ˈoː	ˈɑː	0.248
z̥	s̻	0.242
ŋ	n_d̥	0.23
ˈæi̯	ˈei̯_n	0.214
fː	fː	0.204
sː	s̻	0.199
ˈæ	ˈɑ	0.187
ˈy	ˈyː	0.187
ʃ	ʃ	0.187
n	n_ə	0.184
ˈæ	ˈe	0.18
b̥	b̥	0.176
ɣ̊	k	0.173
ˈæː	ˈæː	0.169
ˈoː	ˈo	0.146
ˈoː	-	0.146
i	i	0.146
n	nː	0.144
ˈyː	-	0.122
ʦ	ʦː	0.107
ˈau̯	ou̯	0.1
ˈu	ˈy	0.062
ˈu	ˈo	0.062
