Sicilian	Spanish	probability
c	ɟ͡ʝ	1.0
cː	x	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
mː	m	1.0
o	o	1.0
s	s	1.0
sː	ˈe_s	1.0
w	w	1.0
z	θ	1.0
ŋ	ŋ	1.0
ɟː	x	1.0
ɲː	ɲ	1.0
ɽ	ɾ	1.0
ʃ	e_s	1.0
ʃː	θ	1.0
ʐ	r	1.0
ʐː	r	1.0
ʤ	x	1.0
ʤː	-	1.0
ʦ	θ	1.0
ˈo	ˈo	1.0
j	ʝ	0.061
j	x	0.341
l	-	0.111
n	j_n	0.051
n	n	0.901
nː	ɲ	0.651
ɕ	θ	0.921
ɾ	ɾ	0.531
ˈa	ˈa	0.941
ˈu	ˈu	0.521
ˈɛ	ˈi	0.061
i	-	0.112
i	i	0.412
tː	t	0.502
ɖː	l	0.342
m	m_b	0.153
r	r	0.23
v	β	0.373
ʈ	ð	0.903
k	k	0.774
p	β	0.224
tː	ʧ	0.44
ɡ	ɡ	0.564
ɪ	o	0.084
ˈe	j	0.104
ˈi	ˈi	0.394
ˈɔ	w_ˈe	0.624
ˈɛ	j_ˈe	0.584
a	e	0.055
a	a	0.945
b	β	0.15
b	b	0.85
u	u	0.165
u	o	0.835
ɾ	-	0.25
ˈɛ	-	0.075
i	e	0.416
k	ɣ	0.226
p	p	0.746
ɡ	ɣ	0.436
ɪ	e	0.556
ˈe	ˈe	0.896
ˈi	ˈe	0.606
j	j	0.487
m	m	0.847
r	ɾ	0.77
t	ð	0.47
v	b	0.57
ɪ	ˈi	0.07
ɪ	ɾ_e	0.077
ɪ	ˈe	0.127
ʈ	t	0.097
ˈɔ	ˈo	0.307
t	t	0.498
tː	ð	0.058
ɖː	ʝ	0.658
ɾ	l	0.178
ʊ	o	0.938
ˈɛ	ˈe	0.28
i	ˈe	0.059
j	-	0.079
l	l	0.889
nː	n_d	0.349
ɕ	-	0.079
ɪ	-	0.069
ˈu	ˈo	0.429
ˈɔ	w	0.069
