Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	ˈʏ	1.0
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈaɪ̯	1.0
ˈɔu̯	ˈuː	1.0
ˈɒː	ˈoː	1.0
ˈɑː	ˈa	1.0
ˈɑ	ˈa	1.0
ˈœː_ʀ	ˈɔː	1.0
ˈœi̯	-	1.0
ˈœ	ˈʏ	1.0
ˈæː_ʀ	ˈaː	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈaʊ̯	1.0
ˈeː_ʀ	ɐ	1.0
ʃ	ʃ	1.0
ʀ_ə	ɐ_n	1.0
ʀ_t	d	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɣ_ʀ	ɡ_r	1.0
ə_ʀ	ɐ	1.0
ə_ɣ̊	i	1.0
ə_v̥	m	1.0
ə_k	ɡ	1.0
ŋ_k	ŋ	1.0
ŋ_#>	ç_#>	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	l	1.0
v_ə	m	1.0
v	f	1.0
t_ə	d_n	1.0
p_ə	b_m	1.0
n_ə	n	1.0
m	m	1.0
l	l	1.0
k_ə	ɡ_n	1.0
i	aɪ̯	1.0
d_ˈaː	d_ˈa	1.0
d_ʀ	d_r	1.0
d	d	1.0
b	b	1.0
n	n	0.936
ɣ	ɡ	0.923
d̥	d	0.889
v̥	f	0.875
ˈiː	ˈiː	0.833
z	z	0.8
ə	-	0.778
ˈɪ	ˈɪ	0.714
ˈɔ	ˈɔ	0.667
n_d	n	0.667
ˈi	-	0.625
ˈøː	ˈɔʏ̯	0.6
ɣ̊	ç	0.6
p	b	0.6
j_ə	d_n	0.6
s	ʃ	0.591
ˈɔː	ˈaʊ̯	0.571
ˈɛ	ˈɪ	0.5
ˈɛ	-	0.5
ˈyː	ˈɔʏ̯	0.5
ˈyː	-	0.5
ɣ_ə	ŋ	0.5
ɣ_ə	n	0.5
k	kʰ	0.5
j	d	0.5
t	d	0.472
ʀ	r	0.45
ˈɛː	ˈaɪ̯	0.438
ˈɔː	ˈʊ	0.429
ˈoː	ˈaʊ̯	0.429
s	s	0.409
ʀ	ɐ	0.4
ɣ̊	x	0.4
j_ə	d	0.4
ˈeː	ˈaɪ̯	0.393
ˈʊː	ˈaʊ̯	0.375
ˈi	ˈaɪ̯	0.375
x	ç	0.375
x	x	0.375
ˈɔ	ˈʊ	0.333
ˈaː	ˈoː	0.333
ˈaː	ˈa	0.333
n_d	n_n	0.333
k	ɡ	0.321
ˈøː	-	0.3
ˈʊː	-	0.292
ˈɪ	n	0.286
ˈoː	ˈoː	0.286
ˈoː	-	0.286
t	tʰ	0.278
ˈʊː	ˈʊ	0.25
ˈɛː	ˈɪ	0.25
x	x_d	0.25
t	t	0.25
j	ˈaʊ̯	0.25
j	ʒ	0.25
ˈaː	-	0.222
ə	n	0.222
ˈeː	ˈeː	0.214
z	ʃ	0.2
p	pʰ	0.2
p	p	0.2
ˈɛː	-	0.188
ˈiː	-	0.167
ˈeː	-	0.143
ˈɛː	ˈeː	0.125
v̥	v̥	0.125
ˈaː	ˈaː	0.111
d̥	-	0.111
ˈeː	ˈɪ	0.107
k	k	0.107
ˈøː	ˈɛː	0.1
ʀ	-	0.1
ˈʊː	ˈoː	0.083
ɣ	j	0.077
ˈeː	ˈeɪ̯	0.071
ˈeː	l	0.071
k	ç	0.071
n	ˈʏ_n	0.064
