English	Old English	probability
θ	θ	1.0
ˈɪ_n	ˈi_n	1.0
ˈɜː	-	1.0
ˈɛ	ˈe	1.0
ˈɐ_ʧ	ʧː	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɹ_ˈe	r_ˈeːo̯	1.0
ɹ	r	1.0
ɡ	ɡ	1.0
ɜː	r_ˈeːo̯	1.0
əʊ̯	-	1.0
ə_n	n	1.0
z	z	1.0
s	s	1.0
j	æːɑ̯	1.0
h	h	1.0
b	b	1.0
f	f	0.986
d	d	0.981
m	m	0.961
l	l	0.93
ɫ	ɫ	0.903
w	w	0.864
kʰ	k	0.859
p	p	0.854
v	v	0.85
t	t	0.85
ʃ	ʃ	0.839
k	k	0.831
ˈæ	ˈɑ	0.781
ˈəʊ̯	ˈɑː	0.738
ˈaʊ̯	ˈuː	0.735
n	n	0.734
ˈɐ	ˈu	0.687
ˈɔː	ˈo_r	0.638
ŋ	ŋ_ɡ	0.614
ˈuː	ˈoː	0.586
ð	ð	0.577
ˈɒ	-	0.553
ˈɪ	ˈi	0.548
ˈɑː	ˈæ	0.512
ˈʊ	ˈu	0.5
ˈʊ	ˈoː	0.5
ɪ	-	0.494
ˈɒ	ˈo	0.447
ð	d_e	0.423
ˈuː	w	0.414
ŋ	ŋ	0.386
ɪ	i_j	0.38
ˈeɪ̯	ˈɑ	0.375
ˈe	ˈe	0.37
ˈaɪ̯	ˈiː	0.363
ə	r	0.286
ˈɑː	ˈæɑ̯_r	0.284
ˈaɪ̯	ˈi	0.276
ˈaʊ̯	-	0.265
ˈiː	ˈeː	0.259
ə	o	0.247
ˈe	ˈæːɑ̯	0.22
ˈæ	-	0.219
ə	e_r	0.207
ˈɑː	ˈæɑ̯_ɫ	0.205
ˈeɪ̯	ˈe_j	0.202
ˈɔː	r	0.187
ˈɪ	ˈy	0.183
ˈiː	ˈeːo̯	0.183
ˈiː	ˈæːɑ̯	0.177
ˈəʊ̯	ˈo	0.175
ˈɔː	ˈæɑ̯_r	0.175
ə	e	0.172
ˈɐ	ˈoː	0.171
n	nː	0.163
ʃ	ʃː	0.161
v	bː	0.15
p	pː	0.146
ˈɐ	ˈuː	0.142
ˈeɪ̯	ˈæ	0.142
ˈiː	ˈæː	0.141
kʰ	ʧ	0.141
ˈeɪ̯	ˈæːɑ̯	0.14
ˈeɪ̯	ˈæ_j	0.14
w	h_w	0.136
ɪ	iː	0.127
ˈiː	ˈiːy̯	0.122
ˈaɪ̯	ˈyː	0.113
ˈaɪ̯	ˈi_ç	0.113
ˈe	ˈiːy̯	0.105
ˈe	-	0.105
n	n_e	0.103
ˈe	ˈeo̯	0.097
ɫ	ɫː	0.097
k	k_ɑ	0.09
ə	r_ɑ	0.088
ˈəʊ̯	ˈæɑ̯	0.087
ˈaɪ̯	ˈeːo̯_ɣ	0.084
k	kː	0.08
ˈɪ	ˈeːo̯	0.078
ˈɪ	-	0.078
t	tː	0.075
t	t_e	0.075
ˈiː	-	0.072
l	ɫ	0.07
ˈe	ˈæː	0.069
ˈɪ	ˈæːɑ̯	0.067
ˈaɪ̯	ˈeːo̯_x	0.05
